epoch,loss,semigroup,swd,moment,identity,identity_ratio,delta_tv,delta_l2,output_tv,swd_valid_samples,shortcut_mu_delta,shortcut_std_delta,shortcut_texture_gain,shortcut_lsi,train_num_steps,train_step_size,train_style_strength,lr,data_time_sec,transfer_time_sec,fwd_loss_time_sec,backward_time_sec,optimizer_time_sec,step_overhead_time_sec,compute_time_sec,epoch_time_sec,samples_seen,samples_per_sec,compute_samples_per_sec
1,4.308288097381592,0.0008418827201239765,0.14982976019382477,0.5638129115104675,0.003435163525864482,0.5032516717910767,0.000751051411498338,6.755263893865049e-05,1.1457056999206543,24.0,0.001534284558147192,0.0006254826439544559,2.7964135369984433e-05,174.65988159179688,1.0,1.0,0.7975915670394897,0.0002,1.1962914999603527,0.018595100060338154,74.592280899873,16.856750399936573,0.5852101999043953,54.28427140027634,92.05283659977431,147.53928518295288,23680,160.49962537527637,257.2435665720491
2,5.528737545013428,0.00022120097128208727,0.2166026383638382,0.5669894218444824,0.0010205304715782404,0.4973396360874176,0.0002129366621375084,2.018099621636793e-06,1.145544171333313,24.0,0.0004983253311365843,0.00020035088527947664,9.588641660229769e-06,128.34535217285156,1.0,1.0,0.8004549145698547,0.00019999479108972367,1.1971518000646029,0.018361600043135695,63.61059309999109,6.653366700091283,0.3662036998430267,54.702426199946785,70.64852509996854,126.55189394950867,23680,187.1169151324419,335.18038722666194
3,3.539374351501465,0.00019407900981605053,0.1171957477927208,0.5696050524711609,0.0008918840321712196,0.5006756782531738,0.00014714345161337405,1.3923507822255488e-06,1.1458088159561157,24.0,0.00047443551011383533,0.00016270240303128958,6.180900527397171e-06,151.8623809814453,1.0,1.0,0.8037630915641785,0.00019997916493011034,1.1912490999966394,0.018988000112585723,63.70525279997673,6.658115099926363,0.3679141000320669,54.73216579989821,70.75027000004775,126.67631459236145,23680,186.93313012934698,334.69836934875326
4,4.095511436462402,0.00015211754362098873,0.14613136649131775,0.5646876692771912,0.0006376906530931592,0.4995355010032654,0.00011847742280224338,7.786271112308896e-07,1.1471309661865234,24.0,0.00031368923373520374,0.00012356146180536598,5.292262358125299e-06,108.06777954101562,1.0,1.0,0.799458384513855,0.0001999531232347445,1.1857302000425989,0.01870120014064014,61.78991310005949,6.67989629994554,0.369626000043354,52.89496149982733,68.85813660018903,122.9413754940033,23680,192.61212838110012,343.89545185477755
5,3.4041290283203125,0.00016471916751470417,0.11056312918663025,0.5735834836959839,0.0006817273097112775,0.49780404567718506,0.0001120667511713691,8.31915826893237e-07,1.1447339057922363,24.0,0.00034290552139282227,0.000128237996250391,5.044181307312101e-06,123.89181518554688,1.0,1.0,0.7976961135864258,0.00019991666885939155,1.1609551999572432,0.0184958001045743,59.54629820000264,6.609001100019668,0.35896019998472184,50.784121499804314,66.5327553001116,118.48100996017456,23680,199.86325241454003,355.9149157912641
6,12.908522605895996,0.00012324714043643326,0.5870040059089661,0.5682284235954285,0.00040816550608724356,0.503758430480957,9.14192569325678e-05,3.5725383895623963e-07,1.1450287103652954,24.0,0.00020391469297464937,7.139322406146675e-05,4.277379957784433e-06,75.6031494140625,1.0,1.0,0.81004798412323,0.00019986980580168453,1.1628396001615329,0.018377000029431656,59.555313400007435,6.580727699911222,0.3569856999529293,50.81869330012705,66.51140379990102,118.49698877334595,23680,199.83630170800126,356.0291716476332
7,7.11014986038208,0.0001103399190469645,0.2964502274990082,0.5760614275932312,0.0003488296060822904,0.5008024573326111,8.355602039955556e-05,2.723925547343242e-07,1.146772027015686,24.0,0.00014084023132454604,6.89434600644745e-05,4.026708211313235e-06,61.535064697265625,1.0,1.0,0.8037458658218384,0.00019981253920068581,1.1789248999557458,0.01852880002115853,59.58392600010848,6.5766036001296015,0.3551558999461122,50.812025999694015,66.53421430020535,118.52849984169006,23680,199.7831747776076,355.9071110865574
8,6.85840368270874,0.0006894237594678998,0.27777594327926636,0.5747072696685791,0.0028263148851692677,0.5005490183830261,0.0005119054112583399,3.19147075060755e-05,1.145904779434204,24.0,0.00134672608692199,0.0005691747064702213,1.8115479178959504e-05,167.4027862548828,1.0,1.0,0.7953013777732849,0.00019974487533632352,1.1785518999386113,0.01819350007281173,59.542903899913654,6.563341599990963,0.35975680009869393,50.83082889988145,66.48419580007612,118.49630737304688,23680,199.83745084520874,356.1748730661925
9,8.820855140686035,0.000434898363891989,0.3780154883861542,0.5750985145568848,0.0019691684283316135,0.5032094717025757,0.00036419086973182857,1.0064659363706596e-05,1.1449644565582275,24.0,0.0011732627172023058,0.00041294796392321587,1.5427011021529324e-05,200.082763671875,1.0,1.0,0.7992873787879944,0.00019966682162870294,1.162730299809482,0.019080900005064905,59.58043990000442,6.517595500001335,0.3538175999565283,50.87269860006927,66.47093389996735,118.50917911529541,23680,199.8157457234782,356.2459350373537
10,5.674917221069336,0.0002883721608668566,0.22299441695213318,0.5698603391647339,0.0012714052572846413,0.49573493003845215,0.0002441945835016668,3.4041688650177093e-06,1.1446826457977295,24.0,0.0007079596980474889,0.00023186778707895428,9.750628123583738e-06,167.75283813476562,1.0,1.0,0.8015800714492798,0.0001995783866372926,1.1593555000144988,0.018606100013130344,59.549357600015355,6.498999699833803,0.35775529996317346,50.891374600163545,66.42471869982546,118.47901034355164,23680,199.86662558486515,356.49379423058394
