epoch,checkpoint,dino_s,dino_c,clip_s,lpips
1,epoch_0001.pt,0.4841469300016761,0.8278858332931995,0.7107510275840759,0.24037407059333335
2,epoch_0002.pt,0.4863683927282691,0.8079111812909444,0.714130166610082,0.2600865711106667
3,epoch_0003.pt,0.48938687754174076,0.7908966245427728,0.7159672277371089,0.2620780508373333
4,epoch_0004.pt,0.4910016287999849,0.8075948120355606,0.7139646155834198,0.26680339457200003
5,epoch_0005.pt,0.48979746500154336,0.825573958431681,0.7091268122593561,0.2561513872413333
6,epoch_0006.pt,0.48922797307372096,0.8242175709207853,0.7098247267405192,0.262085617792
7,epoch_0007.pt,0.48873680009692905,0.830760344405969,0.7073636277516683,0.26189476475466666
8,epoch_0008.pt,0.4882600691914558,0.8307806894679864,0.7063385495344798,0.2651869568333333
9,epoch_0009.pt,0.4867758964685102,0.830306105663379,0.706688999692599,0.252646752252
10,epoch_0010.pt,0.4857938370145857,0.831354342520237,0.7050025906960169,0.2581355270866667
11,epoch_0011.pt,0.4867909187786281,0.8314713265796503,0.7061660072803497,0.263984906592
12,epoch_0012.pt,0.4869450558933119,0.8322245400945345,0.7056158066590626,0.26082242096266667
13,epoch_0013.pt,0.48708891388277215,0.8316256716549396,0.7066634664535523,0.2664961650866667
14,epoch_0014.pt,0.4869111754707992,0.8320301283299923,0.7059645696878433,0.26389663136933333
15,epoch_0015.pt,0.4863503288254142,0.831961677874128,0.7052832177877426,0.2610858442146667
