variant	category	config_path	run_dir	status	note
baseline_50e	baseline	/mnt/i/Github/Latent_Style/Cycle-NCE/style_ablation-50/configs/baseline_50e.json	/mnt/i/Github/Latent_Style/Cycle-NCE/style_ablation-50/baseline_50e	skipped_existing	50-epoch short-run baseline (legacy warmup keys removed).
inj_no_decoder_spatial	inj_single	/mnt/i/Github/Latent_Style/Cycle-NCE/style_ablation-50/configs/inj_no_decoder_spatial.json	/mnt/i/Github/Latent_Style/Cycle-NCE/style_ablation-50/inj_no_decoder_spatial	skipped_existing	Disable decoder spatial inject path.
inj_no_texture_gain	inj_single	/mnt/i/Github/Latent_Style/Cycle-NCE/style_ablation-50/configs/inj_no_texture_gain.json	/mnt/i/Github/Latent_Style/Cycle-NCE/style_ablation-50/inj_no_texture_gain	skipped_existing	Disable texture residual head contribution.
inj_no_delta_highpass	inj_single	/mnt/i/Github/Latent_Style/Cycle-NCE/style_ablation-50/configs/inj_no_delta_highpass.json	/mnt/i/Github/Latent_Style/Cycle-NCE/style_ablation-50/inj_no_delta_highpass	skipped_existing	Disable delta high-frequency bias.
inj_no_delta_gate	inj_single	/mnt/i/Github/Latent_Style/Cycle-NCE/style_ablation-50/configs/inj_no_delta_gate.json	/mnt/i/Github/Latent_Style/Cycle-NCE/style_ablation-50/inj_no_delta_gate	skipped_existing	Disable style delta gate.
inj_no_decoder_adagn	inj_single	/mnt/i/Github/Latent_Style/Cycle-NCE/style_ablation-50/configs/inj_no_decoder_adagn.json	/mnt/i/Github/Latent_Style/Cycle-NCE/style_ablation-50/inj_no_decoder_adagn	skipped_existing	Disable decoder AdaGN, fallback to GroupNorm.
inj_no_output_affine	inj_single	/mnt/i/Github/Latent_Style/Cycle-NCE/style_ablation-50/configs/inj_no_output_affine.json	/mnt/i/Github/Latent_Style/Cycle-NCE/style_ablation-50/inj_no_output_affine	skipped_existing	Disable output style affine.
inj_spatial_highpass_on	inj_single	/mnt/i/Github/Latent_Style/Cycle-NCE/style_ablation-50/configs/inj_spatial_highpass_on.json	/mnt/i/Github/Latent_Style/Cycle-NCE/style_ablation-50/inj_spatial_highpass_on	skipped_existing	Enable high-pass style spatial maps.
inj_spatial_map_norm_off	inj_single	/mnt/i/Github/Latent_Style/Cycle-NCE/style_ablation-50/configs/inj_spatial_map_norm_off.json	/mnt/i/Github/Latent_Style/Cycle-NCE/style_ablation-50/inj_spatial_map_norm_off	skipped_existing	Disable style spatial map normalization.
inj_spatial_blur_off	inj_single	/mnt/i/Github/Latent_Style/Cycle-NCE/style_ablation-50/configs/inj_spatial_blur_off.json	/mnt/i/Github/Latent_Style/Cycle-NCE/style_ablation-50/inj_spatial_blur_off	skipped_existing	Disable style spatial blur before injection.
loss_no_distill	loss_single	/mnt/i/Github/Latent_Style/Cycle-NCE/style_ablation-50/configs/loss_no_distill.json	/mnt/i/Github/Latent_Style/Cycle-NCE/style_ablation-50/loss_no_distill	skipped_existing	Disable distillation term.
loss_no_code	loss_single	/mnt/i/Github/Latent_Style/Cycle-NCE/style_ablation-50/configs/loss_no_code.json	/mnt/i/Github/Latent_Style/Cycle-NCE/style_ablation-50/loss_no_code	skipped_existing	Disable code-closure term.
loss_no_stroke_gram	loss_single	/mnt/i/Github/Latent_Style/Cycle-NCE/style_ablation-50/configs/loss_no_stroke_gram.json	/mnt/i/Github/Latent_Style/Cycle-NCE/style_ablation-50/loss_no_stroke_gram	skipped_existing	Disable stroke gram style statistics.
loss_no_color_moment	loss_single	/mnt/i/Github/Latent_Style/Cycle-NCE/style_ablation-50/configs/loss_no_color_moment.json	/mnt/i/Github/Latent_Style/Cycle-NCE/style_ablation-50/loss_no_color_moment	skipped_existing	Disable color moment style statistics.
loss_no_style_spatial_tv	loss_single	/mnt/i/Github/Latent_Style/Cycle-NCE/style_ablation-50/configs/loss_no_style_spatial_tv.json	/mnt/i/Github/Latent_Style/Cycle-NCE/style_ablation-50/loss_no_style_spatial_tv	skipped_existing	Disable style spatial TV regularization.
loss_no_struct_edge	loss_single	/mnt/i/Github/Latent_Style/Cycle-NCE/style_ablation-50/configs/loss_no_struct_edge.json	/mnt/i/Github/Latent_Style/Cycle-NCE/style_ablation-50/loss_no_struct_edge	skipped_existing	Disable struct and edge guards.
loss_no_cycle	loss_single	/mnt/i/Github/Latent_Style/Cycle-NCE/style_ablation-50/configs/loss_no_cycle.json	/mnt/i/Github/Latent_Style/Cycle-NCE/style_ablation-50/loss_no_cycle	skipped_existing	Disable cycle consistency.
loss_no_nce	loss_single	/mnt/i/Github/Latent_Style/Cycle-NCE/style_ablation-50/configs/loss_no_nce.json	/mnt/i/Github/Latent_Style/Cycle-NCE/style_ablation-50/loss_no_nce	skipped_existing	Disable NCE content term.
loss_no_semigroup	loss_single	/mnt/i/Github/Latent_Style/Cycle-NCE/style_ablation-50/configs/loss_no_semigroup.json	/mnt/i/Github/Latent_Style/Cycle-NCE/style_ablation-50/loss_no_semigroup	skipped_existing	Disable semigroup consistency.
