epoch,loss,distill,code,code_ref,code_proto,cycle,gram,moment,push,nce,idt,w_cycle_eff,w_nce_eff,w_idt_eff,style_ref_alpha,transfer_ratio,lr,epoch_time_sec
1,0.4352050669491291,0.0010797897783049847,0.029673710558563472,0.011494081374257803,0.018179629603400825,0.011687217187136412,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0,1.0,0.0002,15.12421178817749
2,0.1590689167380333,0.00016418032682850026,0.014079868234694004,0.005782418395392596,0.008297449792735279,0.0014986627764301374,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0,1.0,0.0001997071467046472,11.164612770080566
3,0.11169537268579006,0.00012296381282794755,0.00985475592315197,0.0042148057604208585,0.005639950162731111,0.0010688539274269714,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0,1.0,0.00019883039235653812,7.486096143722534
4,0.08734017908573151,0.00010890151534113102,0.007080316008068621,0.003037781163584441,0.004042534925974906,0.001435898954514414,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0,1.0,0.0001973751424377793,7.490322113037109
5,0.0742506232112646,9.56615560426144e-05,0.005888991709798575,0.0022032671142369507,0.0036857245839200916,0.0013447475241264329,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0,1.0,0.0001953503690480396,7.51303243637085
6,0.06677420977503061,8.189973887056113e-05,0.005203868634998799,0.0018832918256521225,0.0033205767744220794,0.0013097528397338464,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0,1.0,0.00019276855558857225,10.919915914535522
7,0.058933038264513016,6.955767603358253e-05,0.005034385318867862,0.0017158617032691837,0.0033185236272402106,0.0007198031322332099,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0,1.0,0.00018964561979789495,7.542397737503052
8,0.04996502120047808,6.395206637535011e-05,0.004225128190591931,0.0016349768673535436,0.002590151294134557,0.0006434697512304411,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0,1.0,0.00018600081561363877,7.480238199234009
9,0.04384541921317577,5.932717813266209e-05,0.003646274411585182,0.0012869268539361656,0.0023593475460074844,0.0006196131813339889,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0,1.0,0.00018185661446562003,7.4879279136657715
10,0.03698981199413538,5.52657327716588e-05,0.002873904176522046,0.0010964541317662225,0.0017774500709492713,0.0007145455223508179,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0,1.0,0.00017723856673200296,10.819420099258423
11,0.03544723596423864,5.236018951109145e-05,0.0028108258615247906,0.0010103629349032417,0.0018004629178903996,0.0006291773854172789,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0,1.0,0.00017217514421272203,7.558345079421997
12,0.0328948219306767,4.975618885509903e-05,0.002796436834614724,0.001027107794652693,0.0017693290312308819,0.00039353299653157594,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0,1.0,0.0001666975645913675,7.480786085128784
13,0.02986197965219617,4.814145177078899e-05,0.002473543246742338,0.0009472209349041805,0.00152632228564471,0.00041637181129772216,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0,1.0,0.00016083959896778498,7.49249529838562
14,0.028778786584734917,4.740150034194812e-05,0.0024358521681278945,0.000909259173204191,0.0015265929920133202,0.0003472234442597255,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0,1.0,0.00015463736364801516,10.84812045097351
15,0.024098688922822475,4.761792606586823e-05,0.002041654341155663,0.0008083586784778163,0.001233295671408996,0.0002729786967393011,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0,1.0,0.00014812909747525697,7.604467391967773
16,0.023380378168076275,4.752254917548271e-05,0.001957268628757447,0.0007652641943423077,0.0011920044315047562,0.00028572411756613294,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0,1.0,0.00014135492607468357,7.477673292160034
17,0.02106307726353407,4.834320807276526e-05,0.0017781077069230378,0.0007123750954633578,0.001065732608549297,0.00023151362111093477,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0,1.0,0.00013435661446562004,7.4843528270721436
18,0.020311141200363637,4.903708959318465e-05,0.001719727460294962,0.0006870757177239283,0.0010326517425710336,0.00021331246898625977,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0,1.0,0.00012717730956631105,7.59342098236084
