epoch,loss,distill,code,code_ref,code_proto,cycle,gram,moment,push,nce,idt,w_cycle_eff,w_nce_eff,w_idt_eff,style_ref_alpha,transfer_ratio,lr,epoch_time_sec
1,0.24271250035493605,0.00042565756584442554,0.018425935804243048,0.007718365211340208,0.01070757045020019,0.004993999192881729,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0,1.0,0.0002,39.92027044296265
2,0.09072032871265565,8.312253668273408e-05,0.00814576554412563,0.003502650223972817,0.0046431153051314815,0.0007600222766819981,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0,1.0,0.0001997071467046472,32.80721116065979
3,0.06967014206513282,5.7881309511421636e-05,0.006197810360801316,0.0026373655437642047,0.003560444824547777,0.0006534411851692223,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0,1.0,0.00019883039235653812,32.67592930793762
4,0.05703864607118791,4.673399287698445e-05,0.00508937957666574,0.002191900301934971,0.002897479240932772,0.0005210170488534195,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0,1.0,0.0001973751424377793,32.91874384880066
5,0.045939057043963866,4.305595076960256e-05,0.0041621131709806865,0.00186056203787185,0.0023015511124545047,0.0003456806411005316,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0,1.0,0.0001953503690480396,32.75229358673096
6,0.03802336037399307,4.049893780780445e-05,0.0034585942198792773,0.0015809215162129653,0.0018776727168099774,0.000262743930262889,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0,1.0,0.00019276855558857225,32.707353591918945
7,0.03184500156391051,4.601148312729258e-05,0.0028369176246586347,0.0013218433220660495,0.0015150742894489198,0.0002555595645155277,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0,1.0,0.00018964561979789495,32.64821743965149
8,0.028893328902702176,8.291352277146578e-05,0.002451056284048865,0.0011445653959057263,0.001306490886265472,0.0002724495739863825,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0,1.0,0.00018600081561363877,30.779537200927734
9,0.02574402003759338,0.00010351665473389139,0.0021340316893803256,0.001007366439162363,0.0011266652502179627,0.00023333698904494786,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0,1.0,0.00018185661446562003,33.067115783691406
10,0.022856462626687942,0.00012511856473265066,0.0017729549604888644,0.0008654161337612857,0.0009075388276664119,0.00026245415609728003,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0,1.0,0.00017723856673200296,32.53078055381775
11,0.021528362086223017,0.0001365588596531926,0.001617314006697627,0.000777617463984737,0.0008396965370798905,0.00026240446975627434,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0,1.0,0.00017217514421272203,32.73329043388367
12,0.022491574557798523,0.00020020270758616408,0.001507233792630535,0.000716503626937347,0.0007907301675708543,0.0003415182629044378,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0,1.0,0.0001666975645913675,32.74145317077637
13,0.02404131815438309,0.0003022187945222662,0.0013567689043890324,0.0006589500492648972,0.000697818862634801,0.0004429253195637777,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0,1.0,0.00016083959896778498,32.75136423110962
14,0.025271119820254463,0.00040247430555492397,0.001194667696366988,0.0005947023427354232,0.0005999653517538982,0.000527495683091993,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0,1.0,0.00015463736364801516,32.74027442932129
15,0.024011443278962565,0.00041611004628301147,0.0010646400980711464,0.0005423781563407711,0.0005222619436080417,0.0005042841545336189,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0,1.0,0.00014812909747525697,32.735390186309814
16,0.021825408532975182,0.0003830900780984291,0.001005887301758893,0.0005097574227669787,0.0004961298822778308,0.0004104733905537174,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0,1.0,0.00014135492607468357,32.724817752838135
17,0.019746515178872694,0.00034715912836198243,0.0009251813509411389,0.0004756882558614316,0.00044949309695737374,0.0003551519227086476,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0,1.0,0.00013435661446562004,32.72793960571289
18,0.01886103076920394,0.00032901109173713675,0.0009069802585027871,0.0004603112813070296,0.0004466689767263409,0.0003211006311880004,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0,1.0,0.00012717730956631105,32.70307946205139
19,0.01737018923966154,0.0003022642490724402,0.0008399583035028509,0.00043415694474993697,0.00040580135499758104,0.00029253212203677264,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0,1.0,0.00011986127417882196,32.72932815551758
20,0.016469978502080325,0.0002844633948576126,0.0007925962760759096,0.000412663008319214,0.00037993326869552893,0.00028547478699868906,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0,1.0,0.0001124536140941453,32.70222735404968
21,0.01583010252685316,0.0002716081935138772,0.0007921997110374392,0.00040253685954432455,0.00038966285149311466,0.00024759415804686386,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0,1.0,0.00010500000000000002,32.716519594192505
22,0.015362741876273386,0.0002700790153598533,0.0007583559152760333,0.0003900641022482887,0.0003682918167830775,0.0002377602438847985,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0,1.0,9.754638590585476e-05,32.587997913360596
23,0.014463028960650968,0.00026314932338502856,0.000697519164532423,0.0003700371725567346,0.0003274819919756884,0.0002224850867341663,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0,1.0,9.013872582117811e-05,32.9216091632843
24,0.013926879728152868,0.00025971424075842446,0.0006630817445130238,0.0003560956463315374,0.00030698609536498666,0.00021017774410973935,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0,1.0,8.282269043368901e-05,32.669289350509644
25,0.013236881969797035,0.0002474678593928054,0.0006321562348955101,0.000343139233600889,0.00028901700270287094,0.00019659624611508223,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0,1.0,7.564338553438001e-05,32.83131194114685
26,0.012798394827592758,0.00023920646556014675,0.000619907358345846,0.000333450504601182,0.0002864568490504978,0.00018151919451361943,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0,1.0,6.864507392531649e-05,32.70391035079956
27,0.012208703634960036,0.00022473899814705816,0.0006047314701361522,0.00032833632646924664,0.000276395141789239,0.0001666608978637434,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0,1.0,6.187090252474307e-05,32.72330832481384
28,0.011393128819162808,0.00020100904868975762,0.0005765026669964314,0.00031849873607091967,0.0002580039316296367,0.00016079211937105884,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0,1.0,5.536263635198487e-05,32.71165752410889
