id,probe_group,probe_axis,supported,unsupported_reason,config_path,run_dir,resume_checkpoint,override_summary,rationale
p1_softmax_temp_0p02,ot_coupling_plan,semantic_attn_temperature,True,,G:\GitHub\Latent_Style\SchrodingerBridge\exp\phase1_diagnostic_probes\configs\p1_softmax_temp_0p02.json,G:\GitHub\Latent_Style\SchrodingerBridge\exp\phase1_diagnostic_probes\runs\p1_softmax_temp_0p02,G:\GitHub\Latent_Style\SchrodingerBridge\S-add__K-1_C-0_W-20_Col-0\epoch_0007.pt,model.semantic_attn_routing_mode=softmax; model.semantic_attn_temperature=0.02,Probe whether a sharper semantic coupling raises style by reducing barycentric averaging.
p1_softmax_temp_0p04,ot_coupling_plan,semantic_attn_temperature,True,,G:\GitHub\Latent_Style\SchrodingerBridge\exp\phase1_diagnostic_probes\configs\p1_softmax_temp_0p04.json,G:\GitHub\Latent_Style\SchrodingerBridge\exp\phase1_diagnostic_probes\runs\p1_softmax_temp_0p04,G:\GitHub\Latent_Style\SchrodingerBridge\S-add__K-1_C-0_W-20_Col-0\epoch_0007.pt,model.semantic_attn_routing_mode=softmax; model.semantic_attn_temperature=0.04,Probe whether a sharper semantic coupling raises style by reducing barycentric averaging.
p1_softmax_temp_0p16,ot_coupling_plan,semantic_attn_temperature,True,,G:\GitHub\Latent_Style\SchrodingerBridge\exp\phase1_diagnostic_probes\configs\p1_softmax_temp_0p16.json,G:\GitHub\Latent_Style\SchrodingerBridge\exp\phase1_diagnostic_probes\runs\p1_softmax_temp_0p16,G:\GitHub\Latent_Style\SchrodingerBridge\S-add__K-1_C-0_W-20_Col-0\epoch_0007.pt,model.semantic_attn_routing_mode=softmax; model.semantic_attn_temperature=0.16,Probe whether a sharper semantic coupling raises style by reducing barycentric averaging.
p1_softmax_temp_0p24,ot_coupling_plan,semantic_attn_temperature,True,,G:\GitHub\Latent_Style\SchrodingerBridge\exp\phase1_diagnostic_probes\configs\p1_softmax_temp_0p24.json,G:\GitHub\Latent_Style\SchrodingerBridge\exp\phase1_diagnostic_probes\runs\p1_softmax_temp_0p24,G:\GitHub\Latent_Style\SchrodingerBridge\S-add__K-1_C-0_W-20_Col-0\epoch_0007.pt,model.semantic_attn_routing_mode=softmax; model.semantic_attn_temperature=0.24,Probe whether a sharper semantic coupling raises style by reducing barycentric averaging.
p1_hard_monge_tau_0p5,ot_coupling_plan,semantic_gumbel_tau,True,,G:\GitHub\Latent_Style\SchrodingerBridge\exp\phase1_diagnostic_probes\configs\p1_hard_monge_tau_0p5.json,G:\GitHub\Latent_Style\SchrodingerBridge\exp\phase1_diagnostic_probes\runs\p1_hard_monge_tau_0p5,G:\GitHub\Latent_Style\SchrodingerBridge\S-add__K-1_C-0_W-20_Col-0\epoch_0007.pt,model.semantic_attn_routing_mode=gumbel_hard; model.semantic_gumbel_tau=0.5,Hard Monge probe via semantic gumbel-hard routing to test whether sharper one-to-one transport releases high-frequency style.
p1_hard_monge_tau_1,ot_coupling_plan,semantic_gumbel_tau,True,,G:\GitHub\Latent_Style\SchrodingerBridge\exp\phase1_diagnostic_probes\configs\p1_hard_monge_tau_1.json,G:\GitHub\Latent_Style\SchrodingerBridge\exp\phase1_diagnostic_probes\runs\p1_hard_monge_tau_1,G:\GitHub\Latent_Style\SchrodingerBridge\S-add__K-1_C-0_W-20_Col-0\epoch_0007.pt,model.semantic_attn_routing_mode=gumbel_hard; model.semantic_gumbel_tau=1.0,Hard Monge probe via semantic gumbel-hard routing to test whether sharper one-to-one transport releases high-frequency style.
p1_hard_monge_tau_2,ot_coupling_plan,semantic_gumbel_tau,True,,G:\GitHub\Latent_Style\SchrodingerBridge\exp\phase1_diagnostic_probes\configs\p1_hard_monge_tau_2.json,G:\GitHub\Latent_Style\SchrodingerBridge\exp\phase1_diagnostic_probes\runs\p1_hard_monge_tau_2,G:\GitHub\Latent_Style\SchrodingerBridge\S-add__K-1_C-0_W-20_Col-0\epoch_0007.pt,model.semantic_attn_routing_mode=gumbel_hard; model.semantic_gumbel_tau=2.0,Hard Monge probe via semantic gumbel-hard routing to test whether sharper one-to-one transport releases high-frequency style.
p1_sinkhorn_iters_1,ot_coupling_plan,semantic_sinkhorn_iters,True,,G:\GitHub\Latent_Style\SchrodingerBridge\exp\phase1_diagnostic_probes\configs\p1_sinkhorn_iters_1.json,G:\GitHub\Latent_Style\SchrodingerBridge\exp\phase1_diagnostic_probes\runs\p1_sinkhorn_iters_1,G:\GitHub\Latent_Style\SchrodingerBridge\S-add__K-1_C-0_W-20_Col-0\epoch_0007.pt,model.semantic_attn_routing_mode=sinkhorn; model.semantic_sinkhorn_iters=1,Probe whether enforcing approximate doubly-stochastic routing improves style-content transport geometry.
p1_sinkhorn_iters_3,ot_coupling_plan,semantic_sinkhorn_iters,True,,G:\GitHub\Latent_Style\SchrodingerBridge\exp\phase1_diagnostic_probes\configs\p1_sinkhorn_iters_3.json,G:\GitHub\Latent_Style\SchrodingerBridge\exp\phase1_diagnostic_probes\runs\p1_sinkhorn_iters_3,G:\GitHub\Latent_Style\SchrodingerBridge\S-add__K-1_C-0_W-20_Col-0\epoch_0007.pt,model.semantic_attn_routing_mode=sinkhorn; model.semantic_sinkhorn_iters=3,Probe whether enforcing approximate doubly-stochastic routing improves style-content transport geometry.
p1_sinkhorn_iters_5,ot_coupling_plan,semantic_sinkhorn_iters,True,,G:\GitHub\Latent_Style\SchrodingerBridge\exp\phase1_diagnostic_probes\configs\p1_sinkhorn_iters_5.json,G:\GitHub\Latent_Style\SchrodingerBridge\exp\phase1_diagnostic_probes\runs\p1_sinkhorn_iters_5,G:\GitHub\Latent_Style\SchrodingerBridge\S-add__K-1_C-0_W-20_Col-0\epoch_0007.pt,model.semantic_attn_routing_mode=sinkhorn; model.semantic_sinkhorn_iters=5,Probe whether enforcing approximate doubly-stochastic routing improves style-content transport geometry.
