experiment_id,epoch,epoch_num,skip_routing_mode,w_kinetic,w_cycle,terminal_swd_weight,w_color,clip_style,clip_content,content_lpips,one_minus_content_lpips,all_clip_style,all_clip_content,all_content_lpips,one_minus_all_content_lpips,transfer_clip_style,transfer_clip_content,transfer_content_lpips,one_minus_transfer_content_lpips,clip_style_photo_to_art,clip_content_photo_to_art,content_lpips_photo_to_art,delta_lpips_1_to_3,status
S-add__K-1_C-0_W-10_Col-0,epoch_0001,1,add_proj,1,0,10,0,0.697571,0.870031,0.386455,0.613545,0.697571,0.870031,0.386455,0.613545,0.665822,0.866452,0.394582,0.605418,0.643575,0.82257,0.429717,-0.009165,ok
S-add__K-1_C-0_W-10_Col-0,epoch_0002,2,add_proj,1,0,10,0,0.695839,0.87248,0.38005,0.61995,0.695839,0.87248,0.38005,0.61995,0.663675,0.86848,0.388281,0.611719,0.636984,0.842385,0.400096,-0.009165,ok
S-add__K-1_C-0_W-10_Col-0,epoch_0003,3,add_proj,1,0,10,0,0.697748,0.872822,0.37729,0.62271,0.697748,0.872822,0.37729,0.62271,0.665617,0.868074,0.385624,0.614376,0.639429,0.841775,0.402164,-0.009165,ok
S-add__K-1_C-0_W-10_Col-0,epoch_0004,4,add_proj,1,0,10,0,0.701196,0.866301,0.383219,0.616781,0.701196,0.866301,0.383219,0.616781,0.670144,0.861097,0.391577,0.608423,0.644873,0.831848,0.41481,-0.009165,ok
S-add__K-1_C-0_W-10_Col-0,epoch_0005,5,add_proj,1,0,10,0,0.703928,0.856022,0.396891,0.603109,0.703928,0.856022,0.396891,0.603109,0.674248,0.850656,0.405434,0.594566,0.651341,0.817934,0.430716,-0.009165,ok
S-add__K-1_C-0_W-10_Col-0,epoch_0006,6,add_proj,1,0,10,0,0.705283,0.850924,0.401245,0.598755,0.705283,0.850924,0.401245,0.598755,0.676046,0.84531,0.410318,0.589682,0.654075,0.812997,0.43189,-0.009165,ok
S-add__K-1_C-0_W-10_Col-0,epoch_0007,7,add_proj,1,0,10,0,0.70622,0.846118,0.407121,0.592879,0.70622,0.846118,0.407121,0.592879,0.677389,0.84016,0.4168,0.5832,0.653685,0.809125,0.433748,-0.009165,ok
S-add__K-1_C-0_W-10_Col-0,epoch_0008,8,add_proj,1,0,10,0,0.707227,0.838741,0.414042,0.585958,0.707227,0.838741,0.414042,0.585958,0.678841,0.832954,0.423482,0.576518,0.654665,0.804807,0.437868,-0.009165,ok
S-add__K-1_C-0_W-10_Col-15,epoch_0001,1,add_proj,1,0,10,15,0.703982,0.744664,0.500557,0.499443,0.703982,0.744664,0.500557,0.499443,0.686086,0.742669,0.50605,0.49395,0.656194,0.70011,0.557911,0.03485,ok
S-add__K-1_C-0_W-10_Col-15,epoch_0002,2,add_proj,1,0,10,15,0.701989,0.716608,0.520201,0.479799,0.701989,0.716608,0.520201,0.479799,0.688041,0.715166,0.525807,0.474193,0.653514,0.679512,0.582044,0.03485,ok
S-add__K-1_C-0_W-10_Col-15,epoch_0003,3,add_proj,1,0,10,15,0.699534,0.698461,0.535407,0.464593,0.699534,0.698461,0.535407,0.464593,0.687469,0.697124,0.541262,0.458738,0.65415,0.666392,0.597533,0.03485,ok
