experiment_id,epoch,epoch_num,skip_routing_mode,skip_fusion_mode,semantic_attn_temperature,style_attn_temperature,base_dim,num_res_blocks,w_kinetic,w_cycle,terminal_swd_weight,w_color,w_low_freq,w_repulsive,w_nce,low_freq_kernel_size,swd_use_high_freq,swd_patch_sizes,swd_num_projections,semantic_swd_num_projections,batch_size,learning_rate,num_epochs,save_interval,virtual_length_multiplier,clip_style,clip_content,content_lpips,one_minus_content_lpips,all_clip_style,all_clip_content,all_content_lpips,one_minus_all_content_lpips,transfer_clip_style,transfer_clip_content,transfer_content_lpips,one_minus_transfer_content_lpips,clip_style_photo_to_art,clip_content_photo_to_art,content_lpips_photo_to_art,delta_lpips_1_to_3,cmmd_all,dino_structure_all,gram_micro_all,gram_macro_all,cmmd_transfer,dino_structure_transfer,gram_micro_transfer,gram_macro_transfer,cmmd_photo_to_art,dino_structure_photo_to_art,gram_micro_photo_to_art,gram_macro_photo_to_art,status,returncode,summary_exists
S-add__K-3_C-2_W-10_Col-15,epoch_0001,1,add_proj,add_proj,0.12,0.08,64,4,3.0,2.0,10.0,15.0,0.0,0.0,0.0,5,False,3|5|7|15,64,64,32,5e-05,20,1,0.5,0.6978223231633504,0.8449237583066666,0.4056629919333334,0.5943370080666666,0.6978223231633504,0.8449237583066666,0.4056629919333334,0.5943370080666666,0.6690186975399652,0.8420073092333332,0.4125688717500001,0.5874311282499999,0.6450442569951216,0.78247033,0.46926657825,0.02369582579999996,,,,,,,,,,,,,ok,0,True
S-add__K-3_C-2_W-10_Col-15,epoch_0002,2,add_proj,add_proj,0.12,0.08,64,4,3.0,2.0,10.0,15.0,0.0,0.0,0.0,5,False,3|5|7|15,64,64,32,5e-05,20,1,0.5,0.70043945145607,0.83313594088,0.4226451138666667,0.5773548861333333,0.70043945145607,0.83313594088,0.4226451138666667,0.5773548861333333,0.6725174005826313,0.8293645534166666,0.43045321414999993,0.5695467858500001,0.6466968707740307,0.7752908768333332,0.48712338399999994,0.02369582579999996,,,,,,,,,,,,,ok,0,True
S-add__K-3_C-2_W-10_Col-15,epoch_0003,3,add_proj,add_proj,0.12,0.08,64,4,3.0,2.0,10.0,15.0,0.0,0.0,0.0,5,False,3|5|7|15,64,64,32,5e-05,20,1,0.5,0.7005441462596258,0.8270861345066666,0.42935881773333334,0.5706411822666666,0.7005441462596258,0.8270861345066666,0.42935881773333334,0.5706411822666666,0.6728696948786577,0.8231762758500001,0.4371789713,0.5628210287,0.646445502837499,0.7721973260833332,0.49220823291666665,0.02369582579999996,,,,,,,,,,,,,ok,0,True
S-add__K-3_C-2_W-10_Col-15,epoch_0004,4,add_proj,add_proj,0.12,0.08,64,4,3.0,2.0,10.0,15.0,0.0,0.0,0.0,5,False,3|5|7|15,64,64,32,5e-05,20,1,0.5,0.7011173570553462,0.8226506784533334,0.43408949732,0.56591050268,0.7011173570553462,0.8226506784533334,0.43408949732,0.56591050268,0.6739010504384835,0.8186997863666667,0.4418524811166667,0.5581475188833334,0.6469249847034614,0.7704170490833333,0.49509429325,0.02369582579999996,,,,,,,,,,,,,ok,0,True
S-add__K-3_C-2_W-10_Col-15,epoch_0005,5,add_proj,add_proj,0.12,0.08,64,4,3.0,2.0,10.0,15.0,0.0,0.0,0.0,5,False,3|5|7|15,64,64,32,5e-05,20,1,0.5,0.701171170671781,0.8202636251466667,0.4361181284800001,0.5638818715199999,0.701171170671781,0.8202636251466667,0.4361181284800001,0.5638818715199999,0.6741730055709679,0.8164004732500001,0.4438700540999999,0.5561299459000001,0.64759123797218,0.7692721889999999,0.49660700516666667,0.02369582579999996,,,,,,,,,,,,,ok,0,True
S-add__K-3_C-2_W-10_Col-15,epoch_0006,6,add_proj,add_proj,0.12,0.08,64,4,3.0,2.0,10.0,15.0,0.0,0.0,0.0,5,False,3|5|7|15,64,64,32,5e-05,20,1,0.5,0.7014987499713896,0.8199246654,0.4359106387866667,0.5640893612133333,0.7014987499713896,0.8199246654,0.4359106387866667,0.5640893612133333,0.6745949105421702,0.8160895462666667,0.4436430605166667,0.5563569394833333,0.6485518909990787,0.7688363533333333,0.4971574605833333,0.02369582579999996,,,,,,,,,,,,,ok,0,True
S-add__K-3_C-2_W-10_Col-15,epoch_0007,7,add_proj,add_proj,0.12,0.08,64,4,3.0,2.0,10.0,15.0,0.0,0.0,0.0,5,False,3|5|7|15,64,64,32,5e-05,20,1,0.5,0.7014590766032538,0.8193528731066665,0.4356769973200001,0.5643230026799999,0.7014590766032538,0.8193528731066665,0.4356769973200001,0.5643230026799999,0.6745338362952074,0.8154864548499999,0.4433048284333333,0.5566951715666667,0.649316651870807,0.76807486,0.4982301975000001,0.02369582579999996,,,,,,,,,,,,,ok,0,True
S-add__K-3_C-2_W-10_Col-15,epoch_0008,8,add_proj,add_proj,0.12,0.08,64,4,3.0,2.0,10.0,15.0,0.0,0.0,0.0,5,False,3|5|7|15,64,64,32,5e-05,20,1,0.5,0.7021274751027425,0.81773373724,0.43740285692,0.56259714308,0.7021274751027425,0.81773373724,0.43740285692,0.56259714308,0.6753981225689252,0.8137866283999999,0.4450035559166666,0.5549964440833334,0.6502457015216351,0.76567256225,0.5024298287500001,0.02369582579999996,,,,,,,,,,,,,ok,0,True
S-add__K-3_C-2_W-10_Col-15,epoch_0009,9,add_proj,add_proj,0.12,0.08,64,4,3.0,2.0,10.0,15.0,0.0,0.0,0.0,5,False,3|5|7|15,64,64,32,5e-05,20,1,0.5,0.7027671574751537,0.8152687251066666,0.44031041812000005,0.55968958188,0.7027671574751537,0.8152687251066666,0.44031041812000005,0.55968958188,0.6764227350552876,0.8114056716833333,0.4478606662,0.5521393338,0.6513472408056259,0.7618441445833333,0.5070081388333334,0.02369582579999996,,,,,,,,,,,,,ok,0,True
S-add__K-3_C-2_W-10_Col-15,epoch_0010,10,add_proj,add_proj,0.12,0.08,64,4,3.0,2.0,10.0,15.0,0.0,0.0,0.0,5,False,3|5|7|15,64,64,32,5e-05,20,1,0.5,0.7034428800741831,0.8143600996399998,0.4421934257866667,0.5578065742133334,0.7034428800741831,0.8143600996399998,0.4421934257866667,0.5578065742133334,0.6772540856401126,0.81043043305,0.4498032403833333,0.5501967596166667,0.6526227854192257,0.7597857153333333,0.5099308771666666,0.02369582579999996,,,,,,,,,,,,,ok,0,True
