experiment_id,epoch,epoch_num,skip_routing_mode,skip_fusion_mode,semantic_attn_temperature,style_attn_temperature,base_dim,num_res_blocks,w_kinetic,w_cycle,terminal_swd_weight,w_color,w_low_freq,w_repulsive,w_nce,low_freq_kernel_size,swd_use_high_freq,swd_patch_sizes,swd_num_projections,semantic_swd_num_projections,batch_size,learning_rate,num_epochs,save_interval,virtual_length_multiplier,clip_style,clip_content,content_lpips,one_minus_content_lpips,all_clip_style,all_clip_content,all_content_lpips,one_minus_all_content_lpips,transfer_clip_style,transfer_clip_content,transfer_content_lpips,one_minus_transfer_content_lpips,clip_style_photo_to_art,clip_content_photo_to_art,content_lpips_photo_to_art,delta_lpips_1_to_3,cmmd_all,dino_structure_all,gram_micro_all,gram_macro_all,cmmd_transfer,dino_structure_transfer,gram_micro_transfer,gram_macro_transfer,cmmd_photo_to_art,dino_structure_photo_to_art,gram_micro_photo_to_art,gram_macro_photo_to_art,status,returncode,summary_exists
S-add__K-1_C-0_W-10_Col-0,epoch_0001,1,add_proj,add_proj,0.12,0.08,64,4,1.0,0.0,10.0,0.0,0.0,0.0,0.0,5,False,3|5|7|15,64,64,108,0.0002,8,1,1,0.6975708537101746,0.87003054812,0.38645505770666666,0.6135449422933333,0.6975708537101746,0.87003054812,0.38645505770666666,0.6135449422933333,0.6658222171664239,0.8664515819,0.39458207488333336,0.6054179251166667,0.643574696034193,0.8225698765,0.42971690858333333,-0.00916495637333331,,,,,,,,,,,,,ok,0,True
S-add__K-1_C-0_W-10_Col-0,epoch_0002,2,add_proj,add_proj,0.12,0.08,64,4,1.0,0.0,10.0,0.0,0.0,0.0,0.0,5,False,3|5|7|15,64,64,108,0.0002,8,1,1,0.6958392717043559,0.8724797094,0.3800498122666667,0.6199501877333333,0.6958392717043559,0.8724797094,0.3800498122666667,0.6199501877333333,0.6636752958099047,0.8684800129833332,0.3882813256333334,0.6117186743666666,0.6369841160873573,0.8423845525833333,0.40009573924999997,-0.00916495637333331,,,,,,,,,,,,,ok,0,True
S-add__K-1_C-0_W-10_Col-0,epoch_0003,3,add_proj,add_proj,0.12,0.08,64,4,1.0,0.0,10.0,0.0,0.0,0.0,0.0,5,False,3|5|7|15,64,64,108,0.0002,8,1,1,0.697748105764389,0.8728216880533333,0.37729010133333335,0.6227098986666666,0.697748105764389,0.8728216880533333,0.37729010133333335,0.6227098986666666,0.6656168382366497,0.8680737932666667,0.38562384171666664,0.6143761582833334,0.6394288773338,0.8417747971666667,0.4021638476666667,-0.00916495637333331,,,,,,,,,,,,,ok,0,True
S-add__K-1_C-0_W-10_Col-0,epoch_0004,4,add_proj,add_proj,0.12,0.08,64,4,1.0,0.0,10.0,0.0,0.0,0.0,0.0,5,False,3|5|7|15,64,64,108,0.0002,8,1,1,0.7011956191857657,0.8663012847066667,0.3832191771066667,0.6167808228933334,0.7011956191857657,0.8663012847066667,0.3832191771066667,0.6167808228933334,0.6701444272200267,0.8610972243833332,0.39157706523333335,0.6084229347666666,0.6448730319738387,0.8318480909999999,0.4148099180000001,-0.00916495637333331,,,,,,,,,,,,,ok,0,True
S-add__K-1_C-0_W-10_Col-0,epoch_0005,5,add_proj,add_proj,0.12,0.08,64,4,1.0,0.0,10.0,0.0,0.0,0.0,0.0,5,False,3|5|7|15,64,64,108,0.0002,8,1,1,0.703928370277087,0.85602208832,0.3968908656666666,0.6031091343333335,0.703928370277087,0.85602208832,0.3968908656666666,0.6031091343333335,0.674248416076104,0.8506557166333334,0.4054344242666666,0.5945655757333335,0.6513413518667222,0.8179335002500001,0.43071612858333336,-0.00916495637333331,,,,,,,,,,,,,ok,0,True
S-add__K-1_C-0_W-10_Col-0,epoch_0006,6,add_proj,add_proj,0.12,0.08,64,4,1.0,0.0,10.0,0.0,0.0,0.0,0.0,5,False,3|5|7|15,64,64,108,0.0002,8,1,1,0.7052833715279897,0.8509236340933333,0.40124533446666666,0.5987546655333333,0.7052833715279897,0.8509236340933333,0.40124533446666666,0.5987546655333333,0.6760456109046936,0.84530975115,0.410317983,0.589682017,0.6540747518340746,0.8129973990833333,0.4318902330833333,-0.00916495637333331,,,,,,,,,,,,,ok,0,True
S-add__K-1_C-0_W-10_Col-0,epoch_0007,7,add_proj,add_proj,0.12,0.08,64,4,1.0,0.0,10.0,0.0,0.0,0.0,0.0,5,False,3|5|7|15,64,64,108,0.0002,8,1,1,0.706219963669777,0.8461179858533333,0.40712081641333336,0.5928791835866667,0.706219963669777,0.8461179858533333,0.40712081641333336,0.5928791835866667,0.6773886088033517,0.8401598329166665,0.4168001561666667,0.5831998438333332,0.6536851805945237,0.8091251663333332,0.4337483111666667,-0.00916495637333331,,,,,,,,,,,,,ok,0,True
S-add__K-1_C-0_W-10_Col-0,epoch_0008,8,add_proj,add_proj,0.12,0.08,64,4,1.0,0.0,10.0,0.0,0.0,0.0,0.0,5,False,3|5|7|15,64,64,108,0.0002,8,1,1,0.7072268083492915,0.8387406734266666,0.4140423068266666,0.5859576931733335,0.7072268083492915,0.8387406734266666,0.4140423068266666,0.5859576931733335,0.6788413776457309,0.8329544387333332,0.4234821779833333,0.5765178220166667,0.6546648785471916,0.8048065384166666,0.43786830983333325,-0.00916495637333331,,,,,,,,,,,,,ok,0,True
S-add__K-1_C-0_W-10_Col-15,epoch_0001,1,add_proj,add_proj,0.12,0.08,64,4,1.0,0.0,10.0,15.0,0.0,0.0,0.0,5,False,3|5|7|15,64,64,108,0.0002,8,1,1,0.7039819493691125,0.7446641747333334,0.50055736048,0.49944263952,0.7039819493691125,0.7446641747333334,0.50055736048,0.49944263952,0.6860856831570465,0.7426691852833334,0.5060499527666666,0.49395004723333336,0.6561943165957929,0.7001097927499998,0.5579105794166667,0.034850114133333276,,,,,,,,,,,,,ok,0,True
S-add__K-1_C-0_W-10_Col-15,epoch_0002,2,add_proj,add_proj,0.12,0.08,64,4,1.0,0.0,10.0,15.0,0.0,0.0,0.0,5,False,3|5|7|15,64,64,108,0.0002,8,1,1,0.7019885722001394,0.7166075412533333,0.5202006479866667,0.47979935201333335,0.7019885722001394,0.7166075412533333,0.5202006479866667,0.47979935201333335,0.6880412288506826,0.7151655419666667,0.5258072725166667,0.4741927274833333,0.6535144135355949,0.67951209425,0.5820436354999999,0.034850114133333276,,,,,,,,,,,,,ok,0,True
S-add__K-1_C-0_W-10_Col-15,epoch_0003,3,add_proj,add_proj,0.12,0.08,64,4,1.0,0.0,10.0,15.0,0.0,0.0,0.0,5,False,3|5|7|15,64,64,108,0.0002,8,1,1,0.699534413655599,0.6984606496799999,0.5354074746133333,0.46459252538666673,0.699534413655599,0.6984606496799999,0.5354074746133333,0.46459252538666673,0.6874685504039129,0.6971243962833333,0.5412619187166667,0.45873808128333327,0.6541503851612409,0.6663916900833333,0.5975333056666666,0.034850114133333276,,,,,,,,,,,,,ok,0,True
S-add__K-1_C-0_W-10_Col-15,epoch_0004,4,add_proj,add_proj,0.12,0.08,64,4,1.0,0.0,10.0,15.0,0.0,0.0,0.0,5,False,3|5|7|15,64,64,108,0.0002,8,1,1,0.6994402008851368,0.6922452184266666,0.5406382075866667,0.4593617924133333,0.6994402008851368,0.6922452184266666,0.5406382075866667,0.4593617924133333,0.6877791002392769,0.6907851170833332,0.54665268165,0.45334731835,0.6556628957390785,0.661152458,0.6073572489166668,0.034850114133333276,,,,,,,,,,,,,ok,0,True
S-add__K-1_C-0_W-10_Col-15,epoch_0005,5,add_proj,add_proj,0.12,0.08,64,4,1.0,0.0,10.0,15.0,0.0,0.0,0.0,5,False,3|5|7|15,64,64,108,0.0002,8,1,1,0.6950372192064921,0.6797339053466667,0.5468737559066666,0.45312624409333335,0.6950372192064921,0.6797339053466667,0.5468737559066666,0.45312624409333335,0.6841122803092003,0.67796421065,0.5526708650333333,0.4473291349666667,0.6532739073038101,0.6580092735833333,0.6011834968333333,0.034850114133333276,,,,,,,,,,,,,ok,0,True
S-add__K-1_C-0_W-10_Col-15,epoch_0006,6,add_proj,add_proj,0.12,0.08,64,4,1.0,0.0,10.0,15.0,0.0,0.0,0.0,5,False,3|5|7|15,64,64,108,0.0002,8,1,1,0.6985219570795693,0.6830077508133333,0.5478919121200001,0.4521080878799999,0.6985219570795693,0.6830077508133333,0.5478919121200001,0.4521080878799999,0.6874877711137135,0.68121817315,0.5536807362833331,0.44631926371666686,0.6565205415089925,0.6563350420833333,0.6089039719166667,0.034850114133333276,,,,,,,,,,,,,ok,0,True
S-add__K-1_C-0_W-10_Col-15,epoch_0007,7,add_proj,add_proj,0.12,0.08,64,4,1.0,0.0,10.0,15.0,0.0,0.0,0.0,5,False,3|5|7|15,64,64,108,0.0002,8,1,1,0.6987618670066199,0.6782287379333332,0.5529640400933333,0.44703595990666667,0.6987618670066199,0.6782287379333332,0.5529640400933333,0.44703595990666667,0.6882744351526102,0.6764177547,0.5589478597666666,0.4410521402333334,0.6574115499854087,0.6545161813333333,0.6088936103333333,0.034850114133333276,,,,,,,,,,,,,ok,0,True
S-add__K-1_C-0_W-10_Col-15,epoch_0008,8,add_proj,add_proj,0.12,0.08,64,4,1.0,0.0,10.0,15.0,0.0,0.0,0.0,5,False,3|5|7|15,64,64,108,0.0002,8,1,1,0.696896104256312,0.67207686796,0.5558083035333332,0.4441916964666668,0.696896104256312,0.67207686796,0.5558083035333332,0.4441916964666668,0.6867710533738135,0.6700990673333334,0.5618897895000001,0.4381102104999999,0.6563941940665246,0.652894945,0.6069175495833334,0.034850114133333276,,,,,,,,,,,,,ok,0,True
S-add__K-1_C-0_W-20_Col-0,epoch_0001,1,add_proj,add_proj,0.12,0.08,64,4,1.0,0.0,20.0,0.0,0.0,0.0,0.0,5,False,3|5|7|15,64,64,108,0.0002,8,1,1,0.7036364084879558,0.8391597369466666,0.42715468284000013,0.5728453171599999,0.7036364084879558,0.8391597369466666,0.42715468284000013,0.5728453171599999,0.6747356924414636,0.835390422,0.43531108865000007,0.56468891135,0.6572788787384828,0.7871949981666667,0.474012871,-0.004788707306666862,,,,,,,,,,,,,ok,0,True
S-add__K-1_C-0_W-20_Col-0,epoch_0002,2,add_proj,add_proj,0.12,0.08,64,4,1.0,0.0,20.0,0.0,0.0,0.0,0.0,5,False,3|5|7|15,64,64,108,0.0002,8,1,1,0.7030776033401489,0.8412250300666667,0.42220418536000004,0.57779581464,0.7030776033401489,0.8412250300666667,0.42220418536000004,0.57779581464,0.6741143502791723,0.83652638825,0.4302377757833333,0.5697622242166667,0.6553208045661449,0.8025770320000001,0.45414391425,-0.004788707306666862,,,,,,,,,,,,,ok,0,True
