baseline,method,source,protocol,images,clip_style,clip_content,content_lpips,ssim_y,edge_f1,edge_iou,hf_ratio_src,hf_ratio_style,tv_ratio_style,noise_ratio_style,lap_var_ratio_style,blockiness,blur_style_clip,down_style_clip,blur_style_drop,down_style_drop,extra_edge_rate,edge_density_ratio,chroma_speckle_z,flat_chroma_hf_z,risk_flags,transfer_clip_style,transfer_clip_content,transfer_content_lpips,photo_to_art_clip_style,photo_to_art_clip_content,photo_to_art_content_lpips,identity_clip_content,identity_content_lpips,musiq,maniqa,dists_content,fft_radial_kl_style,fft_slope_error,chroma_grain_index,hf_patch_kid,plain_kid,denoise_style_drop,denoise_chroma_delta,chroma_acl_z,chroma_moran_z,small_blob_ratio_z,structure_tensor_coherence_z,stroke_grain_artifact,eval_sec,train_sec,art_fid_fid,art_fid_content_lpips,art_fid,clip_dir,fid,fid_baseline,delta_fid,delta_fid_ratio,kid,kid_baseline,delta_kid,delta_kid_ratio
ours_pareto_probe_4_epoch_0001,Ours (probe4 ep1),protocol_eval_table,protocol_a_800,750,0.6908,0.8394,0.4184,,,,,,,,,,,,,,,,,,,,,,0.6630,0.8370,0.4231,0.6431,0.7686,0.4923,0.8492,0.3994,,,,,,,,,,,,,,,,,,,,,,,,,21.7,,,,,,,,,,
ours_epoch_0007,Ours (ep7),complete_750,protocol_a_800,750,0.7041,0.8043,0.4587,0.4545,0.3110,0.1867,0.8570,0.7694,0.8101,0.9204,0.6376,1.1770,0.7007,0.7055,0.0034,-0.0014,0.0764,0.8426,-0.4860,-0.5239,,0.6630,0.8370,0.4231,0.6431,0.7686,0.4923,0.8492,0.3994,49.2059,0.4057,0.2477,0.0853,0.5473,0.1391,4.1694,0.0524,0.0056,0.7039,-0.4245,0.0905,0.1160,0.5311,0.2,60.0,290.7,,,,,,,,,,
D0_full_correct_7ep,Ours D0 full,ablation,protocol_a_800,750,0.7014,0.8022,0.4593,0.4542,0.3090,0.1849,,,,,,,,,0.0039,-0.0012,0.0976,-0.5035,-0.4974,,,,,,,,,,,,,,,,,,,,,,,,,4.1845,0.0542,,60.0,290.7,,,,,,,,,,
D1_no_terminal_swd,w/o terminal SWD,ablation,protocol_a_800,750,0.6708,0.8989,0.3490,0.4729,0.1824,0.1082,,,,,,,,,0.0007,-0.004,0.0,-0.4394,-1.1616,,,,,,,,,,,,,,,,,,,,,,,,,5.8435,0.0420,,63.6,295.9,,,,,,,,,,
D2_no_kinetic,w/o kinetic,ablation,protocol_a_800,750,0.7159,0.6624,0.6375,0.2687,0.2492,0.1430,,,,,,,,,0.0032,-0.0005,0.1527,-0.0002,-0.2098,,,,,,,,,,,,,,,,,,,,,,,,,4.7765,0.1263,,64.4,303.3,,,,,,,,,,
D3_no_swd_no_kinetic,w/o SWD and kinetic,ablation,protocol_a_800,750,0.6884,0.8527,0.3938,0.4368,0.1694,0.0958,,,,,,,,,-0.0006,-0.0043,0.0021,-0.318,-0.9807,,,,,,,,,,,,,,,,,,,,,,,,,6.7452,0.0495,,60.6,306.6,,,,,,,,,,
D4_conv_body_no_global_attn,conv body no global attn,ablation,protocol_a_800,750,0.7022,0.8020,0.4594,0.4543,0.3091,0.1849,,,,,,,,,0.0045,-0.0005,0.0978,-0.5031,-0.4995,,,,,,,,,,,,,,,,,,,,,,,,,4.1791,0.0545,,78.8,295.5,,,,,,,,,,
D5_disable_skip_routing,disable routed skip path,ablation,protocol_a_800,750,0.6951,0.8057,0.4727,0.4613,0.2975,0.1780,,,,,,,,,0.0017,-0.0058,0.067,-0.3204,-0.701,,,,,,,,,,,,,,,,,,,,,,,,,4.9850,0.0624,,62.0,294.6,,,,,,,,,,
D6_disable_spatial_prior,disable spatial style prior,ablation,protocol_a_800,750,0.7022,0.8033,0.4589,0.4548,0.3095,0.1853,,,,,,,,,0.0044,-0.0002,0.0971,-0.5018,-0.5002,,,,,,,,,,,,,,,,,,,,,,,,,4.1942,0.0541,,61.8,305.8,,,,,,,,,,
D7_no_residual_path,no residual path,ablation,protocol_a_800,750,0.7013,0.8025,0.4592,0.4547,0.3093,0.1851,,,,,,,,,0.0037,-0.0013,0.0972,-0.5061,-0.5022,,,,,,,,,,,,,,,,,,,,,,,,,4.1761,0.0545,,61.9,304.3,,,,,,,,,,
D8_strong_color_loss,strong color loss,ablation,protocol_a_800,750,0.6923,0.6629,0.5675,0.3401,0.2769,0.1616,,,,,,,,,0.0081,0.0124,0.1966,-0.7679,-0.15,,,,,,,,,,,,,,,,,,,,,,,,,5.6793,0.1485,,61.0,308.6,,,,,,,,,,
D9_l2_ot_cost,L2 matching cost,ablation,protocol_a_800,750,0.7016,0.8021,0.4589,0.455,0.309,0.1849,,,,,,,,,0.0036,-0.0012,0.0969,-0.4986,-0.4989,,,,,,,,,,,,,,,,,,,,,,,,,4.1912,0.0542,,59.3,311.1,,,,,,,,,,
D10_micro_hf_swd_trap,micro high-frequency SWD,ablation,protocol_a_800,750,0.6989,0.7772,0.4863,0.3883,0.1925,0.1088,,,,,,,,,0.0014,-0.0064,0.0452,-0.3699,-0.8414,,,,,,,,,,,,,,,,,,,,,,,,,5.7101,0.0892,,59.4,302.1,,,,,,,,,,
D11_single_terminal_step,single terminal step,ablation,protocol_a_800,750,0.7012,0.8032,0.4585,0.455,0.3096,0.1854,,,,,,,,,0.0035,-0.0014,0.0965,-0.5014,-0.5031,,,,,,,,,,,,,,,,,,,,,,,,,4.1723,0.0545,,59.9,298.6,,,,,,,,,,
cut,CUT,protocol_eval_table,protocol_a_800,750,0.7588,0.7794,0.4906,,,,,,,,,,,,,,,,,,,,,,0.7392,0.7578,0.5095,0.7537,0.6917,0.5595,0.8659,0.4150,,,,,,,,,,,,,,,,,,,,,,,,,23.0,,,,,,,,,,
samst,SaMST (5style),protocol_eval_table,protocol_a_800,750,0.7253,0.7752,0.5390,,,,,,,,,,,,,,,,,,,,,,0.7035,0.7620,0.5571,0.6946,0.6808,0.6092,0.8278,0.4667,,,,,,,,,,,,,,,,,,,,,,,,,21.9,,,,,,,,,,
samst_strict,SaMST strict,complete_750,protocol_a_800,750,0.7194,0.8193,0.4664,0.6520,0.5162,0.3548,0.5864,0.5017,0.6199,0.9181,0.2311,1.3059,0.7169,0.7206,0.0025,-0.0012,0.1077,1.1212,0.2636,-0.3002,grainy_but_structured,,,,,,,,,36.095,0.3139,0.2943,0.2419,1.0536,-0.0063,6.7598,0.0489,0.0009,0.9413,-0.0915,0.6034,-0.3883,0.7819,-0.2,,,,,,,,,,
samst,SaMST (summary.json),summary_json,protocol_a_800,750,0.7557,0.8355,0.4104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4783,,,,,,,,,,,
s2wat,S2WAT,protocol_eval_table,protocol_a_800,750,0.7138,0.7464,0.5263,,,,,,,,,,,,,,,,,,,,,,0.6955,0.7362,0.5366,0.6900,0.7035,0.5622,0.7871,0.4852,,,,,,,,,,,,,,,,,,,,,,,,,21.6,,,,,,,,,,
s2wat_strict,S2WAT strict,complete_750,protocol_a_800,750,0.7139,0.7465,0.5263,0.5070,0.2574,0.1485,0.7944,0.7078,0.6501,0.9016,0.4269,1.1296,0.7269,0.7231,-0.0130,-0.0092,0.0776,0.8264,-0.4523,-0.5766,,,,,,,,,,,,,,,,,,36.5256,0.1754,0.2942,0.1224,0.7017,0.2606,12.6623,0.0567,0.0192,0.7073,-0.6068,-0.2747,0.3967,,,,,,,,,
styleid,StyleID,protocol_eval_table,protocol_a_800,750,0.7777,0.6402,0.5928,,,,,,,,,,,,,,,,,,,,,,0.7669,0.6041,0.6023,0.8075,0.5628,0.5937,0.7845,0.5549,,,,,,,,,,,,,,,,,,,,,,,,,27.7,,,,,,,,,,
styleid_strict,StyleID strict,complete_750,protocol_a_800,750,0.7597,0.5519,0.7497,0.1466,0.1954,0.1094,1.3291,1.1505,1.1871,1.1385,1.2116,1.0072,0.7665,0.778,-0.0005,-0.012,0.2886,1.2336,0.7909,1.9891,"weak_content,semantic_drift,noisy_vs_style,chroma_speckle",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
styleid,StyleID (summary.json),summary_json,protocol_a_800,750,0.7979,0.5514,0.7881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7253,,,,,,,,,,,
sdturbo,SD-Turbo,protocol_eval_table,protocol_a_800,750,0.7769,0.6505,0.6265,,,,,,,,,,,,,,,,,,,,,,0.7614,0.5662,0.7787,0.7841,0.5345,0.8086,0.9875,0.0175,,,,,,,,,,,,,,,,,,,,,,,,,21.6,,,,,,,,,,
sdedit_str_0p10,SDEdit str=0.10,protocol_eval_table,protocol_a_800,750,0.7023,0.8759,0.3236,,,,,,,,,,,,,,,,,,,,,,0.6682,0.8480,0.4001,0.6295,0.8324,0.3912,0.9875,0.0175,,,,,,,,,,,,,,,,,,,,,,,,,21.7,,,,,,,,,,
sdedit_str_0p20,SDEdit str=0.20,protocol_eval_table,protocol_a_800,750,0.7063,0.7772,0.4087,,,,,,,,,,,,,,,,,,,,,,0.6732,0.7246,0.5066,0.6514,0.7070,0.5057,0.9875,0.0175,,,,,,,,,,,,,,,,,,,,,,,,,21.7,,,,,,,,,,
sdedit_str_0p35,SDEdit str=0.35,protocol_eval_table,protocol_a_800,750,0.6966,0.6899,0.4904,,,,,,,,,,,,,,,,,,,,,,0.6611,0.6155,0.6087,0.6509,0.6110,0.6100,0.9875,0.0175,,,,,,,,,,,,,,,,,,,,,,,,,23.1,,,,,,,,,,
sdedit_str_0p40,SDEdit str=0.40,protocol_eval_table,protocol_a_800,750,0.6968,0.6727,0.5155,,,,,,,,,,,,,,,,,,,,,,0.6613,0.5940,0.6400,0.6467,0.5942,0.6369,0.9875,0.0175,,,,,,,,,,,,,,,,,,,,,,,,,21.8,,,,,,,,,,
adain_v32k,AdaIN v32k,complete_750,protocol_a_800,750,0.7130,0.6990,0.6298,0.3246,0.0167,0.0086,0.1935,0.1573,0.1591,0.4553,0.0265,1.6590,0.6739,0.6945,0.0391,0.0185,0.0071,0.0222,1.1066,-1.271,"washed_structure,blocky,style_not_blur_robust,style_not_scale_robust,chroma_speckle",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adain_vgg19,AdaIN vgg19,complete_750,protocol_a_800,750,0.6930,0.5991,0.6870,0.2897,0.0182,0.0094,0.2031,0.1611,0.1538,0.4449,0.0275,1.6775,0.6268,0.6569,0.0662,0.0361,0.0197,0.0338,0.3528,-1.4401,"semantic_drift,washed_structure,blocky,style_not_blur_robust,style_not_scale_robust",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adain_bad,AdaIN bad,complete_750,protocol_a_800,750,0.6308,0.5297,0.8490,0.2868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6238,0.6308,0.007,0.0,0.0,0.0,410.2368,-1.829,"weak_content,semantic_drift,washed_structure,chroma_speckle",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
samam_b6_seg250_diag_step3000,SaMAM b6 seg250 diag step3000,eval_curve,5style_30img,750,0.6978,,0.3221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,269.1385,0.2770,345.6017,,306.1602,279.435,-26.7252,,,,
