baseline,style,resolution,lpips,clip_style,clip_content
s2wat,monet,256,0.9912434895833332,,
s2wat,monet,256,0.79328125,,
s2wat,vangogh,256,0.803427734375,,
s2wat,cezanne,256,0.825458984375,,
s2wat,Hayao,256,0.782685546875,,
samst,monet,256,0.551865234375,,
samst,vangogh,256,0.5548095703125,,
samst,ukiyoe,256,0.551298828125,,
samst,cezanne,256,0.5519970703125,,
style_aligned,monet,256,0.6884765625,,
styleid,monet,256,0.77275390625,,
styleid,vangogh,256,0.770751953125,,
styleid,cezanne,256,0.770751953125,,
styleid,Hayao,256,0.76896484375,,
styleid,monet,256,0.77275390625,,
styleid,monet,256,0.77275390625,0.7241577506065369,0.5032814741134644
