epoch,loss,gram,moment,code,cycle,nce,idt,lr,epoch_time_sec
1,10.292750746011734,0.012496166804339737,0.31511023454368114,0.01212145303725265,0.006859613225969952,0.0,3.6336837688111245e-05,0.0002,9.956624269485474
2,8.813219577074051,0.012756112089846283,0.2782221268862486,0.0025733966031111777,0.0011618611933954526,0.0,4.5313929817325516e-06,0.00019947958005998598,0.8447690010070801
3,8.386334776878357,0.011740606190869585,0.26578888297080994,0.0013348204811336473,0.000923407464142656,0.0,9.315342072113708e-05,0.00019792402206971155,0.8557801246643066
4,8.305323272943497,0.011735390697140247,0.26278588455170393,0.0009008003653434571,0.001060868991771713,0.0,0.0007633504246769007,0.0001953503690480396,0.8500702381134033
5,7.780426442623138,0.011251262592850253,0.24526446405798197,0.0006668358182650991,0.0012157884557382204,0.0,0.0017496794534963556,0.00019178681847604708,0.8562343120574951
6,7.877644866704941,0.011444306263001636,0.24803244322538376,0.00047400311450473964,0.001153338307631202,0.0,0.0030935489194234833,0.0001872724133595217,0.8605880737304688
7,7.650353521108627,0.011240397783694789,0.24030388239771128,0.000423926321673207,0.0010533373169892002,0.0,0.0047118829970713705,0.00018185661446562003,0.8517625331878662
8,7.874380588531494,0.012273888860363513,0.24598858412355185,0.00044245898789085913,0.0011020271085726563,0.0,0.00669803234632127,0.00017559875842035246,0.8470277786254883
9,6.829506546258926,0.01003743225010112,0.21310126688331366,0.00039999813088797964,0.0008869555713317823,0.0,0.008699775178683922,0.00016856740760409154,0.8508172035217285
10,7.746389701962471,0.01093854766804725,0.23994883196428418,0.000379155946575338,0.0022151329430926125,0.0,0.01052202720893547,0.00016083959896778495,0.8528289794921875
11,7.120251804590225,0.010654859303031117,0.21871014777570963,0.0003743698907783255,0.002298048260854557,0.0,0.012065550894476473,0.0001525,0.8506417274475098
12,6.852238819003105,0.01009334743139334,0.20949839102104306,0.00036968380663893186,0.0024805433495203033,0.0,0.013676270784344524,0.00014363998109220104,0.8515026569366455
13,6.646555453538895,0.009841146558756009,0.2018800899386406,0.00036494392043096013,0.002816735788655933,0.0,0.015043229679577053,0.00013435661446562,0.8512513637542725
14,6.770660161972046,0.01058053525048308,0.20533784897997975,0.0003656303251773352,0.0024240139828179963,0.0,0.01682517846347764,0.00012475161062768713,0.24450445175170898
15,7.259168297052383,0.011153418017784134,0.2219166336581111,0.00036077064942219295,0.0017182094634335954,0.0,0.017754870816133916,0.0001149302040104271,0.8482761383056641
16,6.774654000997543,0.010728663270128891,0.20423866529017687,0.00035643864976009354,0.0026770718905027024,0.0,0.01882161176763475,0.00010500000000000003,0.8588507175445557
17,6.444118097424507,0.009582771454006433,0.19491249788552523,0.00035477446908771526,0.0020482626496232115,0.0,0.020329924765974283,9.506979598957294e-05,0.855475902557373
18,6.660613507032394,0.010056780301965773,0.20255906786769629,0.00035003668563149404,0.0012575561486301012,0.0,0.021575989900156856,8.524838937231286e-05,0.8669202327728271
19,6.510295480489731,0.010160739358980209,0.19702898571267724,0.00034976065398950595,0.0012137944540882017,0.0,0.02304162341170013,7.564338553438001e-05,0.8629493713378906
20,6.151652216911316,0.009536949946777895,0.18539253622293472,0.0003435460566834081,0.0011457285108917858,0.0,0.02430456643924117,6.6360018907799e-05,0.8567302227020264
21,6.156893670558929,0.010320519038941711,0.18476219568401575,0.00034212847822345793,0.0008973663461802062,0.0,0.025612264988012612,5.750000000000002e-05,0.843766450881958
22,6.03250028192997,0.009658126611611806,0.18118033232167363,0.00034339063677180093,0.0007693288062000647,0.0,0.026544611086137593,4.916040103221506e-05,0.8548998832702637
23,6.427735507488251,0.009587500535417348,0.19400840625166893,0.0003348371810716344,0.0008708097411727067,0.0,0.027296949760057032,4.14325923959085e-05,0.858705997467041
24,6.283821731805801,0.009590119821950793,0.18876464571803808,0.00033199601966771297,0.0009751718462212011,0.0,0.02811000868678093,3.440124157964757e-05,0.8541533946990967
25,6.331426620483398,0.009676667279563844,0.19040814973413944,0.00032443023337691557,0.0007737470150459558,0.0,0.02869505004491657,2.8143385534380006e-05,0.8516180515289307
26,6.319629520177841,0.010126038629096001,0.18952081352472305,0.00033425922265450936,0.0006998324970481917,0.0,0.029188988264650106,2.272758664047833e-05,0.8518760204315186
27,6.596970736980438,0.011156484659295529,0.19772103428840637,0.0003184795114066219,0.0006215589819476008,0.0,0.029638236621394753,1.821318152395291e-05,0.8522696495056152
28,6.182705938816071,0.009606823528883979,0.18537108274176717,0.00031577823756379075,0.000604762044531526,0.0,0.029997291043400764,1.4649630951960416e-05,0.8535463809967041
29,6.687987849116325,0.010455680981976911,0.20121101383119822,0.00033188909947057255,0.0006111857146606781,0.0,0.030410880397539586,1.207597793028846e-05,0.8574082851409912
30,6.192794293165207,0.01008093828568235,0.1850419007241726,0.00030570274611818604,0.0005932936655881349,0.0,0.030638740048743784,1.0520419940014028e-05,0.8471078872680664
