epoch,loss,swd,color,identity,delta_tv,identity_ratio,lr,data_time_sec,transfer_time_sec,fwd_loss_time_sec,backward_time_sec,optimizer_time_sec,step_overhead_time_sec,compute_time_sec,epoch_time_sec,samples_seen,samples_per_sec,compute_samples_per_sec
1,15.82844352722168,0.3130768835544586,0.33584362268447876,0.1998736411333084,0.06921114772558212,0.20205076038837433,0.00014,0.7333027000131551,0.013107599952491,83.49298540002201,10.821894900058396,0.18652270003804006,10.553824800008442,94.51451060007093,105.80825924873352,10240,96.77883440013751,108.34315212538714
2,15.132800102233887,0.29863476753234863,0.26622194051742554,0.29668092727661133,0.10033116489648819,0.20400388538837433,0.00013995142928316555,0.7195321999897715,0.012495299975853413,84.05664539991994,8.711955899867462,0.1384415999345947,10.578367300244281,92.91953819969785,104.22075033187866,10240,98.25298673624907,110.2028722742113
3,14.87850284576416,0.2935188114643097,0.2634199857711792,0.30085617303848267,0.1323477178812027,0.20283202826976776,0.00013980579202518706,0.7082824999815784,0.011771399964345619,84.03743450011825,8.710443699994357,0.13848290004534647,10.569968699885067,92.8981325001223,104.17958760261536,10240,98.29180778733406,110.22826535276712
4,14.616910934448242,0.2883029282093048,0.2605171799659729,0.30025574564933777,0.15215909481048584,0.20126952230930328,0.00013956331278816035,0.6907049999863375,0.011604699917370453,84.07997209994937,8.725841800041962,0.13441900006728247,10.553887200017925,92.95183759997599,104.19911170005798,10240,98.27339055899363,110.16457839239797
5,14.496177673339844,0.28592902421951294,0.24768690764904022,0.3024676740169525,0.16912269592285156,0.20097656548023224,0.00013922436545749366,0.690553399908822,0.01077869997243397,83.93350510008167,8.726324600109365,0.1367265000299085,10.580479399795877,92.80733490019338,104.08032464981079,10240,98.38555014555881,110.3361066343762
6,14.385087966918945,0.28374046087265015,0.23757578432559967,0.30399420857429504,0.18740977346897125,0.19882811605930328,0.0001387894726654035,0.6909496999869589,0.011729199904948473,83.9497427000606,8.735807400051272,0.13994180015288293,10.537176899786573,92.8372211001697,104.06803321838379,10240,98.39717042131134,110.3005871852974
7,14.20138168334961,0.2800099849700928,0.23771105706691742,0.30982494354248047,0.20350821316242218,0.19921875,0.0001382593049850536,0.6881644000532106,0.010668699949746951,83.98175229993649,8.735862700094003,0.13491589995101094,10.558448200201383,92.86319959993125,104.11248826980591,10240,98.35515575675416,110.26973057266467
8,14.144563674926758,0.2788054347038269,0.2375141829252243,0.3174498379230499,0.2060333639383316,0.19453123211860657,0.00013763467989657977,0.6849875999614596,0.011778800166212022,83.9530576999241,8.752285000082338,0.13673620004556142,10.568425899837166,92.85385770021821,104.1100754737854,10240,98.35743518002155,110.28082465954384
9,14.232037544250488,0.2805922329425812,0.23493824899196625,0.31477075815200806,0.2045261114835739,0.20742186903953552,0.00013691656052659468,0.7020952999882866,0.011120500072138384,84.0249530999281,8.732223200117005,0.13842100009787828,10.571719999803463,92.90671780021512,104.1830153465271,10240,98.2885738710897,110.2180794075613
10,14.178375244140625,0.27944058179855347,0.23450684547424316,0.3231617510318756,0.2297661304473877,0.20058593153953552,0.0001361060541631165,0.6974528999126051,0.011352700006682426,84.10053759999573,8.702164599992102,0.13699939995422028,10.556861699966248,92.95105429994874,104.20756483078003,10240,98.26541879784324,110.16550675106917
11,14.2384614944458,0.28061696887016296,0.2433721125125885,0.3210444152355194,0.22999361157417297,0.20185546576976776,0.00013520441054821106,0.693305099994177,0.011499600048409775,84.00275870005134,8.712774699990405,0.13398090002010576,10.555197899899213,92.86101390011027,104.11219429969788,10240,98.35543347134809,110.27232602709974
12,14.071968078613281,0.2772892415523529,0.2382703572511673,0.3232957720756531,0.24552467465400696,0.2011718899011612,0.0001342130199509801,0.6947981999837793,0.011053300084313378,83.96013720004703,8.711033699888503,0.13758169999346137,10.577379100053804,92.81980590001331,104.09511947631836,10240,98.37156680846694,110.32128219521015
13,14.059464454650879,0.277105450630188,0.2279033064842224,0.3218262791633606,0.23949843645095825,0.2050780951976776,0.00013313341102386714,0.6877510000194889,0.010897999949520454,84.00566719993367,8.697660299949348,0.1394501999602653,10.57467740017455,92.8536756997928,104.11933398246765,10240,98.3486890314174,110.2810408185365
14,14.089640617370605,0.2776346206665039,0.23508891463279724,0.3259248435497284,0.24703888595104218,0.19853514432907104,0.00013196724844558619,0.6889293999702204,0.010773100017104298,84.0226194000279,8.736922399926698,0.13456190010765567,10.560832499933895,92.90487680007936,104.15701532363892,10240,98.31310899397465,110.22026348557897
15,14.045889854431152,0.27677375078201294,0.22799070179462433,0.3282497525215149,0.2490117847919464,0.20283205807209015,0.00013071633035430775,0.695702600030927,0.011166099924594164,84.08544120000442,8.696287999860942,0.13821870004176162,10.550118900078814,92.93111399983172,104.18010640144348,10240,98.29131831120992,110.18914504800343
16,14.08440113067627,0.2775839567184448,0.2304031252861023,0.3223203122615814,0.2562435567378998,0.20332029461860657,0.0001293825855750603,0.6863753999932669,0.011177999986102805,84.08400049991906,8.69838380010333,0.14147900001262315,10.564940199925331,92.93504130002111,104.18937802314758,10240,98.28257154702465,110.18448861438956
17,13.925156593322754,0.27435609698295593,0.2218261957168579,0.3317031264305115,0.26295706629753113,0.2055663764476776,0.00012796807064562163,0.6909058999153785,0.011216199985938147,83.98721050002496,8.7221185999515,0.13625579993822612,10.57897280016914,92.85680109990062,104.12947225570679,10240,98.33911358788049,110.27732894850885
