source,target,energy_LL,energy_LH,energy_HL,energy_HH,share_LL,share_LH,share_HL,share_HH
Early_Renaissance,Impressionism,3.1878600120544434,0.6503080129623413,0.7144116163253784,0.5799665451049805,0.6211069226264954,0.12670280039310455,0.13919243216514587,0.11299781501293182
Early_Renaissance,Minimalism,5.294233798980713,0.5864784717559814,0.6871287226676941,0.49018290638923645,0.7501014471054077,0.08309385925531387,0.09735426306724548,0.06945044547319412
Early_Renaissance,Rococo,3.6299026012420654,0.610813558101654,0.7128465175628662,0.5614255666732788,0.6581886410713196,0.11075518280267715,0.1292562186717987,0.10179995745420456
Early_Renaissance,Ukiyo_e,3.0595643520355225,0.7159504294395447,0.7930651903152466,0.6477394700050354,0.5865370035171509,0.13725203275680542,0.15203538537025452,0.12417557090520859
Impressionism,Early_Renaissance,3.1287567615509033,0.6442303657531738,0.7096312642097473,0.5776737928390503,0.6182956695556641,0.12731090188026428,0.14023523032665253,0.11415819078683853
Impressionism,Minimalism,5.38251256942749,0.5644097924232483,0.5991302132606506,0.4503055810928345,0.769330620765686,0.08067194372415543,0.08563458919525146,0.06436285376548767
Impressionism,Rococo,3.663574695587158,0.6051927804946899,0.6348938345909119,0.5397143363952637,0.673033595085144,0.11117968708276749,0.11663605272769928,0.09915067255496979
Impressionism,Ukiyo_e,3.2042112350463867,0.6941571831703186,0.7200868129730225,0.6219440698623657,0.6114441752433777,0.13246266543865204,0.13741068542003632,0.11868257820606232
Minimalism,Early_Renaissance,5.159054279327393,0.5893657207489014,0.6856005191802979,0.47930487990379333,0.7462479472160339,0.08525069057941437,0.09917087852954865,0.06933058798313141
Minimalism,Impressionism,5.1810173988342285,0.5826427936553955,0.6098927855491638,0.4555222690105438,0.7586703896522522,0.08531796187162399,0.0893082544207573,0.06670335680246353
Minimalism,Rococo,6.088351726531982,0.5388693809509277,0.6019139885902405,0.43777886033058167,0.79410719871521,0.07028504461050034,0.07850798964500427,0.05709974840283394
Minimalism,Ukiyo_e,4.896792888641357,0.6242460608482361,0.6796811819076538,0.517578661441803,0.7288739085197449,0.09291727840900421,0.10116863995790482,0.07704013586044312
Rococo,Early_Renaissance,3.6273586750030518,0.6346757411956787,0.7221145033836365,0.5783791542053223,0.6521061062812805,0.1140984296798706,0.1298176795244217,0.1039777472615242
Rococo,Impressionism,3.6497316360473633,0.60262531042099,0.6380556225776672,0.5394957661628723,0.6721534132957458,0.11098258197307587,0.11750761419534683,0.09935632348060608
Rococo,Minimalism,6.411200523376465,0.544664740562439,0.5957281589508057,0.43486911058425903,0.8027584552764893,0.06819849461317062,0.0745922401547432,0.05445077642798424
Rococo,Ukiyo_e,3.89021635055542,0.6656306385993958,0.7180600166320801,0.606218159198761,0.6615872979164124,0.11320007592439651,0.12211644649505615,0.1030961275100708
Ukiyo_e,Early_Renaissance,3.163149833679199,0.7183883190155029,0.8023251891136169,0.6488949060440063,0.5931546092033386,0.1347123384475708,0.15045221149921417,0.12168092280626297
Ukiyo_e,Impressionism,3.0748066902160645,0.6916384696960449,0.7045546770095825,0.6112635135650635,0.6050074100494385,0.13608868420124054,0.13863010704517365,0.1202738881111145
Ukiyo_e,Minimalism,5.019567966461182,0.6336718797683716,0.690098762512207,0.5295342803001404,0.7303449511528015,0.09219898283481598,0.10040906816720963,0.07704700529575348
Ukiyo_e,Rococo,4.104287624359131,0.6684485077857971,0.7226268649101257,0.6067840456962585,0.672597348690033,0.10954317450523376,0.11842174828052521,0.09943780303001404
