epoch,loss,distill,code,code_pred_norm,code_ref_norm,cycle,struct,edge,gram,gram_w,moment,push,nce,idt,w_cycle_eff,w_struct_eff,w_edge_eff,w_nce_eff,w_idt_eff,transfer_ratio,lr,epoch_time_sec
1,1.1499060958623886,0.27487697299569847,0.023847473450005055,0.4435456591099501,0.9059708894789219,0.0,0.0,0.0,0.018810378664638847,0.3762075765430927,0.040364764975383875,0.18526364296674727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0002,48.99398970603943
2,1.0767255353927612,0.45298355057835576,0.01903367316816002,0.5997339904308319,1.2494124817848205,0.0,0.0,0.0,0.006313385583925992,0.12626771222800015,0.007430029676761478,0.17998775146901608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0001988303923565381,37.94758319854736
3,1.022730438411236,0.47075197875499725,0.014898013491183519,0.7234273234009743,1.4108855026960372,0.0,0.0,0.0,0.004789685846772045,0.09579371742904186,0.004522722208639607,0.15217125803232193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0001953503690480396,37.864243507385254
4,0.9887502869963646,0.4799874421954155,0.014668175196275115,0.9136945375800133,1.5164151948690414,0.0,0.0,0.0,0.004143571390304714,0.08287142787128687,0.004161242402624339,0.1189025115966797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.00018964561979789495,37.87961149215698
5,0.9548527437448502,0.4890629106760025,0.014059978043660522,1.1382508814334868,1.6648084998130799,0.0,0.0,0.0,0.003667085818015039,0.0733417159318924,0.0038700613856781276,0.08393663421273231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.00018185661446562003,37.939368724823
6,0.9179585528373718,0.49335426568984986,0.013278309786692262,1.3786168265342713,1.7909783411026001,0.0,0.0,0.0,0.003378237873548642,0.06756475718691946,0.00357732524164021,0.05009450690820813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.00017217514421272203,38.01822566986084
7,1.1124079984426498,0.4991503997147083,0.013431718251667916,1.624728741645813,1.8808389341831206,0.0,0.0,0.0,0.003245039952453226,0.0649007986858487,0.003411294484976679,0.01653599014156498,5.320707550048828,0.0,0.0,0.0,0.0,0.0416666679084301,0.0,1.0,0.00016083959896778498,38.62534713745117
8,1.1920041286945342,0.5257116504013538,0.01321843727491796,1.755087924003601,1.8217679184675217,0.0,0.0,0.0,0.003095091499853879,0.061901830304414034,0.0032653713796753437,0.0006668685983299838,3.37756139755249,0.0,0.0,0.0,0.0,0.0833333358168602,0.0,1.0,0.00014812909747525697,38.69811511039734
9,1.2644912493228913,0.5373053355515003,0.01131367078050971,1.760858027935028,1.8289728212356566,0.0,0.4287359994649887,1.1120070391893386,0.002906831161817536,0.05813662357628346,0.0030983882676810025,0.00012621065080669068,2.6449618625640867,0.0,0.0,0.02083333395421505,0.008333333767950535,0.125,0.0,1.0,0.00013435661446562004,38.98636722564697
10,1.3006555867195129,0.548375695347786,0.010601753080263733,1.7630357074737548,1.8181161296367645,0.0,0.3983329892158508,1.0630565094947815,0.0027890721918083726,0.05578144401311874,0.0030012831219937653,6.892254021025224e-05,2.0371036386489867,0.0,0.0,0.0416666679084301,0.01666666753590107,0.1666666716337204,0.0,1.0,0.00011986127417882196,38.629080057144165
11,1.3309176909923552,0.554194507598877,0.009405064173042774,1.7617090606689454,1.8084043127298355,0.3693200695514679,0.3840967907011509,1.0432037127017975,0.002672722318675369,0.05345444658771157,0.002883180472999811,1.999489806166821e-05,1.6633123445510865,0.0,0.01666666753590107,0.0625,0.02500000037252903,0.2083333283662796,0.0,1.0,0.00010500000000000002,53.7968533039093
12,1.3802281230688096,0.5570736756920814,0.008723458691965788,1.7542075335979461,1.8304395133256912,0.3625450339913368,0.37571443632245066,1.0328493919968604,0.0025915417505893855,0.05183083524927497,0.002789741683518514,2.0794699970281272e-05,1.4978798890113831,0.0,0.03333333507180214,0.0833333358168602,0.03333333507180214,0.25,0.0,1.0,9.01387258211781e-05,53.82519507408142
