label,clip_style_tr,one_minus_lpips,delta_idt_tr,train_time_label,tw_artfid_all,tw_artfid_transfer,artfid_json
IDT,0.6399224616587161,1.0,0.0,ref,216.5097142982339,323.6599945942312,idt_full.json
SaMAM-2250,0.5522515382866064,0.6395476321627696,-0.0876709233721097,7.6h,315.18296373078084,380.76928200400187,samam_2250_full.json
Lat SaMAM,0.6547481072942416,0.836473777975,0.0148256456355255,140.6m,243.30662284135434,337.6527030570197,latent_samam_step1500_full.json
LBM-K,0.6711669415235519,0.6277191218166667,0.0312444798648358,1.2m,316.4518092580627,383.86392471073304,lbm_k_e1_full.json
LBM-Knee,0.7102169366677601,0.5397,0.070294475009044,6.4m,388.2101343827937,419.5286537681689,lbm_knee_e13_full.json
SaMST e15,0.69574123164018,0.3680504182666666,0.0558187699814639,5.8h,395.71082631904153,444.486319518232,samst_e15_full.json
Lat SaMST,0.6819825260837873,0.16816417518333326,0.0420600644250712,~35m,658.8333420019692,659.944176766184,latent_samst_batch1050_full.json
Seedream-4.5,0.692,0.5077,0.0520775383412839,API,311.5234732525203,361.6120976902602,seedream_full.json
LBM-PS-v2,0.730672041674455,0.3817,0.0907495800157389,6.8m,465.6048257068951,473.8911956971697,lbm_psv2_e13_full.json
