label,json,train_time_label,scope,aggregate_art_fid,aggregate_art_fid_fid,aggregate_art_fid_content_lpips,count,transfer_aggregate_art_fid,transfer_aggregate_art_fid_fid,transfer_aggregate_art_fid_content_lpips,transfer_count,wall_seconds,resolved_pair_count,missing_pair_count
IDT,idt_full.json,ref,paper_recompute_local_20260610_fullrerun,216.5150293388021,215.5150293388021,0.0,750,323.67044671847935,322.67044671847935,0.0,600,131.045403,750,0
Lat SaMAM,latent_samam_step1500_full.json,140.6m,paper_recompute_local_20260610_fullrerun,243.3102945026847,221.02835172433683,0.09750869572162628,750,337.66125006989563,307.1021177903102,0.09924624562263488,600,126.352467,750,0
Lat SaMST,latent_samst_batch1050_full.json,~35m,paper_recompute_local_20260610_fullrerun,658.8434326276098,341.04951139516777,0.9260776042938232,750,659.9548360049187,341.6780069969049,0.925590980052948,600,110.352027,750,0
LBM-K,lbm_k_e1_full.json,1.2m,paper_recompute_local_20260610_fullrerun,316.4609177195028,231.17144283303915,0.38445535898208616,750,383.87427402263654,278.62820746511426,0.3986276209354401,600,111.893161,750,0
LBM-Knee,lbm_knee_e13_full.json,6.4m,paper_recompute_local_20260610_fullrerun,388.223312221303,268.2407487907814,0.45082085728645327,750,419.54206286846784,288.7731110825916,0.45916405916213987,600,108.455612,750,0
LBM-PS-v2,lbm_psv2_e13_full.json,6.8m,paper_recompute_local_20260610_fullrerun,465.61895435240496,278.2205528734148,0.6812646508216857,750,473.9048747897609,281.1260812623203,0.696447241306305,600,112.126416,750,0
SaMAM-2250,samam_2250_full.json,7.6h,paper_recompute_local_20260610_fullrerun,315.18990995922684,247.3898812523148,0.26949641704559324,750,380.7781796546753,297.7598529058456,0.2751854211091995,600,126.884685,750,0
SaMST e15,samst_e15_full.json,5.8h,paper_recompute_local_20260610_fullrerun,395.7229138614116,247.83663598958105,0.607296621799469,750,444.49912125267895,276.8777398520507,0.6180839300155639,600,116.194534,750,0
Seedream-4.5,seedream_full.json,API,paper_recompute_local_20260610_fullrerun,311.53890873755535,217.78795850159455,0.4217744946479797,750,361.62622008635304,250.60188645451154,0.4394156336784363,600,215.406191,750,0
