epoch,loss,semigroup,swd,identity,identity_ratio,delta_tv,delta_l1,output_tv,train_num_steps,train_step_size,train_style_strength,lr,data_time_sec,transfer_time_sec,fwd_loss_time_sec,backward_time_sec,optimizer_time_sec,step_overhead_time_sec,compute_time_sec,epoch_time_sec,samples_seen,samples_per_sec,compute_samples_per_sec
1,15.241511344909668,0.013425031676888466,0.7496427893638611,0.11974858492612839,0.20185546576976776,0.0,0.12247953563928604,0.0,1.0,1.0,1.0,0.0002,3.3633708000998013,0.014410700125154108,78.78188419993967,45.172255800047424,0.20642289987881668,5.616757900133962,124.17497359999106,133.2479953765869,10240,76.8491861439236,82.46428167552062
2,10.419687271118164,0.0553247407078743,0.49465247988700867,0.24682703614234924,0.20136718451976776,0.0,0.2660122215747833,0.0,1.0,1.0,1.0,0.00019994217771805424,0.16177350006182678,0.014777400065213442,70.99174530000892,29.167238399997586,0.14564459986286238,5.6137390000221785,100.31940569993458,106.09896612167358,10240,96.51366431089288,102.07396992191988
3,8.47830581665039,0.05033383518457413,0.3999427258968353,0.2246948480606079,0.20166015625,0.0,0.2447264939546585,0.0,1.0,1.0,1.0,0.0001997688000299846,0.1934962999948766,0.014261500065913424,71.16480119994958,29.15108830004465,0.14729370002169162,5.614557499910006,100.47744470008183,106.2877848148346,10240,96.34220919966715,101.91341977859494
4,7.356131076812744,0.04816501960158348,0.34700191020965576,0.1938260793685913,0.20136718451976776,0.0,0.21792764961719513,0.0,1.0,1.0,1.0,0.0001994801342716195,0.14813249991857447,0.01771280000684783,71.03977060000761,29.150931899872376,0.14548839998315088,5.60069930012105,100.35390369986999,106.10579681396484,10240,96.50745112403028,102.0388806261581
5,7.171454906463623,0.044214557856321335,0.3396185040473938,0.17642894387245178,0.20136718451976776,0.0,0.20601511001586914,0.0,1.0,1.0,1.0,0.00019907662554463534,0.1851752998190932,0.014349599980050698,70.9848886000691,29.180281599925365,0.14693949988577515,5.630305900063831,100.32645929986029,106.1461112499237,10240,96.47079746416391,102.06679346067843
6,6.9854583740234375,0.043285880237817764,0.33126625418663025,0.16722926497459412,0.20175781846046448,0.0,0.20158182084560394,0.0,1.0,1.0,1.0,0.0001985588960302423,0.19416989994351752,0.01402630002121441,71.07964359983453,29.156285000033677,0.1452587000967469,5.600807299895678,100.39521359998616,106.1955075263977,10240,96.42592458494138,101.99689440176071
7,6.882354736328125,0.04488767683506012,0.32602569460868835,0.1676284670829773,0.20146484673023224,0.0,0.20700302720069885,0.0,1.0,1.0,1.0,0.00019792774402982574,0.15279540012124926,0.014196700067259371,70.98808989996905,29.168193600111408,0.14398379999329336,5.623901499842759,100.31446400014102,106.09483695030212,10240,96.51742058660885,102.0789982986462
8,6.903409481048584,0.044336192309856415,0.32767149806022644,0.16186358034610748,0.201171875,0.0,0.20418977737426758,0.0,1.0,1.0,1.0,0.00019718414273402354,0.16920399997616187,0.014591499959351495,70.98714760001167,29.166852899972582,0.14416519991937093,5.626221400074428,100.31275719986297,106.11217856407166,10240,96.5016470170479,102.08073515114175
9,6.673067569732666,0.04346781224012375,0.31734299659729004,0.15027306973934174,0.20156250894069672,0.0,0.19635464251041412,0.0,1.0,1.0,1.0,0.00019632923872213654,0.16763949993764982,0.01381770012085326,71.06711950004683,29.149916499998653,0.14554449985735118,5.608200499904342,100.37639820002369,106.15501189231873,10240,96.46270880160823,102.01601356121965
10,6.8829474449157715,0.044447969645261765,0.3279194235801697,0.14921052753925323,0.20175781846046448,0.0,0.19579051434993744,0.0,1.0,1.0,1.0,0.00019536435019418632,0.16100540000479668,0.01426360008190386,71.03152099996805,29.132679299946176,0.14491570004611276,5.617968099919381,100.32337960004224,106.10565447807312,10240,96.50758058437036,102.06992667934094
11,6.474804878234863,0.04332277923822403,0.3080423176288605,0.14420965313911438,0.20224609971046448,0.0,0.19390736520290375,0.0,1.0,1.0,1.0,0.0001942909649383465,0.17937849997542799,0.01388979988405481,71.01022790008574,29.161539699998684,0.144677700009197,5.6079487000533845,100.33033509997767,106.12157082557678,10240,96.4931061643503,102.06285058049485
12,6.414160251617432,0.04274148866534233,0.3052811622619629,0.14164398610591888,0.201171875,0.0,0.19395452737808228,0.0,1.0,1.0,1.0,0.0001931107380368811,0.15966279999702238,0.014457400073297322,71.02657140008523,29.16851469996618,0.14541389993974008,5.61320019987761,100.35495740006445,106.13109493255615,10240,96.48444696163064,102.03780924522044
13,6.651522159576416,0.04341847822070122,0.3174969255924225,0.13800908625125885,0.20146484673023224,0.0,0.19286726415157318,0.0,1.0,1.0,1.0,0.0001918254893141276,0.17414599997573532,0.014031699975021183,71.08575880009448,29.15311519993702,0.14589089999208227,5.614492700085975,100.3987965999986,106.1904067993164,10240,96.43055628699145,101.99325436934711
14,6.446897983551025,0.0424112044274807,0.3076106011867523,0.13482463359832764,0.20068359375,0.0,0.1915467381477356,0.0,1.0,1.0,1.0,0.00019043720053045978,0.1488608999934513,0.01461450001806952,71.09182680005324,29.180298300110735,0.14668000006349757,5.620581299881451,100.43341960024554,106.20645928382874,10240,96.41598137298197,101.95809363813562
