epoch,loss,swd,color,oob,identity,identity_ratio,lr,data_time_sec,transfer_time_sec,fwd_loss_time_sec,backward_time_sec,optimizer_time_sec,step_overhead_time_sec,compute_time_sec,epoch_time_sec,samples_seen,samples_per_sec,compute_samples_per_sec
1,45.58042526245117,0.14573568105697632,0.13769172132015228,0.0,1.0031508207321167,0.20205079019069672,4.1666666666666665e-05,0.6615956994937733,0.006767300073988736,51.51294849952683,9.163623899919912,0.2791144005022943,0.04367279971484095,60.962454100023024,63.116978883743286,10240,162.2384369641853,167.9722404744223
2,41.43903732299805,0.13598255813121796,0.11991164833307266,0.0,0.7692100405693054,0.20400391519069672,8.333333333333333e-05,0.5743405998218805,0.00596650002989918,44.07643059990369,3.6558333000866696,0.24487599986605346,0.04587270016781986,47.98310639988631,50.08917999267578,10240,204.43536910560982,213.40844243515386
3,38.69198226928711,0.135531947016716,0.04859636351466179,6.232780691561857e-08,0.6702213883399963,0.20283202826976776,0.000125,0.5922790996264666,0.006294699967838824,43.954416400170885,3.753150300239213,0.2281638995045796,0.04381890024524182,47.942025299882516,50.026182889938354,10240,204.6928110131614,213.59131025332576
4,37.038028717041016,0.13341975212097168,0.025723135098814964,1.6265560134343104e-06,0.582275927066803,0.20126953721046448,0.00016666666666666666,0.5842481004074216,0.006419399753212929,44.079731900128536,3.751596900401637,0.25208609993569553,0.04601639974862337,48.08983430021908,50.2103955745697,10240,203.94183082648928,212.9348156217987
5,36.61902618408203,0.13250665366649628,0.026131821796298027,3.0564533517463133e-06,0.5416752696037292,0.20097656548023224,0.00020833333333333335,0.5574399000033736,0.005560100427828729,44.1350527999457,3.6268201002385467,0.23909490031655878,0.04471819952595979,48.00652790092863,50.06994652748108,10240,204.51389925850503,213.30432438547422
6,36.51274490356445,0.13300903141498566,0.02431204728782177,7.363039458141429e-06,0.5062097907066345,0.19882813096046448,0.00025,0.5900195998838171,0.006187100196257234,43.96645069983788,3.7678900994360447,0.24477609933819622,0.042662701453082263,47.98530399880838,50.074626207351685,10240,204.49478659306735,213.3986688977586
7,36.52833557128906,0.13342832028865814,0.02411160245537758,1.4707845366501715e-05,0.48955222964286804,0.19921875,0.0002916666666666667,0.5703666997142136,0.005918000126257539,43.981328899855725,3.805857499828562,0.2474074000492692,0.04725170019082725,48.040511799859814,50.11722779273987,10240,204.3209581014255,213.15343272487536
8,36.024898529052734,0.13193275034427643,0.02372373454272747,1.573760346218478e-05,0.46597036719322205,0.19453124701976776,0.0003333333333333333,0.5615021004341543,0.006190400454215705,44.04522119986359,3.678484700038098,0.2386888002511114,0.0416821000399068,47.968585100607015,50.037142753601074,10240,204.6479762128913,213.4730465475084
9,36.32781982421875,0.13320985436439514,0.023449337109923363,2.6940890165860765e-05,0.4643208980560303,0.20742188394069672,0.000375,0.569212899543345,0.005890400381758809,43.90781359898392,3.830264200340025,0.2358003007248044,0.041824499727226794,47.97976850043051,50.05125594139099,10240,204.59027066155608,213.42328902458377
10,36.20745086669922,0.13259129226207733,0.024148788303136826,2.8158303393865936e-05,0.46697530150413513,0.20058594644069672,0.0004166666666666667,0.5659890004899353,0.00575409980956465,44.06112190010026,3.7632880999008194,0.23580140038393438,0.042007299605757,48.06596550019458,50.09303569793701,10240,204.4196335344419,213.0405556912936
11,36.22585678100586,0.1329878866672516,0.024643195793032646,2.0448282157303765e-05,0.4478762149810791,0.20185546576976776,0.0004583333333333333,0.5685042998520657,0.005609000567346811,44.11112919950392,3.664875400136225,0.23021719965618104,0.04025660059414804,48.011830799863674,50.08390736579895,10240,204.45689121677117,213.2807649573962
12,36.03901290893555,0.13227075338363647,0.02437904290854931,1.3832308468408883e-05,0.4479636251926422,0.201171875,0.0005,0.5621339003555477,0.005844299797900021,43.903682400123216,3.8787506993394345,0.24888339976314455,0.04728230100590736,48.037160799023695,50.12458515167236,10240,204.29096757638405,213.16830199107267
13,36.104522705078125,0.13247108459472656,0.025544941425323486,2.3712436814093962e-05,0.44403257966041565,0.205078125,0.0004955994086622143,0.537849000422284,0.005611599772237241,44.22288530028891,3.6804387997835875,0.2126832001376897,0.04056370072066784,48.12161889998242,50.11124563217163,10240,204.34534944838563,212.79417097922573
