patch_size,mean_inter_base_swd,mean_intra_base_swd,mean_inter_hf_swd,mean_intra_hf_swd,mean_base_snr,mean_hf_snr,mean_combined_snr,hf_ratio
1,0.44764960557222366,0.4004405289888382,0.11694814637303352,0.10890874080359936,1.1206337989720339,1.0762501583571986,1.1034167517505724,2.0
3,0.4102698042988777,0.37194690108299255,0.11216189712285995,0.10638795793056488,1.1058936807676147,1.0561051595060906,1.0865038483005165,2.0
7,0.3668344169855118,0.3306131809949875,0.1059733834117651,0.10127206519246101,1.111744944679244,1.0481521265191154,1.0863502462001173,2.0
19,0.3087719976902008,0.2776189222931862,0.10809345357120037,0.10388943925499916,1.1145255864318147,1.041678452089569,1.0825068063729884,2.0
11,0.3546563684940338,0.32036376744508743,0.10839729942381382,0.10396029241383076,1.1095570021103511,1.0437903953183907,1.0824759961122028,2.0
13,0.3414071723818779,0.30781927704811096,0.10776379331946373,0.10358209535479546,1.1114527951359108,1.0412770543512568,1.0822220894433738,2.0
5,0.37809566408395767,0.34382805973291397,0.10737232118844986,0.10268940776586533,1.1017270053655632,1.0474948177733743,1.0800401565943882,2.0
9,0.3593185245990753,0.3259119391441345,0.10611225664615631,0.10294843465089798,1.1046222025685515,1.0321790759186884,1.0754973384832864,2.0
15,0.3356460928916931,0.304825522005558,0.10631223395466805,0.10293976962566376,1.1034888143520933,1.0338555714979942,1.074221886252203,2.0
23,0.2973255142569542,0.27174438536167145,0.10541990399360657,0.10269984975457191,1.0965818052164482,1.0273421442214956,1.0657307871703685,2.0
21,0.30805929005146027,0.2828398272395134,0.10690764710307121,0.10369537025690079,1.0907850134094725,1.0323037210655923,1.0650823559530629,2.0
25,0.2867282032966614,0.2627469450235367,0.10621190629899502,0.103324880823493,1.0925102366229589,1.02920551649132,1.0638266240065828,2.0
17,0.3143417164683342,0.289427675306797,0.10611077956855297,0.10316454991698265,1.0880965835479206,1.0294376424057081,1.0626959728466947,2.0
