patch_size,style,inter_base_swd,intra_base_swd,inter_hf_swd,intra_hf_swd,base_snr,hf_snr,combined_snr,hf_ratio
1,Hayao,0.46588969230651855,0.3950585722923279,0.12067531049251556,0.11987924575805664,1.1792926750336445,1.006640471109243,1.1140852104821657,2.0
1,monet,0.43203940987586975,0.39794886112213135,0.11515389382839203,0.10694415122270584,1.0856656249774257,1.076766534159727,1.0825546830876478,2.0
1,vangogh,0.458118200302124,0.3819396495819092,0.11393852531909943,0.1031903401017189,1.1994517689092665,1.1041587242100217,1.1660233457007678,2.0
1,cezanne,0.4345511198043823,0.4268150329589844,0.11802485585212708,0.10562122613191605,1.0181251269677984,1.117434903949803,1.0510037677317081,2.0
3,Hayao,0.4278997480869293,0.36618736386299133,0.11755228042602539,0.11662399768829346,1.1685267669742967,1.0079595338569822,1.1060480294648662,2.0
3,monet,0.3983787000179291,0.3703418970108032,0.11165152490139008,0.10568380355834961,1.0757051591417872,1.0564676003080227,1.0687151141977804,2.0
3,vangogh,0.41519641876220703,0.3532854914665222,0.10908924043178558,0.09963567554950714,1.1752433004996996,1.0948812147991007,1.1462619578148407,2.0
3,cezanne,0.39960435032844543,0.39797285199165344,0.11035454273223877,0.10360835492610931,1.0040994964546759,1.0651122890602573,1.0249902917245781,2.0
5,Hayao,0.39868810772895813,0.3409435749053955,0.1118672639131546,0.11264786124229431,1.1693667966786514,0.9930703765589969,1.099221879216146,2.0
5,monet,0.3689343333244324,0.34239357709884644,0.10617965459823608,0.10140641033649445,1.077515313445178,1.0470703358416829,1.0661900414864005,2.0
5,vangogh,0.376659631729126,0.327536404132843,0.1049281433224678,0.09778408706188202,1.1499778817764044,1.0730593877250278,1.1212211315691007,2.0
5,cezanne,0.3681005835533142,0.3644386827945709,0.10651422291994095,0.09891927242279053,1.0100480295620187,1.076779170967789,1.0335275741059056,2.0
7,Hayao,0.3857203423976898,0.3263475298881531,0.11039122939109802,0.11047446727752686,1.1819312090720377,0.9992464514113998,1.1081796238444852,2.0
7,monet,0.3553961217403412,0.33209747076034546,0.10425672680139542,0.10035952180624008,1.0701560304722966,1.038832335354847,1.0583560185317182,2.0
7,vangogh,0.37156760692596436,0.31606465578079224,0.10368645191192627,0.09569815546274185,1.175606282999272,1.08347376786752,1.1408572034592406,2.0
7,cezanne,0.35465359687805176,0.3479430675506592,0.10555912554264069,0.09855611622333527,1.0192862561733695,1.071055951442695,1.038008138965025,2.0
9,Hayao,0.37786832451820374,0.3218342363834381,0.11018536984920502,0.1113598421216011,1.174108500771561,0.9894532701865157,1.0985855221505714,2.0
