epoch,loss_total,loss_style_swd,loss_mse,loss_identity,loss_style_cls,style_cls_transfer_acc,style_cls_identity_acc,style_cls_transfer_pass_rate,style_cls_identity_pass_rate,style_cls_conf_mean,style_cls_agree_mean,style_cls_weight_mean,loss_velocity_reg,learning_rate,epoch_time
1,3.252493,6.799809,4.605488,0.625299,0.000000,0.256759,0.241520,0.000000,0.000000,0.263119,0.250189,0.000000,0.000073,1.09e-05,0.00
2,1.897494,6.509002,3.598682,0.572543,0.000000,0.256788,0.233470,0.000000,0.000000,0.263295,0.250199,0.000000,0.009044,2.08e-05,0.00
3,1.738502,6.284952,2.689247,0.536528,0.000000,0.257195,0.238406,0.000000,0.000000,0.263234,0.250182,0.000000,0.022672,3.07e-05,0.00
4,1.732090,6.200131,2.523241,0.529923,0.000000,0.252016,0.239020,0.000000,0.000000,0.263265,0.250187,0.000000,0.026184,4.06e-05,0.00
5,1.740220,6.055374,2.499637,0.536558,0.000000,0.259600,0.240955,0.000000,0.000000,0.262971,0.250187,0.000000,0.028228,5.05e-05,0.00
6,1.744127,5.894607,2.511711,0.539396,0.000000,0.252011,0.235172,0.000000,0.000000,0.262912,0.250187,0.000000,0.029633,6.04e-05,0.00
7,1.742498,5.787829,2.493434,0.532489,0.000000,0.261833,0.238160,0.000000,0.000000,0.263083,0.250188,0.000000,0.030658,7.03e-05,0.00
8,1.747676,5.740877,2.483667,0.530765,0.000000,0.255584,0.228806,0.000000,0.000000,0.263039,0.250186,0.000000,0.031188,8.02e-05,0.00
9,1.749305,5.715201,2.470730,0.527865,0.000000,0.253730,0.224423,0.000000,0.000000,0.263119,0.250187,0.000000,0.031679,9.01e-05,0.00
10,1.749972,5.702351,2.439807,0.526786,0.000000,0.256681,0.228274,0.000000,0.000000,0.263026,0.250188,0.000000,0.032226,1.00e-04,0.00
11,1.745878,5.655625,2.435866,0.523530,0.000000,0.244818,0.230019,0.000000,0.000000,0.263145,0.250184,0.000000,0.032662,1.00e-04,0.00
12,1.740520,5.659728,2.419297,0.515681,0.000000,0.251613,0.231573,0.000000,0.000000,0.263124,0.250186,0.000000,0.032925,1.00e-04,0.00
