"method","dataset_or_setting","resolution","train_time_value","train_time_unit","infer_time_value","infer_time_unit","params_m","source_path","note"
"LBM","aaai2027_endpoint_metric_h_omf_flow_huber_seed42_b44","512","","","97.276","s full_eval wall_total from summary.json","6.092","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\aaai2027_endpoint_metric_h_omf_flow_huber_seed42_b44\full_eval\epoch_0001\summary.json","clip_style=0.693; content_lpips=0.356; training_csv_count=2; remote_train.log exists"
"LBM","aaai2027_endpoint_metric_h_omf_flow_huber_seed42_b44","512","","","95.334","s full_eval wall_total from summary.json","6.092","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\aaai2027_endpoint_metric_h_omf_flow_huber_seed42_b44\full_eval\epoch_0002\summary.json","clip_style=0.692; content_lpips=0.365; training_csv_count=2; remote_train.log exists"
"LBM","aaai2027_endpoint_metric_h_omf_flow_huber_seed42_b44","512","","","95.555","s full_eval wall_total from summary.json","6.092","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\aaai2027_endpoint_metric_h_omf_flow_huber_seed42_b44\full_eval\epoch_0003\summary.json","clip_style=0.691; content_lpips=0.350; training_csv_count=2; remote_train.log exists"
"LBM","aaai2027_endpoint_metric_h_omf_flow_l1_seed42_b44","512","","","95.401","s full_eval wall_total from summary.json","6.092","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\aaai2027_endpoint_metric_h_omf_flow_l1_seed42_b44\full_eval\epoch_0001\summary.json","clip_style=0.693; content_lpips=0.362; training_csv_count=2; remote_train.log exists"
"LBM","aaai2027_endpoint_metric_h_omf_flow_l1_seed42_b44","512","","","95.285","s full_eval wall_total from summary.json","6.092","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\aaai2027_endpoint_metric_h_omf_flow_l1_seed42_b44\full_eval\epoch_0002\summary.json","clip_style=0.693; content_lpips=0.372; training_csv_count=2; remote_train.log exists"
"LBM","aaai2027_endpoint_metric_h_omf_flow_l1_seed42_b44","512","","","100.001","s full_eval wall_total from summary.json","6.092","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\aaai2027_endpoint_metric_h_omf_flow_l1_seed42_b44\full_eval\epoch_0003\summary.json","clip_style=0.691; content_lpips=0.355; training_csv_count=2; remote_train.log exists"
"LBM","aaai2027_endpoint_metric_h_omf_flow_mse_seed42_b44","512","","","96.969","s full_eval wall_total from summary.json","6.092","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\aaai2027_endpoint_metric_h_omf_flow_mse_seed42_b44\full_eval\epoch_0001\summary.json","clip_style=0.700; content_lpips=0.517; training_csv_count=2; remote_train.log exists"
"LBM","aaai2027_endpoint_metric_h_omf_flow_mse_seed42_b44","512","","","95.339","s full_eval wall_total from summary.json","6.092","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\aaai2027_endpoint_metric_h_omf_flow_mse_seed42_b44\full_eval\epoch_0002\summary.json","clip_style=0.697; content_lpips=0.548; training_csv_count=2; remote_train.log exists"
"LBM","aaai2027_endpoint_metric_h_omf_flow_mse_seed42_b44","512","","","96.254","s full_eval wall_total from summary.json","6.092","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\aaai2027_endpoint_metric_h_omf_flow_mse_seed42_b44\full_eval\epoch_0003\summary.json","clip_style=0.699; content_lpips=0.520; training_csv_count=2; remote_train.log exists"
"LBM","aaai2027_flow_loss_h_base_huber_seed42_b44","512","","","97.686","s full_eval wall_total from summary.json","6.092","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\aaai2027_flow_loss_h_base_huber_seed42_b44\full_eval\epoch_0001\summary.json","clip_style=0.696; content_lpips=0.332; training_csv_count=2; remote_train.log exists"
"LBM","aaai2027_flow_loss_h_base_huber_seed42_b44","512","","","95.699","s full_eval wall_total from summary.json","6.092","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\aaai2027_flow_loss_h_base_huber_seed42_b44\full_eval\epoch_0002\summary.json","clip_style=0.699; content_lpips=0.356; training_csv_count=2; remote_train.log exists"
"LBM","aaai2027_flow_loss_h_base_huber_seed42_b44","512","","","95.273","s full_eval wall_total from summary.json","6.092","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\aaai2027_flow_loss_h_base_huber_seed42_b44\full_eval\epoch_0003\summary.json","clip_style=0.696; content_lpips=0.341; training_csv_count=2; remote_train.log exists"
