"remote_root","exp_dir","last_write","weight_count","weight_mb","exp_surface_class","master_log_hit","docs_hit_count","docs_hit_files","sample_weights","sample_summaries","sample_logs","preliminary_action"
"I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge","aaai2027_endpoint_metric_h_omf_flow_huber_seed42_b44","2026-06-03 03:38:57","3","201.779","current_aaai2027_claim_packet","False","3","docs\experiments\aaai2027_experiment_logging_contract_20260603.md; docs\experiments\2026-06-03-flow-loss-metric-ablation\README.md; docs\experiments\2026-06-03-flow-loss-metric-ablation\repaired_endpoint_metric_launch_manifest_20260603.md","exp\aaai2027_endpoint_metric_h_omf_flow_huber_seed42_b44\epoch_0001.pt; exp\aaai2027_endpoint_metric_h_omf_flow_huber_seed42_b44\epoch_0002.pt; exp\aaai2027_endpoint_metric_h_omf_flow_huber_seed42_b44\epoch_0003.pt","exp\aaai2027_endpoint_metric_h_omf_flow_huber_seed42_b44\full_eval\epoch_0001\summary.json; exp\aaai2027_endpoint_metric_h_omf_flow_huber_seed42_b44\full_eval\epoch_0002\summary.json; exp\aaai2027_endpoint_metric_h_omf_flow_huber_seed42_b44\full_eval\epoch_0003\summary.json","exp\aaai2027_endpoint_metric_h_omf_flow_huber_seed42_b44\logs\training_20260603_033401.csv; exp\aaai2027_endpoint_metric_h_omf_flow_huber_seed42_b44\logs\training_20260604_000022.csv; exp\aaai2027_endpoint_metric_h_omf_flow_huber_seed42_b44\remote_train.log","keep_or_epoch_thin_only_after_packet_policy"
"I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge","aaai2027_endpoint_metric_h_omf_flow_l1_seed42_b44","2026-06-03 03:54:26","3","201.779","current_aaai2027_claim_packet","False","2","docs\experiments\2026-06-03-flow-loss-metric-ablation\README.md; docs\experiments\2026-06-03-flow-loss-metric-ablation\repaired_endpoint_metric_launch_manifest_20260603.md","exp\aaai2027_endpoint_metric_h_omf_flow_l1_seed42_b44\epoch_0001.pt; exp\aaai2027_endpoint_metric_h_omf_flow_l1_seed42_b44\epoch_0002.pt; exp\aaai2027_endpoint_metric_h_omf_flow_l1_seed42_b44\epoch_0003.pt","exp\aaai2027_endpoint_metric_h_omf_flow_l1_seed42_b44\full_eval\epoch_0001\summary.json; exp\aaai2027_endpoint_metric_h_omf_flow_l1_seed42_b44\full_eval\epoch_0002\summary.json; exp\aaai2027_endpoint_metric_h_omf_flow_l1_seed42_b44\full_eval\epoch_0003\summary.json","exp\aaai2027_endpoint_metric_h_omf_flow_l1_seed42_b44\logs\training_20260603_034931.csv; exp\aaai2027_endpoint_metric_h_omf_flow_l1_seed42_b44\logs\training_20260604_000022.csv; exp\aaai2027_endpoint_metric_h_omf_flow_l1_seed42_b44\remote_train.log","keep_or_epoch_thin_only_after_packet_policy"
"I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge","aaai2027_endpoint_metric_h_omf_flow_mse_seed42_b44","2026-06-03 03:23:26","3","201.779","current_aaai2027_claim_packet","False","2","docs\experiments\2026-06-03-flow-loss-metric-ablation\README.md; docs\experiments\2026-06-03-flow-loss-metric-ablation\repaired_endpoint_metric_launch_manifest_20260603.md","exp\aaai2027_endpoint_metric_h_omf_flow_mse_seed42_b44\epoch_0001.pt; exp\aaai2027_endpoint_metric_h_omf_flow_mse_seed42_b44\epoch_0002.pt; exp\aaai2027_endpoint_metric_h_omf_flow_mse_seed42_b44\epoch_0003.pt","exp\aaai2027_endpoint_metric_h_omf_flow_mse_seed42_b44\full_eval\epoch_0001\summary.json; exp\aaai2027_endpoint_metric_h_omf_flow_mse_seed42_b44\full_eval\epoch_0002\summary.json; exp\aaai2027_endpoint_metric_h_omf_flow_mse_seed42_b44\full_eval\epoch_0003\summary.json","exp\aaai2027_endpoint_metric_h_omf_flow_mse_seed42_b44\logs\training_20260603_031828.csv; exp\aaai2027_endpoint_metric_h_omf_flow_mse_seed42_b44\logs\training_20260604_000022.csv; exp\aaai2027_endpoint_metric_h_omf_flow_mse_seed42_b44\remote_train.log","keep_or_epoch_thin_only_after_packet_policy"
"I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge","aaai2027_flow_loss_h_base_huber_seed42_b44","2026-06-03 02:00:40","3","201.779","current_aaai2027_claim_packet","False","3","docs\experiments\2026-06-03-remote-3060-readiness-audit.md; docs\experiments\2026-06-03-flow-loss-metric-ablation\config_registry.csv; docs\experiments\2026-06-03-flow-loss-metric-ablation\README.md","exp\aaai2027_flow_loss_h_base_huber_seed42_b44\epoch_0001.pt; exp\aaai2027_flow_loss_h_base_huber_seed42_b44\epoch_0002.pt; exp\aaai2027_flow_loss_h_base_huber_seed42_b44\epoch_0003.pt","exp\aaai2027_flow_loss_h_base_huber_seed42_b44\full_eval\epoch_0001\summary.json; exp\aaai2027_flow_loss_h_base_huber_seed42_b44\full_eval\epoch_0002\summary.json; exp\aaai2027_flow_loss_h_base_huber_seed42_b44\full_eval\epoch_0003\summary.json","exp\aaai2027_flow_loss_h_base_huber_seed42_b44\logs\training_20260603_015714.csv; exp\aaai2027_flow_loss_h_base_huber_seed42_b44\logs\training_20260604_000022.csv; exp\aaai2027_flow_loss_h_base_huber_seed42_b44\remote_train.log","keep_or_epoch_thin_only_after_packet_policy"
"I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge","aaai2027_flow_loss_h_base_l1_seed42_b44","2026-06-03 02:22:33","3","201.779","current_aaai2027_claim_packet","False","3","docs\experiments\2026-06-03-remote-3060-readiness-audit.md; docs\experiments\2026-06-03-flow-loss-metric-ablation\config_registry.csv; docs\experiments\2026-06-03-flow-loss-metric-ablation\README.md","exp\aaai2027_flow_loss_h_base_l1_seed42_b44\epoch_0001.pt; exp\aaai2027_flow_loss_h_base_l1_seed42_b44\epoch_0002.pt; exp\aaai2027_flow_loss_h_base_l1_seed42_b44\epoch_0003.pt","exp\aaai2027_flow_loss_h_base_l1_seed42_b44\full_eval\epoch_0001\summary.json; exp\aaai2027_flow_loss_h_base_l1_seed42_b44\full_eval\epoch_0002\summary.json; exp\aaai2027_flow_loss_h_base_l1_seed42_b44\full_eval\epoch_0003\summary.json","exp\aaai2027_flow_loss_h_base_l1_seed42_b44\logs\training_20260603_021910.csv; exp\aaai2027_flow_loss_h_base_l1_seed42_b44\logs\training_20260604_000022.csv; exp\aaai2027_flow_loss_h_base_l1_seed42_b44\remote_train.log","keep_or_epoch_thin_only_after_packet_policy"
"I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge","aaai2027_flow_loss_h_base_mse_seed42_b44","2026-06-03 01:40:14","3","201.779","current_aaai2027_claim_packet","False","3","docs\experiments\2026-06-03-remote-3060-readiness-audit.md; docs\experiments\2026-06-03-flow-loss-metric-ablation\config_registry.csv; docs\experiments\2026-06-03-flow-loss-metric-ablation\README.md","exp\aaai2027_flow_loss_h_base_mse_seed42_b44\epoch_0001.pt; exp\aaai2027_flow_loss_h_base_mse_seed42_b44\epoch_0002.pt; exp\aaai2027_flow_loss_h_base_mse_seed42_b44\epoch_0003.pt","exp\aaai2027_flow_loss_h_base_mse_seed42_b44\full_eval\epoch_0001\summary.json; exp\aaai2027_flow_loss_h_base_mse_seed42_b44\full_eval\epoch_0002\summary.json; exp\aaai2027_flow_loss_h_base_mse_seed42_b44\full_eval\epoch_0003\summary.json","exp\aaai2027_flow_loss_h_base_mse_seed42_b44\logs\training_20260603_011339.csv; exp\aaai2027_flow_loss_h_base_mse_seed42_b44\remote_full_eval_retry.log; exp\aaai2027_flow_loss_h_base_mse_seed42_b44\remote_train.log","keep_or_epoch_thin_only_after_packet_policy"
"I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge","aaai2027_tokenizer_localization_l_e1_executoronly_seed42_b44","2026-06-03 09:55:39","3","169.846","current_aaai2027_claim_packet","False","0","","exp\aaai2027_tokenizer_localization_l_e1_executoronly_seed42_b44\epoch_0001.pt; exp\aaai2027_tokenizer_localization_l_e1_executoronly_seed42_b44\epoch_0002.pt; exp\aaai2027_tokenizer_localization_l_e1_executoronly_seed42_b44\epoch_0003.pt","exp\aaai2027_tokenizer_localization_l_e1_executoronly_seed42_b44\full_eval\epoch_0001\summary.json; exp\aaai2027_tokenizer_localization_l_e1_executoronly_seed42_b44\full_eval\epoch_0002\summary.json; exp\aaai2027_tokenizer_localization_l_e1_executoronly_seed42_b44\full_eval\epoch_0003\summary.json","exp\aaai2027_tokenizer_localization_l_e1_executoronly_seed42_b44\logs\training_20260603_092701.csv; exp\aaai2027_tokenizer_localization_l_e1_executoronly_seed42_b44\remote_full_eval_recovery.log; exp\aaai2027_tokenizer_localization_l_e1_executoronly_seed42_b44\remote_train.log","keep_or_epoch_thin_only_after_packet_policy"
"I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge","aaai2027_tokenizer_localization_l_e1_stylebranch_seed42_b44","2026-06-03 09:22:55","3","70.697","current_aaai2027_claim_packet","False","0","","exp\aaai2027_tokenizer_localization_l_e1_stylebranch_seed42_b44\epoch_0001.pt; exp\aaai2027_tokenizer_localization_l_e1_stylebranch_seed42_b44\epoch_0002.pt; exp\aaai2027_tokenizer_localization_l_e1_stylebranch_seed42_b44\epoch_0003.pt","exp\aaai2027_tokenizer_localization_l_e1_stylebranch_seed42_b44\full_eval\epoch_0001\summary.json; exp\aaai2027_tokenizer_localization_l_e1_stylebranch_seed42_b44\full_eval\epoch_0002\summary.json; exp\aaai2027_tokenizer_localization_l_e1_stylebranch_seed42_b44\full_eval\epoch_0003\summary.json","exp\aaai2027_tokenizer_localization_l_e1_stylebranch_seed42_b44\logs\training_20260603_084805.csv; exp\aaai2027_tokenizer_localization_l_e1_stylebranch_seed42_b44\remote_full_eval_recovery.log; exp\aaai2027_tokenizer_localization_l_e1_stylebranch_seed42_b44\remote_full_eval_recovery_attempt1.log; exp\aaai2027_tokenizer_localization_l_e1_stylebranch_seed42_b44\remote_train.log","keep_or_epoch_thin_only_after_packet_policy"
"I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge","axis_scale_probe","2026-05-31 22:38:36","6","90.266","frozen_exploratory_weight_surface","False","0","","exp\axis_scale_probe\color_x150.pt; exp\axis_scale_probe\color_x250.pt; exp\axis_scale_probe\geometry_x125.pt; exp\axis_scale_probe\specgeo_x120.pt; exp\axis_scale_probe\spectrum_x125.pt","","","candidate_after_manual_open_if_no_hidden_artifact_refs"
"I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge","delta_freq_gain","2026-05-31 09:02:24","3","130.887","frozen_exploratory_weight_surface","False","0","","exp\delta_freq_gain\spectral_e2_low100_high050_k5.pt; exp\delta_freq_gain\spectral_e2_low125_high075_k5.pt; exp\delta_freq_gain\spectral_e2_low125_high100_k5.pt","exp\delta_freq_gain\eval_low100_high050_k5_quick_n6\summary.json; exp\delta_freq_gain\eval_low125_high075_k5_quick_n6\summary.json","","candidate_after_manual_open_if_no_hidden_artifact_refs"
"I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge","field_budget_release_probe","2026-05-31 22:48:55","2","30.089","frozen_exploratory_weight_surface","False","0","","exp\field_budget_release_probe\release_s100.pt; exp\field_budget_release_probe\release_s150.pt","","","candidate_after_manual_open_if_no_hidden_artifact_refs"
"I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge","local_patch_org_content_relative_release_120b_b80","2026-06-01 00:26:27","1","15.046","unclassified","False","0","","exp\local_patch_org_content_relative_release_120b_b80\epoch_0001.pt","","exp\local_patch_org_content_relative_release_120b_b80\logs\training_20260601_002521.csv","review_required"
"I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge","local_patch_org_content_relative_release_20b_b80","2026-06-01 00:30:18","1","15.045","unclassified","False","0","","exp\local_patch_org_content_relative_release_20b_b80\epoch_0001.pt","","exp\local_patch_org_content_relative_release_20b_b80\logs\training_20260601_003002.csv","review_required"
"I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge","local_patch_org_geometry_filter_g003_120b_b48","2026-05-31 23:47:00","1","15.1","unclassified","False","0","","exp\local_patch_org_geometry_filter_g003_120b_b48\epoch_0001.pt","","exp\local_patch_org_geometry_filter_g003_120b_b48\logs\training_20260531_234559.csv","review_required"
"I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge","local_patch_org_relative_spatial_rank4_120b_b80","2026-06-01 00:39:57","1","15.548","unclassified","False","0","","exp\local_patch_org_relative_spatial_rank4_120b_b80\epoch_0001.pt","","exp\local_patch_org_relative_spatial_rank4_120b_b80\logs\training_20260601_003829.csv","review_required"
"I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge","local_patch_org_spatial_gate_rank4_g010_q070_120b_b48","2026-05-31 23:59:03","1","16.548","unclassified","False","0","","exp\local_patch_org_spatial_gate_rank4_g010_q070_120b_b48\epoch_0001.pt","","exp\local_patch_org_spatial_gate_rank4_g010_q070_120b_b48\logs\training_20260531_235807.csv","review_required"
"I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge","metric_tokenizer_init","2026-05-31 23:50:50","11","365.582","frozen_exploratory_weight_surface","False","0","","exp\metric_tokenizer_init\local_patch_org_expr_only_safety125.pt; exp\metric_tokenizer_init\mds_data_axes_truegrad_e1.pt; exp\metric_tokenizer_init\mds_data_axes_truegrad_e1_clean.pt; exp\metric_tokenizer_init\mds_data_delta_axes_truegrad_e1.pt; exp\metric_tokenizer_init\metric_direct_from_e8_train512.pt","exp\metric_tokenizer_init\full_eval_metric_direct\summary.json; exp\metric_tokenizer_init\full_eval_split_axis_fieldconsume_probe_truegrad_e1\summary.json; exp\metric_tokenizer_init\quick_eval_mds_data_axes_truegrad_e1_n6\summary.json; exp\metric_tokenizer_init\quick_eval_mds_data_delta_axes_truegrad_e1_n6\summary.json; exp\metric_tokenizer_init\quick_eval_metric_direct_n6\summary.json","","candidate_after_manual_open_if_no_hidden_artifact_refs"
