"check","expected","actual","status","note"
"expected_nonweight_entries","6084","6084","pass","manifest payload rows compared to entry_classes where class != weight"
"nonweight_missing_paths","0","0","pass",""
"nonweight_size_mismatch","0","0","pass",""
"manifest_extra_paths","0","0","pass",""
"expected_weight_entries_removed_from_staging","12","12","pass","removed-weight ledger compared to entry_classes where class == weight"
"weight_missing_from_removed_ledger","0","0","pass",""
"weight_size_mismatch","0","0","pass",""
"removed_weight_extra_paths","0","0","pass",""
