"remote_root","name","kind","last_write_time","file_count","dir_count","weight_count","weight_mb","summary_json_count","metrics_csv_count","log_count","config_like_count","sample_weight","sample_log","sample_summary"
"I:\Github\Latent_Style\SchrodingerBridge\exp","freeze_stage","dir","2026-05-29 13:19:22","2351","20","0","0","9","3","7","2","","freeze_stage\actuator_only_from_w34e4_e2_20260529_1258_console.log","freeze_stage\actuator_only_from_w34e4_e2_20260529_1258_m02_20260529_1259\summary.json"
"I:\Github\Latent_Style\SchrodingerBridge\exp","frontier","dir","2026-05-26 05:17:03","1902","416","0","0","8","7","84","85","","frontier\dynamic_metric_probe\dm00_t00_baseline\logs\training_20260522_002112.csv","frontier\dynamic_metric_probe\dm01_zero_init_only\full_eval\epoch_0006\summary.json"
"I:\Github\Latent_Style\SchrodingerBridge\exp","inference","dir","2026-05-26 05:17:03","53466","145","0","0","71","71","0","0","","","inference\inference_param_sweep_t01_comprehensive\endpoint_s0p85_scale0p188\summary.json"
"I:\Github\Latent_Style\SchrodingerBridge\exp","k2_repro","dir","2026-05-29 09:22:58","906","22","0","0","1","1","12","4","","k2_repro\k2_r11_repro_full_b160.log","k2_repro\k2_r11_repro_full_b160\full_eval_epoch8_ema_20260529_1012\summary.json"
"I:\Github\Latent_Style\SchrodingerBridge\exp","logs","dir","2026-05-28 09:32:25","7","0","0","0","0","0","7","0","","logs\fisher_operator_fo01_train.err.log",""
"I:\Github\Latent_Style\SchrodingerBridge\exp","memory_contentdir_backbone_probe","dir","2026-05-28 07:47:12","1573","14","0","0","2","2","2","2","","memory_contentdir_backbone_probe\rs02_memory_contentdir_s18_e2\logs\training_20260528_074023.csv","memory_contentdir_backbone_probe\rs02_memory_contentdir_s18_e2\full_eval\epoch_0008\summary_reuse_generated.json"
"I:\Github\Latent_Style\SchrodingerBridge\exp","memory_contentdir_backbone_probe_smoke","dir","2026-05-28 07:39:53","31","4","0","0","0","0","1","1","","memory_contentdir_backbone_probe_smoke\rs02_memory_contentdir_s18_e2\logs\training_20260528_073941.csv",""
"I:\Github\Latent_Style\SchrodingerBridge\exp","memory_residual_backbone_probe","dir","2026-05-28 07:30:11","1573","14","0","0","2","2","2","2","","memory_residual_backbone_probe\rs00_memory_residual_s22_e2\logs\training_20260528_072321.csv","memory_residual_backbone_probe\rs00_memory_residual_s22_e2\full_eval\epoch_0008\summary_reuse_generated.json"
"I:\Github\Latent_Style\SchrodingerBridge\exp","memory_residual_backbone_probe_smoke","dir","2026-05-28 07:22:08","31","4","0","0","0","0","1","1","","memory_residual_backbone_probe_smoke\rs00_memory_residual_s22_e2\logs\training_20260528_072155.csv",""
"I:\Github\Latent_Style\SchrodingerBridge\exp","multistep_mse","dir","2026-05-28 21:05:28","2356","19","0","0","3","3","3","3","","multistep_mse\ms_base_01\logs\training_20260528_204359.csv","multistep_mse\ms_base_01\full_eval\epoch_0006\summary.json"
"I:\Github\Latent_Style\SchrodingerBridge\exp","pareto_break_phase1_concept_ceiling","dir","2026-05-29 02:28:51","3199","19","0","0","3","3","10","1","","pareto_break_phase1_concept_ceiling\p1_fft005_swd30\run.log","pareto_break_phase1_concept_ceiling\p1_fft005_swd30\full_eval\epoch_0006_win\summary.json"
"I:\Github\Latent_Style\SchrodingerBridge\exp","phase1_stylepush","dir","2026-05-29 09:29:52","766","4","0","0","3","1","1","0","","phase1_stylepush\ema_epoch0006_m04_from_m02_20260529_0930\run.log","phase1_stylepush\ema_epoch0006_m04_from_m02_20260529_0930\summary.json"
"I:\Github\Latent_Style\SchrodingerBridge\exp","phase1_variance","dir","2026-05-29 09:50:16","766","4","0","0","3","1","1","0","","phase1_variance\ema_epoch0006_m06_from_m02_20260529_0950\run.log","phase1_variance\ema_epoch0006_m06_from_m02_20260529_0950\summary.json"
"I:\Github\Latent_Style\SchrodingerBridge\exp","README.md","file","2026-05-26 05:19:09","1","0","0","0","0","0","0","0","","",""
"I:\Github\Latent_Style\SchrodingerBridge\exp","reference_memory_generation_probe","dir","2026-05-28 06:09:25","3","0","0","0","0","0","2","0","","reference_memory_generation_probe\reference_memory_generation_probe.err.log",""
"I:\Github\Latent_Style\SchrodingerBridge\exp","reference_memory_generation_probe_direct_smoke","dir","2026-05-28 06:10:38","34","2","0","0","1","1","0","0","","","reference_memory_generation_probe_direct_smoke\rm00_random_ref1\summary_reuse_generated.json"
"I:\Github\Latent_Style\SchrodingerBridge\exp","reference_memory_generation_probe_full","dir","2026-05-28 06:13:58","1517","4","0","0","2","2","0","0","","","reference_memory_generation_probe_full\rm00_random_ref1\summary_reuse_generated.json"
"I:\Github\Latent_Style\SchrodingerBridge\exp","reference_memory_generation_probe_smoke","dir","2026-05-28 06:08:38","57","4","0","0","2","0","0","0","","","reference_memory_generation_probe_smoke\rm00_random_ref1\summary_generation_only.json"
"I:\Github\Latent_Style\SchrodingerBridge\exp","representation","dir","2026-05-30 00:25:34","9609","122","0","0","36","12","19","18","","representation\highpass_carrier_from_w34e6_full_20260529\logs\training_20260529_135125.csv","representation\highpass_carrier_from_w34e6_full_20260529_m02_epoch8\summary.json"
"I:\Github\Latent_Style\SchrodingerBridge\exp","rigid_spiral","dir","2026-05-28 16:30:11","830","12","0","0","11","2","0","7","","","rigid_spiral\exp_001_band_gain_audit\summary.json"
"I:\Github\Latent_Style\SchrodingerBridge\exp","router_aware_backbone_probe","dir","2026-05-28 07:10:06","787","7","0","0","1","1","1","1","","router_aware_backbone_probe\ra00_route_actuator_s45_e2\logs\training_20260528_070643.csv","router_aware_backbone_probe\ra00_route_actuator_s45_e2\full_eval\epoch_0008\summary_reuse_generated.json"
"I:\Github\Latent_Style\SchrodingerBridge\exp","router_aware_backbone_probe_smoke","dir","2026-05-28 07:06:19","31","4","0","0","0","0","1","1","","router_aware_backbone_probe_smoke\ra00_route_actuator_s45_e2\logs\training_20260528_070606.csv",""
"I:\Github\Latent_Style\SchrodingerBridge\exp","sadd_exact_e3_saddsrc_8ep_20260528_231954","dir","2026-05-28 23:27:43","1525","8","8","345.643","2","2","1","1","sadd_exact_e3_saddsrc_8ep_20260528_231954\epoch_0001.pt","sadd_exact_e3_saddsrc_8ep_20260528_231954\logs\training_20260528_232042.csv","sadd_exact_e3_saddsrc_8ep_20260528_231954\full_eval\epoch_0007\summary.json"
"I:\Github\Latent_Style\SchrodingerBridge\exp","sadd_repro_38f_8ep_20260528_225252","dir","2026-05-28 23:03:00","1534","8","8","345.657","2","2","6","1","sadd_repro_38f_8ep_20260528_225252\epoch_0001.pt","sadd_repro_38f_8ep_20260528_225252\eval_epoch7_8.log","sadd_repro_38f_8ep_20260528_225252\full_eval\epoch_0007\summary.json"
"I:\Github\Latent_Style\SchrodingerBridge\exp","speed_ladder","dir","2026-05-29 12:02:42","203","30","0","0","0","0","14","7","","speed_ladder\20260529_batch_ceiling\b144_chunk16_console.log",""
"I:\Github\Latent_Style\SchrodingerBridge\exp","style_adapter_distributional","dir","2026-05-27 14:33:59","14","6","0","0","3","0","2","0","","style_adapter_distributional\dist_m02_fast_hayao_remote\run.log","style_adapter_distributional\dist_m02_fast_hayao_remote\summary.json"
"I:\Github\Latent_Style\SchrodingerBridge\exp","style_embedding_distill","dir","2026-05-27 06:47:48","4578","32","0","0","14","6","15","0","","style_embedding_distill\ema_bodytransport_lowfree_w34_fulltrain\run.log","style_embedding_distill\ema_bodytransport_lowfree_w34_fulltrain\summary.json"
"I:\Github\Latent_Style\SchrodingerBridge\exp","style_embedding_mainline_calibration","dir","2026-05-28 23:53:19","6104","46","0","0","21","8","19","0","","style_embedding_mainline_calibration\ema_transport_adain_w34_e6_fulltrain\run.log","style_embedding_mainline_calibration\ema_transport_adain_w34_e6_fulltrain\summary.json"
"I:\Github\Latent_Style\SchrodingerBridge\exp","style_measure_aligned_adapter_probe","dir","2026-05-28 08:42:47","7","3","0","0","0","0","0","0","","",""
"I:\Github\Latent_Style\SchrodingerBridge\exp","style_measure_aligned_backbone_probe","dir","2026-05-28 08:43:48","31","4","0","0","0","0","1","1","","style_measure_aligned_backbone_probe\rx01_typed_stylepure_s22_e2\logs\training_20260528_084340.csv",""
"I:\Github\Latent_Style\SchrodingerBridge\exp","style_memory_bank_adapter_probe","dir","2026-05-28 06:42:56","2275","9","0","0","3","3","0","0","","","style_memory_bank_adapter_probe\bm00_hightex_k4_blend65\full_eval\summary_reuse_generated.json"
"I:\Github\Latent_Style\SchrodingerBridge\exp","style_memory_bank_adapter_probe_smoke","dir","2026-05-28 06:37:58","3","1","0","0","0","0","0","0","","",""
"I:\Github\Latent_Style\SchrodingerBridge\exp","style_memory_bank_adapter_route_probe","dir","2026-05-28 06:54:29","1517","6","0","0","2","2","0","0","","","style_memory_bank_adapter_route_probe\br00_route_hightex_k4_s45\full_eval\summary_reuse_generated.json"
"I:\Github\Latent_Style\SchrodingerBridge\exp","style_memory_bank_probe","dir","2026-05-28 05:43:30","1522","6","0","0","4","2","2","0","","style_memory_bank_probe\run_mb00_mb02.err.log","style_memory_bank_probe\mb00_body_mean_blend25\full_eval_summary.json"
"I:\Github\Latent_Style\SchrodingerBridge\exp","style_memory_bank_probe_smoke","dir","2026-05-28 05:39:14","4","1","0","0","0","0","0","0","","",""
"I:\Github\Latent_Style\SchrodingerBridge\exp","style_memory_residual_adapter_probe","dir","2026-05-28 07:39:10","9","4","0","0","0","0","0","0","","",""
"I:\Github\Latent_Style\SchrodingerBridge\exp","style_memory_typed_adapter_probe","dir","2026-05-28 08:17:04","9","4","0","0","0","0","0","0","","",""
"I:\Github\Latent_Style\SchrodingerBridge\exp","style_representation_formation_probe","dir","2026-05-29 17:08:53","11540","59","0","0","15","15","6","6","","style_representation_formation_probe\sp_s0_embedding_ema_control\logs\training_20260529_074034.csv","style_representation_formation_probe\sp_s0_embedding_ema_control\full_eval\epoch_0006\summary.json"
"I:\Github\Latent_Style\SchrodingerBridge\exp","style_tokenizer_projector_refit","dir","2026-05-27 19:40:44","1523","7","0","0","5","2","2","0","","style_tokenizer_projector_refit\stderr.log","style_tokenizer_projector_refit\w36_epoch8\summary.json"
"I:\Github\Latent_Style\SchrodingerBridge\exp","style_tokenizer_projector_smoke","dir","2026-05-27 19:35:11","4","2","0","0","1","0","0","0","","","style_tokenizer_projector_smoke\w36_epoch8\summary.json"
"I:\Github\Latent_Style\SchrodingerBridge\exp","style_tokenizer_vocab_refit","dir","2026-05-27 18:57:54","1532","11","0","0","5","2","2","2","","style_tokenizer_vocab_refit\stderr.log","style_tokenizer_vocab_refit\w36_epoch8\summary.json"
"I:\Github\Latent_Style\SchrodingerBridge\exp","style_tokenizer_vocab_refit_smoke","dir","2026-05-27 18:55:26","4","1","0","0","1","0","0","0","","","style_tokenizer_vocab_refit_smoke\summary.json"
"I:\Github\Latent_Style\SchrodingerBridge\exp","tokenizer","dir","2026-05-30 19:16:24","9455","90","0","0","12","12","17","15","","tokenizer\tok_lancet_set_high032_base80_win_20260530\logs\training_20260530_142713.csv","tokenizer\contrastive_v1_fulleval_e4\summary.json"
"I:\Github\Latent_Style\SchrodingerBridge\exp","tokenizer_adain_gate_calibration","dir","2026-05-28 02:43:04","3038","12","0","0","8","4","0","0","","","tokenizer_adain_gate_calibration\ag00_m02_safe_gate\full_eval_summary.json"
"I:\Github\Latent_Style\SchrodingerBridge\exp","tokenizer_adain_gate_calibration_smoke","dir","2026-05-28 03:33:55","6","2","0","0","0","0","0","0","","",""
"I:\Github\Latent_Style\SchrodingerBridge\exp","tokenizer_adain_gate_calibration_smoke_g56","dir","2026-05-28 02:24:24","4","1","0","0","0","0","0","0","","",""
"I:\Github\Latent_Style\SchrodingerBridge\exp","tokenizer_adain_texture_gate_calibration","dir","2026-05-27 23:47:09","2","1","0","0","0","0","2","0","","tokenizer_adain_texture_gate_calibration\task_stderr.log",""
"I:\Github\Latent_Style\SchrodingerBridge\exp","tokenizer_adain_texture_gate_calibration_rerun","dir","2026-05-28 00:20:26","763","3","0","0","2","1","2","0","","tokenizer_adain_texture_gate_calibration_rerun\task_stderr.log","tokenizer_adain_texture_gate_calibration_rerun\ag02_m02_texture_gate\full_eval_summary.json"
"I:\Github\Latent_Style\SchrodingerBridge\exp","tokenizer_adain_texture_gate_calibration_rowlocal","dir","2026-05-28 00:30:02","2","1","0","0","0","0","2","0","","tokenizer_adain_texture_gate_calibration_rowlocal\task_stderr.log",""
"I:\Github\Latent_Style\SchrodingerBridge\exp","tokenizer_adain_texture_gate_smoke","dir","2026-05-27 23:39:55","4","1","0","0","0","0","0","0","","",""
"I:\Github\Latent_Style\SchrodingerBridge\exp","tokenizer_bandgate_calibration","dir","2026-05-27 22:18:38","1520","6","0","0","4","2","0","0","","","tokenizer_bandgate_calibration\bg00_band_anchor\full_eval_summary.json"
"I:\Github\Latent_Style\SchrodingerBridge\exp","tokenizer_bandgate_calibration_smoke","dir","2026-05-27 21:48:14","4","1","0","0","0","0","0","0","","",""
"I:\Github\Latent_Style\SchrodingerBridge\exp","tokenizer_bandgate_status","dir","2026-05-27 22:18:40","3","0","0","0","0","0","2","0","","tokenizer_bandgate_status\stderr.log",""
"I:\Github\Latent_Style\SchrodingerBridge\exp","tokenizer_metric_mds_init","dir","2026-05-28 17:04:54","766","5","0","0","2","1","0","3","","","tokenizer_metric_mds_init\mds02_high04_operator\full_eval_summary.json"
"I:\Github\Latent_Style\SchrodingerBridge\exp","tokenizer_phase1","dir","2026-05-29 11:34:35","279","18","0","0","1","1","9","4","","tokenizer_phase1\ca_epoch6_style_output_mstep_e3x80_20260529_1145\run.log","tokenizer_phase1\ca_epoch6_style_output_mstep_e3x80_20260529_1145\eval_small_epoch9\summary.json"
"I:\Github\Latent_Style\SchrodingerBridge\exp","tokenizer_prototype_carrier_calibration","dir","2026-05-28 05:21:22","1521","6","0","0","4","2","1","0","","tokenizer_prototype_carrier_calibration\run_pc00_pc01.log","tokenizer_prototype_carrier_calibration\pc00_m02_prototype_carrier_anchor\full_eval_summary.json"
"I:\Github\Latent_Style\SchrodingerBridge\exp","tokenizer_prototype_carrier_smoke","dir","2026-05-28 04:41:46","4","1","0","0","0","0","0","0","","",""
"I:\Github\Latent_Style\SchrodingerBridge\exp","tokenizer_prototype_carrier_smoke2","dir","2026-05-28 04:42:28","4","1","0","0","0","0","0","0","","",""
"I:\Github\Latent_Style\SchrodingerBridge\exp","tokenizer_stat_reader_probe","dir","2026-05-28 01:34:43","1524","6","0","0","4","2","2","0","","tokenizer_stat_reader_probe\run_stderr.log","tokenizer_stat_reader_probe\sr00_stat_reader_safe\full_eval_summary.json"
"I:\Github\Latent_Style\SchrodingerBridge\exp","tokenizer_stat_reader_smoke","dir","2026-05-28 01:05:12","5","1","0","0","0","0","0","0","","",""
"I:\Github\Latent_Style\SchrodingerBridge\exp","tokenizer_stat_vocab_probe","dir","2026-05-28 00:47:04","1522","6","0","0","4","2","2","0","","tokenizer_stat_vocab_probe\run_stderr.log","tokenizer_stat_vocab_probe\sv00_stat_m02_conservative\full_eval_summary.json"
"I:\Github\Latent_Style\SchrodingerBridge\exp","tokenizer_texton_carrier_calibration","dir","2026-05-28 04:19:36","1520","6","0","0","4","2","0","0","","","tokenizer_texton_carrier_calibration\tc00_m02_texton_carrier_anchor\full_eval_summary.json"
"I:\Github\Latent_Style\SchrodingerBridge\exp","tri_level_style","dir","2026-05-28 20:37:51","6953","41","0","0","9","9","6","5","","tri_level_style\invalid_low_vram_20260528_195826_tri_probe_b_hard_routing\logs\training_20260528_195316.csv","tri_level_style\tri_probe_a_spectral_pump\full_eval\epoch_0006\summary.json"
"I:\Github\Latent_Style\SchrodingerBridge\exp","tri_level_style_ladder","dir","2026-05-28 19:28:21","148","20","0","0","0","0","6","5","","tri_level_style_ladder\batch_128\logs\training_20260528_192432.csv",""
"I:\Github\Latent_Style\SchrodingerBridge\exp","typed_memory_backbone_probe","dir","2026-05-28 08:14:55","1573","14","0","0","2","2","2","2","","typed_memory_backbone_probe\rt00_typed_fet_s18_e2\logs\training_20260528_080754.csv","typed_memory_backbone_probe\rt00_typed_fet_s18_e2\full_eval\epoch_0008\summary_reuse_generated.json"
"I:\Github\Latent_Style\SchrodingerBridge\exp","typed_memory_backbone_probe_smoke","dir","2026-05-28 08:07:12","31","4","0","0","0","0","1","1","","typed_memory_backbone_probe_smoke\rt00_typed_fet_s18_e2\logs\training_20260528_080703.csv",""
"I:\Github\Latent_Style\SchrodingerBridge\exp","typed_uniform_memory_backbone_probe","dir","2026-05-28 08:24:32","1573","14","0","0","2","2","2","2","","typed_uniform_memory_backbone_probe\rt02_typed_uniform_s20_e2\logs\training_20260528_081732.csv","typed_uniform_memory_backbone_probe\rt02_typed_uniform_s20_e2\full_eval\epoch_0008\summary_reuse_generated.json"
"I:\Github\Latent_Style\SchrodingerBridge\exp","vae_backend","dir","2026-05-27 13:22:00","251463","1559","0","0","350","327","421","185","","vae_backend\ema_semantic_router_task.log","vae_backend\ema_arch_attribution\ema_amp_only_w24_anchor\full_eval\epoch_0006\summary.json"
"I:\Github\Latent_Style\SchrodingerBridge\exp","vae_backend_256_mse_controls","dir","2026-05-28 13:34:52","11511","55","0","0","15","15","14","5","","vae_backend_256_mse_controls\launcher_combined.log","vae_backend_256_mse_controls\mse_bodyblend_w28_guard\full_eval\epoch_0006\summary.json"
"I:\Github\Latent_Style\SchrodingerBridge\exp","vae_backend_256_probe","dir","2026-05-27 20:57:26","16122","78","0","0","21","21","24","7","","vae_backend_256_probe\tokenizer_neutral_spiral_stderr.log","vae_backend_256_probe\ema_style_vocab_factorized_feature_w36\full_eval\epoch_0006\summary.json"
"I:\Github\Latent_Style\SchrodingerBridge\exp","vae_backend_256_sdxl_plain4_base","dir","2026-05-26 02:12:20","7631","31","0","0","10","10","16","2","","vae_backend_256_sdxl_plain4_base\config_gen_swd16.log","vae_backend_256_sdxl_plain4_base\inference_sweep\swd16_e7_step120\summary.json"
