"checkpoint_file","global_step","epoch","size_mb","state_dict_count","state_dict_sha256"
"last-v1.ckpt","500","0","275.899","214","885324150c8c23b25e9542345952fc540e4f63cbbe6340facdeefaf018d8bbbd"
"last-v2.ckpt","750","0","275.899","214","844bb7c580339ce83b2daa634edf06fc2961f0ba590b65deecd9ae5fac69c17c"
"last-v3.ckpt","1000","0","275.899","214","102fb0e318bcc002265d60e70f3912b912a635fab72c477611500ec8a7332603"
"last-v4.ckpt","1250","0","275.899","214","4823fde82d83f4533e533e6d6b7b2fbc3289f5b5b003ef33c62c9734f43f9dae"
"last-v5.ckpt","1500","0","275.899","214","38cec4bd349766b5a0e2875a3e2a374043cfe760ab397afd3e009266bce480cd"
"last-v6.ckpt","1750","0","275.899","214","f100f28d77dfc12239317b6700991d3fba78fd685258c9daccab318fd74c12e8"
"last.ckpt","250","0","275.897","214","3e2966b250c6c373c3f16e5580ec127f37643f22eca33ad9d903cd69523f6197"
"step-step=000250.ckpt","250","0","275.897","214","3e2966b250c6c373c3f16e5580ec127f37643f22eca33ad9d903cd69523f6197"
"step-step=000500.ckpt","500","0","275.899","214","885324150c8c23b25e9542345952fc540e4f63cbbe6340facdeefaf018d8bbbd"
"step-step=000750.ckpt","750","0","275.899","214","844bb7c580339ce83b2daa634edf06fc2961f0ba590b65deecd9ae5fac69c17c"
"step-step=001000.ckpt","1000","0","275.899","214","102fb0e318bcc002265d60e70f3912b912a635fab72c477611500ec8a7332603"
"step-step=001250.ckpt","1250","0","275.899","214","4823fde82d83f4533e533e6d6b7b2fbc3289f5b5b003ef33c62c9734f43f9dae"
"step-step=001500.ckpt","1500","0","275.899","214","38cec4bd349766b5a0e2875a3e2a374043cfe760ab397afd3e009266bce480cd"
"step-step=001750.ckpt","1750","0","275.899","214","f100f28d77dfc12239317b6700991d3fba78fd685258c9daccab318fd74c12e8"
"step-step=002000.ckpt","250","0","275.897","214","ba5fb217a301373414e6034101f845e1750175ef38ea378f90e819be7c397877"
"step-step=002250.ckpt","250","0","275.897","214","14d7f1a13885c6e0394348c9a81a2a822375a17c576f72d8d962a881ffd86cfd"
"step-step=002500.ckpt","250","0","275.897","214","9e73a162d5cd8e8bcf9cf93732c8ffafd1e544e3c6da39cc1bff0a9eb5692ba1"
"step-step=002750.ckpt","250","0","275.897","214","b54be51c6e98aef552e73bd14b71969aafa2eb99f6eadc984c5cd99cf750bbc6"
"step-step=003000.ckpt","250","0","275.897","214","41f4324b4285c9529a6d4bcc9388849792d094d055dcd0464036d158283b884a"
