"duplicate_key","root","relative_path","path","name","size_mb","sha256"
"ref_feats_193acd82ae_m256.pt|221997","I:\Github\Latent_Style\eval_cache","ref_feats_193acd82ae_m256.pt","I:\Github\Latent_Style\eval_cache\ref_feats_193acd82ae_m256.pt","ref_feats_193acd82ae_m256.pt","0.211713","B5D07E8FCEC6872CDAE93ABA96A55FEB6AAA4B796DCE82915961B77DE0BC6BBA"
"ref_feats_193acd82ae_m256.pt|221997","I:\Github\Latent_Style\Cycle-NCE\eval_cache","ref_feats_193acd82ae_m256.pt","I:\Github\Latent_Style\Cycle-NCE\eval_cache\ref_feats_193acd82ae_m256.pt","ref_feats_193acd82ae_m256.pt","0.211713","B5D07E8FCEC6872CDAE93ABA96A55FEB6AAA4B796DCE82915961B77DE0BC6BBA"
"ref_feats_36450f05fa_m256.pt|584108","I:\Github\Latent_Style\eval_cache","ref_feats_36450f05fa_m256.pt","I:\Github\Latent_Style\eval_cache\ref_feats_36450f05fa_m256.pt","ref_feats_36450f05fa_m256.pt","0.557049","888CFAD1460A6E6433F6B2C5B3C902C992C19AC41F4CC802F4ECA0D0F2CCDE6D"
"ref_feats_36450f05fa_m256.pt|584108","I:\Github\Latent_Style\Cycle-NCE\eval_cache","ref_feats_36450f05fa_m256.pt","I:\Github\Latent_Style\Cycle-NCE\eval_cache\ref_feats_36450f05fa_m256.pt","ref_feats_36450f05fa_m256.pt","0.557049","888CFAD1460A6E6433F6B2C5B3C902C992C19AC41F4CC802F4ECA0D0F2CCDE6D"
"ref_feats_4f6a303ab0_m80.pt|559570","I:\Github\Latent_Style\eval_cache","ref_feats_4f6a303ab0_m80.pt","I:\Github\Latent_Style\eval_cache\ref_feats_4f6a303ab0_m80.pt","ref_feats_4f6a303ab0_m80.pt","0.533648","6CBE169E8B3EFBBD2F5CB1B9DFD24B1C48E7219CC561AE7B9E65D79A8ACEDEF2"
"ref_feats_4f6a303ab0_m80.pt|559570","I:\Github\Latent_Style\Cycle-NCE\eval_cache","ref_feats_4f6a303ab0_m80.pt","I:\Github\Latent_Style\Cycle-NCE\eval_cache\ref_feats_4f6a303ab0_m80.pt","ref_feats_4f6a303ab0_m80.pt","0.533648","6CBE169E8B3EFBBD2F5CB1B9DFD24B1C48E7219CC561AE7B9E65D79A8ACEDEF2"
"ref_feats_878b1c1129_m80.pt|342490","I:\Github\Latent_Style\eval_cache","ref_feats_878b1c1129_m80.pt","I:\Github\Latent_Style\eval_cache\ref_feats_878b1c1129_m80.pt","ref_feats_878b1c1129_m80.pt","0.326624","4C746971C6BE76DA5D733351EF29E2D2F8317F963D94CE1AA9E771360DD55007"
"ref_feats_878b1c1129_m80.pt|342490","I:\Github\Latent_Style\SchrodingerBridge\eval_cache","ref_feats_878b1c1129_m80.pt","I:\Github\Latent_Style\SchrodingerBridge\eval_cache\ref_feats_878b1c1129_m80.pt","ref_feats_878b1c1129_m80.pt","0.326624","4C746971C6BE76DA5D733351EF29E2D2F8317F963D94CE1AA9E771360DD55007"
"ref_feats_f301193448_m256.pt|552940","I:\Github\Latent_Style\eval_cache","ref_feats_f301193448_m256.pt","I:\Github\Latent_Style\eval_cache\ref_feats_f301193448_m256.pt","ref_feats_f301193448_m256.pt","0.527325","A01922623155321B5391DFF16B749AB96C143E096A460668B75D7A26206EE5B5"
"ref_feats_f301193448_m256.pt|552940","I:\Github\Latent_Style\Cycle-NCE\eval_cache","ref_feats_f301193448_m256.pt","I:\Github\Latent_Style\Cycle-NCE\eval_cache\ref_feats_f301193448_m256.pt","ref_feats_f301193448_m256.pt","0.527325","A01922623155321B5391DFF16B749AB96C143E096A460668B75D7A26206EE5B5"
"ref_feats_fa2d56e3a1_m256.pt|552940","I:\Github\Latent_Style\eval_cache","ref_feats_fa2d56e3a1_m256.pt","I:\Github\Latent_Style\eval_cache\ref_feats_fa2d56e3a1_m256.pt","ref_feats_fa2d56e3a1_m256.pt","0.527325","72F6AB508D736CEEBB58EFCA8209648BA6F49B02333278FFC328D3E9841A5AC0"
"ref_feats_fa2d56e3a1_m256.pt|552940","I:\Github\Latent_Style\Cycle-NCE\eval_cache","ref_feats_fa2d56e3a1_m256.pt","I:\Github\Latent_Style\Cycle-NCE\eval_cache\ref_feats_fa2d56e3a1_m256.pt","ref_feats_fa2d56e3a1_m256.pt","0.527325","72F6AB508D736CEEBB58EFCA8209648BA6F49B02333278FFC328D3E9841A5AC0"
"ref_feats_fa2d56e3a1_m80.pt|559570","I:\Github\Latent_Style\eval_cache","ref_feats_fa2d56e3a1_m80.pt","I:\Github\Latent_Style\eval_cache\ref_feats_fa2d56e3a1_m80.pt","ref_feats_fa2d56e3a1_m80.pt","0.533648","9F80EB0E63C314DC88341EBE9AC0B6616EC9044F00B4C2611DB7594C2BC29A6D"
"ref_feats_fa2d56e3a1_m80.pt|559570","I:\Github\Latent_Style\Cycle-NCE\eval_cache","ref_feats_fa2d56e3a1_m80.pt","I:\Github\Latent_Style\Cycle-NCE\eval_cache\ref_feats_fa2d56e3a1_m80.pt","ref_feats_fa2d56e3a1_m80.pt","0.533648","9F80EB0E63C314DC88341EBE9AC0B6616EC9044F00B4C2611DB7594C2BC29A6D"
"CACHEDIR.TAG|195","I:\Github\Latent_Style\eval_cache","hf\CACHEDIR.TAG","I:\Github\Latent_Style\eval_cache\hf\CACHEDIR.TAG","CACHEDIR.TAG","0.000186","E8893E2DCB3F4545EF67A0A5B7B769113D38EEF1AA61C7C7BA14659B02AF955F"
"CACHEDIR.TAG|195","I:\Github\Latent_Style\Cycle-NCE\eval_cache","hf\CACHEDIR.TAG","I:\Github\Latent_Style\Cycle-NCE\eval_cache\hf\CACHEDIR.TAG","CACHEDIR.TAG","0.000186","E8893E2DCB3F4545EF67A0A5B7B769113D38EEF1AA61C7C7BA14659B02AF955F"
"adapter_config.json|0","I:\Github\Latent_Style\eval_cache","hf\models--openai--clip-vit-base-patch32\.no_exist\3d74acf9a28c67741b2f4f2ea7635f0aaf6f0268\adapter_config.json","I:\Github\Latent_Style\eval_cache\hf\models--openai--clip-vit-base-patch32\.no_exist\3d74acf9a28c67741b2f4f2ea7635f0aaf6f0268\adapter_config.json","adapter_config.json","0","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855"
"adapter_config.json|0","I:\Github\Latent_Style\Cycle-NCE\eval_cache","hf\models--openai--clip-vit-base-patch32\.no_exist\3d74acf9a28c67741b2f4f2ea7635f0aaf6f0268\adapter_config.json","I:\Github\Latent_Style\Cycle-NCE\eval_cache\hf\models--openai--clip-vit-base-patch32\.no_exist\3d74acf9a28c67741b2f4f2ea7635f0aaf6f0268\adapter_config.json","adapter_config.json","0","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855"
"model.safetensors|0","I:\Github\Latent_Style\eval_cache","hf\models--openai--clip-vit-base-patch32\.no_exist\3d74acf9a28c67741b2f4f2ea7635f0aaf6f0268\model.safetensors","I:\Github\Latent_Style\eval_cache\hf\models--openai--clip-vit-base-patch32\.no_exist\3d74acf9a28c67741b2f4f2ea7635f0aaf6f0268\model.safetensors","model.safetensors","0","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855"
"model.safetensors|0","I:\Github\Latent_Style\Cycle-NCE\eval_cache","hf\models--openai--clip-vit-base-patch32\.no_exist\3d74acf9a28c67741b2f4f2ea7635f0aaf6f0268\model.safetensors","I:\Github\Latent_Style\Cycle-NCE\eval_cache\hf\models--openai--clip-vit-base-patch32\.no_exist\3d74acf9a28c67741b2f4f2ea7635f0aaf6f0268\model.safetensors","model.safetensors","0","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855"
"model.safetensors.index.json|0","I:\Github\Latent_Style\eval_cache","hf\models--openai--clip-vit-base-patch32\.no_exist\3d74acf9a28c67741b2f4f2ea7635f0aaf6f0268\model.safetensors.index.json","I:\Github\Latent_Style\eval_cache\hf\models--openai--clip-vit-base-patch32\.no_exist\3d74acf9a28c67741b2f4f2ea7635f0aaf6f0268\model.safetensors.index.json","model.safetensors.index.json","0","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855"
"model.safetensors.index.json|0","I:\Github\Latent_Style\Cycle-NCE\eval_cache","hf\models--openai--clip-vit-base-patch32\.no_exist\3d74acf9a28c67741b2f4f2ea7635f0aaf6f0268\model.safetensors.index.json","I:\Github\Latent_Style\Cycle-NCE\eval_cache\hf\models--openai--clip-vit-base-patch32\.no_exist\3d74acf9a28c67741b2f4f2ea7635f0aaf6f0268\model.safetensors.index.json","model.safetensors.index.json","0","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855"
"main|40","I:\Github\Latent_Style\eval_cache","hf\models--openai--clip-vit-base-patch32\refs\main","I:\Github\Latent_Style\eval_cache\hf\models--openai--clip-vit-base-patch32\refs\main","main","3.8E-05","8FC3C24CB66A342CFF181840732DEEF7ECFE19C388C08B980EC47FEF6BFAACF0"
"main|40","I:\Github\Latent_Style\eval_cache","hf\models--stabilityai--sd-vae-ft-mse\refs\main","I:\Github\Latent_Style\eval_cache\hf\models--stabilityai--sd-vae-ft-mse\refs\main","main","3.8E-05","09AFED3031CE614589C7942EB2799A898FA28775DEA6C1AD57BEA7850A527D06"
"main|40","I:\Github\Latent_Style\Cycle-NCE\eval_cache","hf\models--openai--clip-vit-base-patch32\refs\main","I:\Github\Latent_Style\Cycle-NCE\eval_cache\hf\models--openai--clip-vit-base-patch32\refs\main","main","3.8E-05","8FC3C24CB66A342CFF181840732DEEF7ECFE19C388C08B980EC47FEF6BFAACF0"
