period,source_root,dataset_key,method,event_type,path,time_hint,metric_hint,note
2026-02-15,I:\,legacy_style_transfer_experiments,,summary_evidence,I:\Github\Latent_Style\experiments\no-edge\full_eval\epoch_0050\summary.json,,,Remote curated summary.json after experiment-path filter.
2026-02-15,I:\,legacy_style_transfer_experiments,,summary_evidence,I:\Github\Latent_Style\experiments\no-edge\full_eval\epoch_0100\summary.json,,,Remote curated summary.json after experiment-path filter.
2026-02-15,I:\,legacy_style_transfer_experiments,,summary_evidence,I:\Github\Latent_Style\experiments\no-edge\full_eval\epoch_0150\summary.json,,,Remote curated summary.json after experiment-path filter.
2026-02-15,I:\,legacy_style_transfer_experiments,,summary_evidence,I:\Github\Latent_Style\experiments\no-edge\full_eval\epoch_0200\summary.json,,,Remote curated summary.json after experiment-path filter.
2026-02-15,I:\,legacy_style_transfer_experiments,,summary_evidence,I:\Github\Latent_Style\experiments\no-edge\full_eval\epoch_0250\summary.json,,,Remote curated summary.json after experiment-path filter.
2026-02-15,I:\,legacy_style_transfer_experiments,,summary_evidence,I:\Github\Latent_Style\experiments\no-edge\full_eval\epoch_0300\summary.json,,,Remote curated summary.json after experiment-path filter.
2026-02-15,I:\,legacy_style_transfer_experiments,,log_evidence,I:\Github\Latent_Style\experiments\no-edge\logs\training_20260215_004310.csv,,,Remote curated train/eval log after experiment-path filter.
2026-02-15,I:\,legacy_style_transfer_experiments,,log_evidence,I:\Github\Latent_Style\experiments\no-edge\logs\training_20260215_090439.csv,,,Remote curated train/eval log after experiment-path filter.
2026-02-15T09:03:24,I:\,legacy_style_transfer_experiments,,log_file,I:\Github\Latent_Style\experiments\no-edge\logs\training_20260215_004310.csv,,,Curated remote experiment log.
2026-02-15T09:04:39,I:\,legacy_style_transfer_experiments,,log_file,I:\Github\Latent_Style\experiments\no-edge\logs\training_20260215_090439.csv,,,Curated remote experiment log.
2026-02-17,I:\,legacy_style_transfer_experiments,,log_evidence,I:\Github\Latent_Style\experiments\swd-256-100-6-50-1.5k\logs\training_20260217_235140.csv,,,Remote curated train/eval log after experiment-path filter.
2026-02-17,I:\,legacy_style_transfer_experiments,,log_evidence,I:\Github\Latent_Style\experiments\swd-256-5k-6-50-1.5k\logs\training_20260217_233425.csv,,,Remote curated train/eval log after experiment-path filter.
2026-02-17T23:43:49,I:\,legacy_style_transfer_experiments,,log_file,I:\Github\Latent_Style\experiments\swd-256-5k-6-50-1.5k\logs\training_20260217_233425.csv,,,Curated remote experiment log.
2026-02-17T23:56:36,I:\,legacy_style_transfer_experiments,,log_file,I:\Github\Latent_Style\experiments\swd-256-100-6-50-1.5k\logs\training_20260217_235140.csv,,,Curated remote experiment log.
2026-02-18,I:\,legacy_style_transfer_experiments,,summary_evidence,I:\Github\Latent_Style\experiments\swd-256-100-6-50-1.5k\full_eval\epoch_0050\summary.json,,,Remote curated summary.json after experiment-path filter.
2026-02-18,I:\,legacy_style_transfer_experiments,,summary_evidence,I:\Github\Latent_Style\experiments\swd-256-100-6-50-1.5k\full_eval\epoch_0100\summary.json,,,Remote curated summary.json after experiment-path filter.
2026-02-18,I:\,legacy_style_transfer_experiments,,summary_evidence,I:\Github\Latent_Style\experiments\swd-256-100-6-50-1.5k\full_eval\epoch_0150\summary.json,,,Remote curated summary.json after experiment-path filter.
2026-02-18,I:\,legacy_style_transfer_experiments,,summary_evidence,I:\Github\Latent_Style\experiments\swd-256-100-6-50-1.5k\full_eval\epoch_0200\summary.json,,,Remote curated summary.json after experiment-path filter.
2026-02-18,I:\,legacy_style_transfer_experiments,,log_evidence,I:\Github\Latent_Style\experiments\swd-256-100-6-50-1.5k\logs\training_20260217_235920.csv,,,Remote curated train/eval log after experiment-path filter.
2026-02-18,I:\,legacy_style_transfer_experiments,,log_evidence,I:\Github\Latent_Style\experiments\swd-256-100-6-50-15\logs\training_20260218_084417.csv,,,Remote curated train/eval log after experiment-path filter.
2026-02-18,I:\,legacy_style_transfer_experiments,,log_evidence,I:\Github\Latent_Style\experiments\swd-256-100-6-50-15\logs\training_20260218_085357.csv,,,Remote curated train/eval log after experiment-path filter.
2026-02-18,I:\,legacy_style_transfer_experiments,,log_evidence,I:\Github\Latent_Style\experiments\swd-256-fix-gates-100-5-50-20-0.1\logs\training_20260218_133058.csv,,,Remote curated train/eval log after experiment-path filter.
2026-02-18,I:\,legacy_style_transfer_experiments,,log_evidence,I:\Github\Latent_Style\experiments\swd-256-fix-gates-100-5-50-20-0.1\logs\training_20260218_145345.csv,,,Remote curated train/eval log after experiment-path filter.
2026-02-18,I:\,legacy_style_transfer_experiments,,log_evidence,I:\Github\Latent_Style\experiments\swd-256-fix-gates-20-5-50-20-0.1\logs\training_20260218_124524.csv,,,Remote curated train/eval log after experiment-path filter.
2026-02-18,I:\,legacy_style_transfer_experiments,,summary_evidence,I:\Github\Latent_Style\experiments\swd-256-fix-gates\full_eval\epoch_0050\summary.json,,,Remote curated summary.json after experiment-path filter.
2026-02-18,I:\,legacy_style_transfer_experiments,,log_evidence,I:\Github\Latent_Style\experiments\swd-256-fix-gates\logs\training_20260218_090212.csv,,,Remote curated train/eval log after experiment-path filter.
2026-02-18,I:\,legacy_style_transfer_experiments,,log_evidence,I:\Github\Latent_Style\experiments\swd-256-fix-gates\logs\training_20260218_090523.csv,,,Remote curated train/eval log after experiment-path filter.
2026-02-18,I:\,legacy_style_transfer_experiments,,log_evidence,I:\Github\Latent_Style\experiments\swd-256-fix-gates\logs\training_20260218_090649.csv,,,Remote curated train/eval log after experiment-path filter.
2026-02-18,I:\,legacy_style_transfer_experiments,,log_evidence,I:\Github\Latent_Style\experiments\swd-256-fix-gates\logs\training_20260218_091105.csv,,,Remote curated train/eval log after experiment-path filter.
2026-02-18,I:\,legacy_style_transfer_experiments,,log_evidence,I:\Github\Latent_Style\experiments\swd-256-fix-gates\logs\training_20260218_094851.csv,,,Remote curated train/eval log after experiment-path filter.
2026-02-18T08:43:01,I:\,legacy_style_transfer_experiments,,log_file,I:\Github\Latent_Style\experiments\swd-256-100-6-50-1.5k\logs\training_20260217_235920.csv,,,Curated remote experiment log.
2026-02-18T08:51:32,I:\,legacy_style_transfer_experiments,,log_file,I:\Github\Latent_Style\experiments\swd-256-100-6-50-15\logs\training_20260218_084417.csv,,,Curated remote experiment log.
2026-02-18T08:53:57,I:\,legacy_style_transfer_experiments,,log_file,I:\Github\Latent_Style\experiments\swd-256-100-6-50-15\logs\training_20260218_085357.csv,,,Curated remote experiment log.
2026-02-18T09:02:12,I:\,legacy_style_transfer_experiments,,log_file,I:\Github\Latent_Style\experiments\swd-256-fix-gates\logs\training_20260218_090212.csv,,,Curated remote experiment log.
2026-02-18T09:05:23,I:\,legacy_style_transfer_experiments,,log_file,I:\Github\Latent_Style\experiments\swd-256-fix-gates\logs\training_20260218_090523.csv,,,Curated remote experiment log.
2026-02-18T09:06:49,I:\,legacy_style_transfer_experiments,,log_file,I:\Github\Latent_Style\experiments\swd-256-fix-gates\logs\training_20260218_090649.csv,,,Curated remote experiment log.
2026-02-18T09:47:37,I:\,legacy_style_transfer_experiments,,log_file,I:\Github\Latent_Style\experiments\swd-256-fix-gates\logs\training_20260218_091105.csv,,,Curated remote experiment log.
2026-02-18T11:55:56,I:\,legacy_style_transfer_experiments,,log_file,I:\Github\Latent_Style\experiments\swd-256-fix-gates\logs\training_20260218_094851.csv,,,Curated remote experiment log.
2026-02-18T13:24:17,I:\,legacy_style_transfer_experiments,,log_file,I:\Github\Latent_Style\experiments\swd-256-fix-gates-20-5-50-20-0.1\logs\training_20260218_124524.csv,,,Curated remote experiment log.
2026-02-18T13:38:33,I:\,legacy_style_transfer_experiments,,log_file,I:\Github\Latent_Style\experiments\swd-256-fix-gates-100-5-50-20-0.1\logs\training_20260218_133058.csv,,,Curated remote experiment log.
2026-02-18T15:35:16,I:\,legacy_style_transfer_experiments,,log_file,I:\Github\Latent_Style\experiments\swd-256-fix-gates-100-5-50-20-0.1\logs\training_20260218_145345.csv,,,Curated remote experiment log.
2026-02-21,I:\,legacy_style_transfer_experiments,,summary_evidence,I:\Github\Latent_Style\experiments\experiments-swd8\full-adagn-map16-statloss\full_eval\epoch_0020\summary.json,,,Remote curated summary.json after experiment-path filter.
2026-02-21,I:\,legacy_style_transfer_experiments,,summary_evidence,I:\Github\Latent_Style\experiments\experiments-swd8\full-adagn-map16-statloss\full_eval\epoch_0050\summary.json,,,Remote curated summary.json after experiment-path filter.
2026-02-21,I:\,legacy_style_transfer_experiments,,summary_evidence,I:\Github\Latent_Style\experiments\experiments-swd8\full-adagn-map16-statloss\full_eval\epoch_0100\summary.json,,,Remote curated summary.json after experiment-path filter.
2026-02-21,I:\,legacy_style_transfer_experiments,,log_evidence,I:\Github\Latent_Style\experiments\experiments-swd8\full-adagn-map16-statloss\logs\training_20260221_165436.csv,,,Remote curated train/eval log after experiment-path filter.
2026-02-21,I:\,legacy_style_transfer_experiments,,log_evidence,I:\Github\Latent_Style\experiments\experiments-swd8\full-adagn-map16-statloss\logs\training_20260221_172702.csv,,,Remote curated train/eval log after experiment-path filter.
2026-02-21,I:\,legacy_style_transfer_experiments,,log_evidence,I:\Github\Latent_Style\experiments\experiments-swd8\full-adagn-map16-statloss\logs\training_20260221_172937.csv,,,Remote curated train/eval log after experiment-path filter.
2026-02-21,I:\,legacy_style_transfer_experiments,,log_evidence,I:\Github\Latent_Style\experiments\experiments-swd8\full-adagn-map16-statloss\logs\training_20260221_181142.csv,,,Remote curated train/eval log after experiment-path filter.
2026-02-21T17:24:22,I:\,legacy_style_transfer_experiments,,log_file,I:\Github\Latent_Style\experiments\experiments-swd8\full-adagn-map16-statloss\logs\training_20260221_165436.csv,,,Curated remote experiment log.
2026-02-21T17:27:02,I:\,legacy_style_transfer_experiments,,log_file,I:\Github\Latent_Style\experiments\experiments-swd8\full-adagn-map16-statloss\logs\training_20260221_172702.csv,,,Curated remote experiment log.
2026-02-21T18:11:26,I:\,legacy_style_transfer_experiments,,log_file,I:\Github\Latent_Style\experiments\experiments-swd8\full-adagn-map16-statloss\logs\training_20260221_172937.csv,,,Curated remote experiment log.
2026-02-21T23:53:38,I:\,legacy_style_transfer_experiments,,log_file,I:\Github\Latent_Style\experiments\experiments-swd8\full-adagn-map16-statloss\logs\training_20260221_181142.csv,,,Curated remote experiment log.
2026-02-22,I:\,legacy_style_transfer_experiments,,summary_evidence,I:\Github\Latent_Style\experiments\experiments-swd8\full-adagn-map16-skipfix-hires1-lossv2\full_eval\epoch_0020\summary.json,,,Remote curated summary.json after experiment-path filter.
2026-02-22,I:\,legacy_style_transfer_experiments,,log_evidence,I:\Github\Latent_Style\experiments\experiments-swd8\full-adagn-map16-skipfix-hires1-lossv2\logs\training_20260222_204059.csv,,,Remote curated train/eval log after experiment-path filter.
2026-02-22,I:\,legacy_style_transfer_experiments,,log_evidence,I:\Github\Latent_Style\experiments\experiments-swd8\full-adagn-map16-skipfix-hires1-lossv2\logs\training_20260222_204347.csv,,,Remote curated train/eval log after experiment-path filter.
2026-02-22,I:\,legacy_style_transfer_experiments,,log_evidence,I:\Github\Latent_Style\experiments\experiments-swd8\full-adagn-map16-skipfix-hires1-lossv2\logs\training_20260222_204533.csv,,,Remote curated train/eval log after experiment-path filter.
2026-02-22,I:\,legacy_style_transfer_experiments,,log_evidence,I:\Github\Latent_Style\experiments\experiments-swd8\full-adagn-map16-skipfix-hires1-lossv2\logs\training_20260222_204951.csv,,,Remote curated train/eval log after experiment-path filter.
2026-02-22,I:\,legacy_style_transfer_experiments,,log_evidence,I:\Github\Latent_Style\experiments\experiments-swd8\full-adagn-map16-skipfix-hires1-lossv2\logs\training_20260222_205029.csv,,,Remote curated train/eval log after experiment-path filter.
2026-02-22,I:\,legacy_style_transfer_experiments,,log_evidence,I:\Github\Latent_Style\experiments\experiments-swd8\full-adagn-map16-skipfix-hires1-lossv2\logs\training_20260222_205103.csv,,,Remote curated train/eval log after experiment-path filter.
2026-02-22,I:\,legacy_style_transfer_experiments,,log_evidence,I:\Github\Latent_Style\experiments\experiments-swd8\full-adagn-map16-skipfix-hires1-lossv2\logs\training_20260222_205216.csv,,,Remote curated train/eval log after experiment-path filter.
2026-02-22,I:\,legacy_style_transfer_experiments,,log_evidence,I:\Github\Latent_Style\experiments\experiments-swd8\full-adagn-map16-skipfix-hires1-lossv2\logs\training_20260222_210903.csv,,,Remote curated train/eval log after experiment-path filter.
2026-02-22,I:\,legacy_style_transfer_experiments,,log_evidence,I:\Github\Latent_Style\experiments\experiments-swd8\full-adagn-map16-statloss\logs\training_20260222_170651.csv,,,Remote curated train/eval log after experiment-path filter.
2026-02-22,I:\,legacy_style_transfer_experiments,,log_evidence,I:\Github\Latent_Style\experiments\experiments-swd8\full-momnet_fixed\logs\training_20260222_171105.csv,,,Remote curated train/eval log after experiment-path filter.
2026-02-22,I:\,legacy_style_transfer_experiments,,log_evidence,I:\Github\Latent_Style\experiments\experiments-swd8\full-momnet_fixed\logs\training_20260222_171404.csv,,,Remote curated train/eval log after experiment-path filter.
2026-02-22,I:\,legacy_style_transfer_experiments,,log_evidence,I:\Github\Latent_Style\experiments\experiments-swd8\full-momnet_fixed\logs\training_20260222_171508.csv,,,Remote curated train/eval log after experiment-path filter.
2026-02-22,I:\,legacy_style_transfer_experiments,,log_evidence,I:\Github\Latent_Style\experiments\experiments-swd8\full-momnet_fixed\logs\training_20260222_203908.csv,,,Remote curated train/eval log after experiment-path filter.
