"checkpoint_file","size_mb","type","keys","global_step","epoch","state_dict_count","optimizer_states_count","lr_schedulers_count","pl_version"
"last-v1.ckpt","275.899","dict","callbacks;epoch;global_step;hparams_name;hyper_parameters;loops;lr_schedulers;optimizer_states;pytorch-lightning_version;state_dict","500","0","214","1","1","2.3.0"
"last-v2.ckpt","275.899","dict","callbacks;epoch;global_step;hparams_name;hyper_parameters;loops;lr_schedulers;optimizer_states;pytorch-lightning_version;state_dict","750","0","214","1","1","2.3.0"
"last-v3.ckpt","275.899","dict","callbacks;epoch;global_step;hparams_name;hyper_parameters;loops;lr_schedulers;optimizer_states;pytorch-lightning_version;state_dict","1000","0","214","1","1","2.3.0"
"last-v4.ckpt","275.899","dict","callbacks;epoch;global_step;hparams_name;hyper_parameters;loops;lr_schedulers;optimizer_states;pytorch-lightning_version;state_dict","1250","0","214","1","1","2.3.0"
"last-v5.ckpt","275.899","dict","callbacks;epoch;global_step;hparams_name;hyper_parameters;loops;lr_schedulers;optimizer_states;pytorch-lightning_version;state_dict","1500","0","214","1","1","2.3.0"
"last-v6.ckpt","275.899","dict","callbacks;epoch;global_step;hparams_name;hyper_parameters;loops;lr_schedulers;optimizer_states;pytorch-lightning_version;state_dict","1750","0","214","1","1","2.3.0"
"last.ckpt","275.897","dict","callbacks;epoch;global_step;hparams_name;hyper_parameters;loops;lr_schedulers;optimizer_states;pytorch-lightning_version;state_dict","250","0","214","1","1","2.3.0"
"step-step=000250.ckpt","275.897","dict","callbacks;epoch;global_step;hparams_name;hyper_parameters;loops;lr_schedulers;optimizer_states;pytorch-lightning_version;state_dict","250","0","214","1","1","2.3.0"
"step-step=000500.ckpt","275.899","dict","callbacks;epoch;global_step;hparams_name;hyper_parameters;loops;lr_schedulers;optimizer_states;pytorch-lightning_version;state_dict","500","0","214","1","1","2.3.0"
"step-step=000750.ckpt","275.899","dict","callbacks;epoch;global_step;hparams_name;hyper_parameters;loops;lr_schedulers;optimizer_states;pytorch-lightning_version;state_dict","750","0","214","1","1","2.3.0"
"step-step=001000.ckpt","275.899","dict","callbacks;epoch;global_step;hparams_name;hyper_parameters;loops;lr_schedulers;optimizer_states;pytorch-lightning_version;state_dict","1000","0","214","1","1","2.3.0"
"step-step=001250.ckpt","275.899","dict","callbacks;epoch;global_step;hparams_name;hyper_parameters;loops;lr_schedulers;optimizer_states;pytorch-lightning_version;state_dict","1250","0","214","1","1","2.3.0"
"step-step=001500.ckpt","275.899","dict","callbacks;epoch;global_step;hparams_name;hyper_parameters;loops;lr_schedulers;optimizer_states;pytorch-lightning_version;state_dict","1500","0","214","1","1","2.3.0"
"step-step=001750.ckpt","275.899","dict","callbacks;epoch;global_step;hparams_name;hyper_parameters;loops;lr_schedulers;optimizer_states;pytorch-lightning_version;state_dict","1750","0","214","1","1","2.3.0"
"step-step=002000.ckpt","275.897","dict","callbacks;epoch;global_step;hparams_name;hyper_parameters;loops;lr_schedulers;optimizer_states;pytorch-lightning_version;state_dict","250","0","214","1","1","2.3.0"
"step-step=002250.ckpt","275.897","dict","callbacks;epoch;global_step;hparams_name;hyper_parameters;loops;lr_schedulers;optimizer_states;pytorch-lightning_version;state_dict","250","0","214","1","1","2.3.0"
"step-step=002500.ckpt","275.897","dict","callbacks;epoch;global_step;hparams_name;hyper_parameters;loops;lr_schedulers;optimizer_states;pytorch-lightning_version;state_dict","250","0","214","1","1","2.3.0"
"step-step=002750.ckpt","275.897","dict","callbacks;epoch;global_step;hparams_name;hyper_parameters;loops;lr_schedulers;optimizer_states;pytorch-lightning_version;state_dict","250","0","214","1","1","2.3.0"
"step-step=003000.ckpt","275.897","dict","callbacks;epoch;global_step;hparams_name;hyper_parameters;loops;lr_schedulers;optimizer_states;pytorch-lightning_version;state_dict","250","0","214","1","1","2.3.0"
