"remote_root","exp_dir","source_file_count","total_hit_count","master_log_hit_count","experiment_doc_hit_count","review_doc_hit_count","paper_hit_count","hit_files"
"I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge","armored_breakthrough_proper","199","1","0","0","0","0","docs\logs\experiment_ledger.md"
"I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge","artfid_wikiart5_compare","199","0","0","0","0","0",""
"I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge","axis_scale_probe","199","0","0","0","0","0",""
"I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge","configs","199","36","1","21","9","0","docs\aaai2027_working_index_20260602.md;docs\cleanup\worktree_triage_20260603.md;docs\experiments\2026-05-09-black-dot-mitigation-report.md;docs\experiments\2026-05-16-phase1-diagnostic-launcher.md;docs\experiments\2026-05-30-tokenizer-restart-design.md;docs\experiments\2026-05-31-aaai-saswd-plan.md;docs\experiments\2026-06-01-main-table-gap-analysis.md;docs\experiments\2026-06-02-distinct5-512-lancet-representation-speed.md;docs\experiments\2026-06-02-wikiart512-inference-speed.md;docs\experiments\2026-06-03-flow-loss-metric-ablation\config_registry.csv;docs\experiments\2026-06-03-flow-loss-metric-ablation\README.md;docs\experiments\2026-06-03-flow-loss-metric-ablation\repaired_endpoint_metric_ablation_packet_20260603.md;docs\experiments\2026-06-03-flow-loss-metric-ablation\repaired_endpoint_metric_launch_manifest_20260603.md;docs\experiments\2026-06-03-flow-loss-metric-ablation-protocol.md;docs\experiments\2026-06-03-repo-cleanup-and-archive-pass.md;docs\experiments\2026-06-03-saswd-axis-ablation\launch_manifest_20260603.md;docs\experiments\2026-06-03-saswd-axis-ablation\README.md;docs\experiments\aaai2027_master_experiment_log.csv;docs\experiments\comparison_20260602\lancet_history_registry.csv;docs\experiments\comparison_20260602\lancet_history_registry.json;docs\experiments\comparison_20260602\scatter_points.csv;docs\experiments\experiment_registry.csv;docs\experiments\experiment_registry.json;docs\maths\05_style_transfer_problem_and_next_switches.md;docs\maths\DECISION_TREE_AND_EXPERIMENT_PLAN.md;docs\maths\FULL_EVIDENCE_ANALYSIS_2026-05-16.md;docs\quickstart.md;docs\reviews\aaai2027_adversarial_review_20260602.md;docs\reviews\aaai2027_experiment_audit_20260602.md;docs\reviews\aaai2027_gate_b_runtime_anomaly_policy_20260603.md;docs\reviews\aaai2027_theory_memo_table_20260603.md;docs\reviews\aaai2027_theory_owner_audit_20260603.md;docs\reviews\aaai2027_weak_reject_gate_checklist_20260603.md;docs\reviews\aaai2027_weak_reject_pressure_memo_20260603.md;docs\reviews\endpoint_metric_review_gate_20260603.md;docs\reviews\README.md"
"I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge","decision_tree_clip_style","199","1","0","0","0","0","docs\maths\DECISION_TREE_AND_EXPERIMENT_PLAN.md"
"I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge","delta_freq_gain","199","0","0","0","0","0",""
"I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge","diagnostics","199","17","0","7","3","3","aaai_submission\figures\captions.json;aaai_submission\final\paper.tex;aaai_submission\paper_aaai2026.tex;docs\experiments\2026-05-30-tokenizer-restart-design.md;docs\experiments\2026-05-31-aaai-saswd-plan.md;docs\experiments\2026-06-01-main-table-gap-analysis.md;docs\experiments\2026-06-02-aaai2027-paper-update-plan.md;docs\experiments\2026-06-03-exploratory-image-prune.md;docs\experiments\2026-06-03-flow-loss-metric-ablation-protocol.md;docs\experiments\2026-06-03-saswd-axis-ablation\README.md;docs\maths\04_tokenizer_lancet_representation.md;docs\presentations\2026-05-21-model-modules-losses-and-results.md;docs\references\intro_related_claim_audit_20260603.md;docs\repro_report_zh\03_�����븴���嵥.md;docs\reviews\aaai2027_adversarial_review_20260602.md;docs\reviews\aaai2027_experiment_audit_20260602.md;docs\reviews\aaai2027_scorecard_20260602_r2.md"
"I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge","diffeomorphic_tangent_head_sweep","199","2","0","1","0","0","docs\experiments\2026-05-20-256-diffeomorphic-tangent-progress.md;docs\presentations\2026-05-21-model-modules-losses-and-results.md"
"I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge","field_budget_release_probe","199","0","0","0","0","0",""
"I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge","field_scale_probe","199","0","0","0","0","0",""
"I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge","formal_eval_750","199","6","0","6","0","0","docs\experiments\comparison_20260602\artfid_comparison_points.csv;docs\experiments\comparison_20260602\artfid_comparison_points.json;docs\experiments\comparison_20260602\scatter_points.csv;docs\experiments\metric_hacking_noop_20260602\noop_full_transfer_summary.csv;docs\experiments\metric_hacking_noop_20260602\README.md;docs\experiments\noop_comparison_across_datasets_20260602\dataset_artifact_mapping.csv"
"I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge","full_eval_history_backfill_20260601","199","0","0","0","0","0",""
"I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge","full_eval_promoted_all5x5","199","0","0","0","0","0",""
"I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge","full_eval_promoted_all5x5_b2","199","0","0","0","0","0",""
"I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge","kinetic_sweep","199","4","0","4","0","0","docs\experiments\2026-06-03-exp-surface-classification.md;docs\experiments\comparison_20260602\lancet_history_registry.csv;docs\experiments\comparison_20260602\lancet_history_registry.json;docs\experiments\comparison_20260602\scatter_points.csv"
"I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge","launch_logs","199","0","0","0","0","0",""
