"pattern","name","rel","is_dir","size_mb","last_write"
"axis_scale*","axis_scale_color_x150_n6","exp\diagnostics\axis_scale_color_x150_n6","True","","2026/5/31 22:30:24"
"axis_scale*","axis_scale_color_x250_n6","exp\diagnostics\axis_scale_color_x250_n6","True","","2026/5/31 22:41:11"
"axis_scale*","axis_scale_geometry_x125_n6","exp\diagnostics\axis_scale_geometry_x125_n6","True","","2026/5/31 22:34:55"
"axis_scale*","axis_scale_probe_n6_summary.json","exp\diagnostics\axis_scale_probe_n6_summary.json","False","0.071263","2026/5/31 22:37:13"
"axis_scale*","axis_scale_specgeo_x120_n6","exp\diagnostics\axis_scale_specgeo_x120_n6","True","","2026/5/31 22:37:12"
"axis_scale*","axis_scale_spectrum_x125_n6","exp\diagnostics\axis_scale_spectrum_x125_n6","True","","2026/5/31 22:32:39"
"axis_scale*","axis_scale_spectrum_x175_n6","exp\diagnostics\axis_scale_spectrum_x175_n6","True","","2026/5/31 22:43:27"
"field_budget_release*","field_budget_release_release_s100_n6","exp\diagnostics\field_budget_release_release_s100_n6","True","","2026/5/31 22:51:27"
"field_budget_release*","field_budget_release_release_s150_n6","exp\diagnostics\field_budget_release_release_s150_n6","True","","2026/5/31 22:53:43"
"pairrel_c090*","pairrel_c090_g100_b040_from_spatial_gate_n6","exp\diagnostics\pairrel_c090_g100_b040_from_spatial_gate_n6","True","","2026/6/1 1:25:37"
"pairrel_c090*","pairrel_c090_g100_b040_from_spatial_gate_n6.stderr.log","exp\diagnostics\pairrel_c090_g100_b040_from_spatial_gate_n6.stderr.log","False","0","2026/6/1 1:13:46"
"pairrel_c090*","pairrel_c090_g100_b040_from_spatial_gate_n6.stdout.log","exp\diagnostics\pairrel_c090_g100_b040_from_spatial_gate_n6.stdout.log","False","0","2026/6/1 1:13:46"
"pairrel_c120*","pairrel_c120_g050_b020_from_spatial_gate_n6","exp\diagnostics\pairrel_c120_g050_b020_from_spatial_gate_n6","True","","2026/6/1 1:31:37"
"pairrel_c120*","pairrel_c120_g050_b020_spgain013_from_spatial_gate_n6","exp\diagnostics\pairrel_c120_g050_b020_spgain013_from_spatial_gate_n6","True","","2026/6/1 1:35:37"
