"row_type","relative_path","compare_path","exists","bytes","mb","sha256","last_write","file_count","total_mb","entry_count","total_uncompressed_mb","existing_entries","same_size_entries","missing_entries","mismatched_size_entries","top_dirs","note"
"tool","7z.exe","","False","","","","","","","","","","","","","",""
"tool","7za.exe","","False","","","","","","","","","","","","","",""
"tool","rar.exe","","False","","","","","","","","","","","","","",""
"tool","unrar.exe","","False","","","","","","","","","","","","","",""
"tool","WinRAR.exe","","False","","","","","","","","","","","","","",""
"archive_file","eval_cache.zip","","True","738687044","704.467","","05/16/2026 21:02:11","","","","","","","","","",""
"archive_file","experiments.rar","","True","8484055618","8091.026","","04/09/2026 05:37:27","","","","","","","","","",""
"archive_file","Cycle-NCE\Gate.rar","","True","3548414426","3384.032","","04/09/2026 14:57:22","","","","","","","","","",""
"archive_file","Cycle-NCE\1-decoder-patch5-15_eAzEC.zip","","True","2179774217","2078.795","","03/05/2026 21:35:35","","","","","","","","","",""
"archive_file","Cycle-NCE\Attn_48.part1.rar","","True","838860800","800","","04/08/2026 17:56:52","","","","","","","","","",""
"archive_file","Cycle-NCE\Attn_48.part2.rar","","True","838860800","800","","04/08/2026 17:57:48","","","","","","","","","",""
"archive_file","Cycle-NCE\Attn_48.part3.rar","","True","393334889","375.113","","04/08/2026 17:58:14","","","","","","","","","",""
"archive_file","Cycle-NCE\chess.part1.rar","","True","838860800","800","","04/08/2026 16:12:00","","","","","","","","","",""
"archive_file","Cycle-NCE\chess.part2.rar","","True","413389292","394.239","","04/08/2026 16:12:21","","","","","","","","","",""
"archive_file","Cycle-NCE\45.rar","","True","532101953","507.452","","04/06/2026 00:11:44","","","","","","","","","",""
"archive_file","Cycle-NCE\src\45.rar","","True","532101953","507.452","","04/07/2026 12:15:10","","","","","","","","","",""
"archive_file","Cycle-NCE\src_BGmRM.7z","","True","1594022","1.52","","03/09/2026 13:44:14","","","","","","","","","",""
"archive_file","Cycle-NCE\summary_fhJh7.zip","","True","25526","0.024","","03/07/2026 18:43:28","","","","","","","","","",""
"matching_dir","eval_cache","","True","","","","06/05/2026 10:38:54","67","7960.233","","","","","","","artfid;eval_cache;hf;manual_clip;offline_pairing","ref_feats_1558c2de70_m30.pt:0.327MB;ref_feats_1558c2de70_m5.pt:0.056MB;ref_feats_1558c2de70_m80.pt:0.329MB;ref_feats_193acd82ae_m256.pt:0.212MB;ref_feats_2b95c2b0d1_m30.pt:0.326MB;ref_feats_3225b7e8c3_m128.pt:0.321MB;ref_feats_36450f05fa_m256.pt:0.557MB;ref_feats_4f6a303ab0_m128.pt:0.531MB;ref_feats_4f6a303ab0_m80.pt:0.534MB;ref_feats_6b386362fb_m80.pt:0.534MB;ref_feats_861bf09c79_m80.pt:0.326MB;ref_feats_878b1c1129_m80.pt:0.327MB;ref_feats_894635e58a_m80.pt:0.534MB;ref_feats_902617eb35_m128.pt:0.321MB;ref_feats_902617eb35_m80.pt:0.324MB;ref_feats_f301193448_m256.pt:0.527MB;ref_feats_fa2d56e3a1_m256.pt:0.527MB;ref_feats_fa2d56e3a1_m80.pt:0.534MB"
"matching_dir","experiments","","True","","","","04/09/2026 05:26:36","343186","8715.036","","","","","","","1-decoder-no_norm-patch5_23-color1.0;1-decoder-patch5_23-color1.0;1-decoder-patch5-15;42;42_A01_Macro_Only_LR3e4;42_A02_Micro_Only_LR3e4;42_A03_Bipolar_Extreme;42_A04_FullSpec_Conv2_LR4e4;42_A05_FullSpec_Conv3_LR2e4;42_A06_FullSpec_Conv3_LR3e4;42_A07_NoSkip_Conv2_LR3e4;42_A08_Noise01_Conv2_LR3e4;42_A09_Gain4_Conv2_LR2e4;42_A10_Color200_Conv2_LR3e4;45;45_01_golden_funnel;46;46_08_natural_spectrum_reset;46_09_real_holy_grail;46_blend",""
"matching_dir","Cycle-NCE\Gate","","True","","","","04/09/2026 09:35:00","72376","1111.161","","","","","","","Gate_01_baseline;Gate_02_weak_decoder;Gate_03_restore_skip_shortcut;Gate_04_attn_gate_fixed;Gate_05_attn_gate_learned;Gate_06_gate_learned_idt_energy;Gate_07_aux_loss_weak;Gate_08_aux_loss_strong;Gate_09_gate_and_bipolar;Gate_10_gate_and_low_color;Gate_11_gate_bipolar_low_color;Gate_12_gate_energy_bipolar_low_color",""
"matching_dir","Cycle-NCE\1-decoder-patch5-15","","False","","","","","","","","","","","","","",""
"matching_dir","Cycle-NCE\Attn_48","","True","","","","04/08/2026 15:13:00","51326","779.949","","","","","","","Attn_48_01_macro_base;Attn_48_02_macro_idt_10;Attn_48_03_macro_idt_15;Attn_48_04_color_down_20;Attn_48_05_color_down_05;Attn_48_06_swd_up_80;Attn_48_07_attn_direct_qk;Attn_48_08_attn_raw_v;Attn_48_09_attn_no_smooth;Attn_48_10_attn_fully_unleashed;Attn_48_11_patch_bipolar;Attn_48_12_patch_bipolar_unleashed;Attn_48_13_sota_push_macro;Attn_48_14_sota_push_bipolar;Attn_48_15_sota_push_repulse;Attn_48_16_the_hail_mary;Attn_48_17_db_tsw_test",""
