"remote_root","exp_dir","remaining_weight_count","remaining_weight_mb","weight_files"
"I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge","aaai2027_endpoint_metric_h_omf_flow_mse_seed42_b44","3","201.778994","epoch_0001.pt:67.26MB;epoch_0002.pt:67.26MB;epoch_0003.pt:67.26MB"
"I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge","aaai2027_endpoint_metric_h_omf_flow_l1_seed42_b44","3","201.778994","epoch_0001.pt:67.26MB;epoch_0002.pt:67.26MB;epoch_0003.pt:67.26MB"
"I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge","aaai2027_flow_loss_h_base_huber_seed42_b44","3","201.778994","epoch_0001.pt:67.26MB;epoch_0002.pt:67.26MB;epoch_0003.pt:67.26MB"
"I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge","tokenizer_t01_big_tokonly_from_backbone_e16","12","183.817623","epoch_0001.pt:15.318MB;epoch_0002.pt:15.318MB;epoch_0003.pt:15.318MB;epoch_0004.pt:15.318MB;epoch_0005.pt:15.318MB;epoch_0006.pt:15.318MB;epoch_0007.pt:15.318MB;epoch_0008.pt:15.318MB;epoch_0009.pt:15.318MB;epoch_0010.pt:15.318MB;epoch_0011.pt:15.318MB;epoch_0012.pt:15.318MB"
"I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge","tokenizer_t01_factorized_backbone_e16","4","174.284653","epoch_0013.pt:43.571MB;epoch_0014.pt:43.571MB;epoch_0015.pt:43.571MB;epoch_0016.pt:43.571MB"
"I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge","aaai2027_tokenizer_localization_l_e1_executoronly_seed42_b44","3","169.846473","epoch_0001.pt:56.615MB;epoch_0002.pt:56.615MB;epoch_0003.pt:56.615MB"
"I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge","tokenizer_t01_direct_atom_residual_tokonly_from_backbone_e16","10","150.745249","epoch_0001.pt:15.075MB;epoch_0002.pt:15.075MB;epoch_0003.pt:15.075MB;epoch_0004.pt:15.075MB;epoch_0005.pt:15.075MB;epoch_0006.pt:15.075MB;epoch_0007.pt:15.075MB;epoch_0008.pt:15.075MB;epoch_0009.pt:15.075MB;epoch_0010.pt:15.075MB"
"I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge","tokenizer_t01_carrier_base_b160","2","87.407578","epoch_0001.pt:43.704MB;epoch_0002.pt:43.704MB"
"I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge","wikiart_distinct5_ema_lancet_spectralstat_e2_b80","2","87.257797","epoch_0001.pt:43.629MB;epoch_0002.pt:43.629MB"
"I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge","wikiart512_ema_spectral_stat_full_e2_from_tok_b48","2","87.247787","epoch_0001.pt:43.624MB;epoch_0002.pt:43.624MB"
"I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge","aaai2027_tokenizer_localization_l_e1_stylebranch_seed42_b44","3","70.696632","epoch_0001.pt:23.566MB;epoch_0002.pt:23.566MB;epoch_0003.pt:23.566MB"
"I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge","tokenizer_t01_factorized_tokonly_e12","4","60.659016","epoch_0009.pt:15.165MB;epoch_0010.pt:15.165MB;epoch_0011.pt:15.165MB;epoch_0012.pt:15.165MB"
"I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge","wikiart512_ema_lowcell_weighted_from_0790_e1_b48","1","43.629143","epoch_0001.pt:43.629MB"
"I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge","wikiart_distinct5_ema_lancet_spectralstat_from_e8_e16_b56","1","43.628899","epoch_0001.pt:43.629MB"
"I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge","wikiart512_ema_trueint_stylepush_tsw40_kin025_e1_b48","1","43.625114","epoch_0001.pt:43.625MB"
"I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge","tokenizer_t01_direct_atom_residual_warmup_e2_from_backbone_e16","2","30.149172","epoch_0001.pt:15.075MB;epoch_0002.pt:15.075MB"
"I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge","wikiart512_ema_tokenbudget_tokonly_e1_from_spectral_b48","1","15.109797","epoch_0001.pt:15.11MB"
"I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge","split_axis_geometry_derivgate_fieldbound_g005_120b","1","15.104167","epoch_0001.pt:15.104MB"
"I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge","wikiart512_ema_pair_budget_tokonly_e1_b80","1","15.043773","epoch_0001.pt:15.044MB"
