"duplicate_key","file_count","roots","size_mb","unique_hashes","all_hash_match","paths"
"ref_feats_193acd82ae_m256.pt|221997","2","I:\Github\Latent_Style\eval_cache;I:\Github\Latent_Style\Cycle-NCE\eval_cache","0.211713","1","True","I:\Github\Latent_Style\eval_cache\ref_feats_193acd82ae_m256.pt | I:\Github\Latent_Style\Cycle-NCE\eval_cache\ref_feats_193acd82ae_m256.pt"
"ref_feats_36450f05fa_m256.pt|584108","2","I:\Github\Latent_Style\eval_cache;I:\Github\Latent_Style\Cycle-NCE\eval_cache","0.557049","1","True","I:\Github\Latent_Style\eval_cache\ref_feats_36450f05fa_m256.pt | I:\Github\Latent_Style\Cycle-NCE\eval_cache\ref_feats_36450f05fa_m256.pt"
"ref_feats_4f6a303ab0_m80.pt|559570","2","I:\Github\Latent_Style\eval_cache;I:\Github\Latent_Style\Cycle-NCE\eval_cache","0.533648","1","True","I:\Github\Latent_Style\eval_cache\ref_feats_4f6a303ab0_m80.pt | I:\Github\Latent_Style\Cycle-NCE\eval_cache\ref_feats_4f6a303ab0_m80.pt"
"ref_feats_878b1c1129_m80.pt|342490","2","I:\Github\Latent_Style\eval_cache;I:\Github\Latent_Style\SchrodingerBridge\eval_cache","0.326624","1","True","I:\Github\Latent_Style\eval_cache\ref_feats_878b1c1129_m80.pt | I:\Github\Latent_Style\SchrodingerBridge\eval_cache\ref_feats_878b1c1129_m80.pt"
"ref_feats_f301193448_m256.pt|552940","2","I:\Github\Latent_Style\eval_cache;I:\Github\Latent_Style\Cycle-NCE\eval_cache","0.527325","1","True","I:\Github\Latent_Style\eval_cache\ref_feats_f301193448_m256.pt | I:\Github\Latent_Style\Cycle-NCE\eval_cache\ref_feats_f301193448_m256.pt"
"ref_feats_fa2d56e3a1_m256.pt|552940","2","I:\Github\Latent_Style\eval_cache;I:\Github\Latent_Style\Cycle-NCE\eval_cache","0.527325","1","True","I:\Github\Latent_Style\eval_cache\ref_feats_fa2d56e3a1_m256.pt | I:\Github\Latent_Style\Cycle-NCE\eval_cache\ref_feats_fa2d56e3a1_m256.pt"
"ref_feats_fa2d56e3a1_m80.pt|559570","2","I:\Github\Latent_Style\eval_cache;I:\Github\Latent_Style\Cycle-NCE\eval_cache","0.533648","1","True","I:\Github\Latent_Style\eval_cache\ref_feats_fa2d56e3a1_m80.pt | I:\Github\Latent_Style\Cycle-NCE\eval_cache\ref_feats_fa2d56e3a1_m80.pt"
"CACHEDIR.TAG|195","2","I:\Github\Latent_Style\eval_cache;I:\Github\Latent_Style\Cycle-NCE\eval_cache","0.000186","1","True","I:\Github\Latent_Style\eval_cache\hf\CACHEDIR.TAG | I:\Github\Latent_Style\Cycle-NCE\eval_cache\hf\CACHEDIR.TAG"
"adapter_config.json|0","2","I:\Github\Latent_Style\eval_cache;I:\Github\Latent_Style\Cycle-NCE\eval_cache","0","1","True","I:\Github\Latent_Style\eval_cache\hf\models--openai--clip-vit-base-patch32\.no_exist\3d74acf9a28c67741b2f4f2ea7635f0aaf6f0268\adapter_config.json | I:\Github\Latent_Style\Cycle-NCE\eval_cache\hf\models--openai--clip-vit-base-patch32\.no_exist\3d74acf9a28c67741b2f4f2ea7635f0aaf6f0268\adapter_config.json"
"model.safetensors|0","2","I:\Github\Latent_Style\eval_cache;I:\Github\Latent_Style\Cycle-NCE\eval_cache","0","1","True","I:\Github\Latent_Style\eval_cache\hf\models--openai--clip-vit-base-patch32\.no_exist\3d74acf9a28c67741b2f4f2ea7635f0aaf6f0268\model.safetensors | I:\Github\Latent_Style\Cycle-NCE\eval_cache\hf\models--openai--clip-vit-base-patch32\.no_exist\3d74acf9a28c67741b2f4f2ea7635f0aaf6f0268\model.safetensors"
"model.safetensors.index.json|0","2","I:\Github\Latent_Style\eval_cache;I:\Github\Latent_Style\Cycle-NCE\eval_cache","0","1","True","I:\Github\Latent_Style\eval_cache\hf\models--openai--clip-vit-base-patch32\.no_exist\3d74acf9a28c67741b2f4f2ea7635f0aaf6f0268\model.safetensors.index.json | I:\Github\Latent_Style\Cycle-NCE\eval_cache\hf\models--openai--clip-vit-base-patch32\.no_exist\3d74acf9a28c67741b2f4f2ea7635f0aaf6f0268\model.safetensors.index.json"
"main|40","4","I:\Github\Latent_Style\eval_cache;I:\Github\Latent_Style\Cycle-NCE\eval_cache","3.8E-05","2","False","I:\Github\Latent_Style\eval_cache\hf\models--openai--clip-vit-base-patch32\refs\main | I:\Github\Latent_Style\eval_cache\hf\models--stabilityai--sd-vae-ft-mse\refs\main | I:\Github\Latent_Style\Cycle-NCE\eval_cache\hf\models--openai--clip-vit-base-patch32\refs\main | I:\Github\Latent_Style\Cycle-NCE\eval_cache\hf\models--stabilityai--sd-vae-ft-mse\refs\main"
"config.json|4186","4","I:\Github\Latent_Style\eval_cache;I:\Github\Latent_Style\Cycle-NCE\eval_cache","0.003992","1","True","I:\Github\Latent_Style\eval_cache\hf\models--openai--clip-vit-base-patch32\snapshots\3d74acf9a28c67741b2f4f2ea7635f0aaf6f0268\config.json | I:\Github\Latent_Style\eval_cache\manual_clip\openai-clip-vit-base-patch32\config.json | I:\Github\Latent_Style\Cycle-NCE\eval_cache\hf\models--openai--clip-vit-base-patch32\snapshots\3d74acf9a28c67741b2f4f2ea7635f0aaf6f0268\config.json | I:\Github\Latent_Style\Cycle-NCE\eval_cache\manual_clip\openai-clip-vit-base-patch32\config.json"
"diffusion_pytorch_model.safetensors.index.json|0","2","I:\Github\Latent_Style\eval_cache;I:\Github\Latent_Style\Cycle-NCE\eval_cache","0","1","True","I:\Github\Latent_Style\eval_cache\hf\models--stabilityai--sd-vae-ft-mse\.no_exist\31f26fdeee1355a5c34592e401dd41e45d25a493\diffusion_pytorch_model.safetensors.index.json | I:\Github\Latent_Style\Cycle-NCE\eval_cache\hf\models--stabilityai--sd-vae-ft-mse\.no_exist\31f26fdeee1355a5c34592e401dd41e45d25a493\diffusion_pytorch_model.safetensors.index.json"
"config.json|547","3","I:\Github\Latent_Style\eval_cache;I:\Github\Latent_Style\Cycle-NCE\eval_cache","0.000522","1","True","I:\Github\Latent_Style\eval_cache\hf\models--stabilityai--sd-vae-ft-mse\snapshots\31f26fdeee1355a5c34592e401dd41e45d25a493\config.json | I:\Github\Latent_Style\eval_cache\hf\modelscope\stabilityai_sd-vae-ft-ema\stabilityai\sd-vae-ft-ema\config.json | I:\Github\Latent_Style\Cycle-NCE\eval_cache\hf\models--stabilityai--sd-vae-ft-mse\snapshots\31f26fdeee1355a5c34592e401dd41e45d25a493\config.json"
"diffusion_pytorch_model.safetensors|334643276","3","I:\Github\Latent_Style\eval_cache;I:\Github\Latent_Style\Cycle-NCE\eval_cache","319.140697","2","False","I:\Github\Latent_Style\eval_cache\hf\models--stabilityai--sd-vae-ft-mse\snapshots\31f26fdeee1355a5c34592e401dd41e45d25a493\diffusion_pytorch_model.safetensors | I:\Github\Latent_Style\eval_cache\hf\modelscope\stabilityai_sd-vae-ft-ema\stabilityai\sd-vae-ft-ema\diffusion_pytorch_model.safetensors | I:\Github\Latent_Style\Cycle-NCE\eval_cache\hf\models--stabilityai--sd-vae-ft-mse\snapshots\31f26fdeee1355a5c34592e401dd41e45d25a493\diffusion_pytorch_model.safetensors"
"xet_20260507T163427665+0800_108712.log|0","2","I:\Github\Latent_Style\eval_cache;I:\Github\Latent_Style\Cycle-NCE\eval_cache","0","1","True","I:\Github\Latent_Style\eval_cache\hf\xet\logs\xet_20260507T163427665+0800_108712.log | I:\Github\Latent_Style\Cycle-NCE\eval_cache\hf\xet\logs\xet_20260507T163427665+0800_108712.log"
"xet_20260507T165049581+0800_112184.log|0","2","I:\Github\Latent_Style\eval_cache;I:\Github\Latent_Style\Cycle-NCE\eval_cache","0","1","True","I:\Github\Latent_Style\eval_cache\hf\xet\logs\xet_20260507T165049581+0800_112184.log | I:\Github\Latent_Style\Cycle-NCE\eval_cache\hf\xet\logs\xet_20260507T165049581+0800_112184.log"
