"FullName","MB","LastWriteTime"
"I:\Github\Latent_Style\SchrodingerBridge\exp\aaai2027_path_kinetic_h_base_seed42_b44\epoch_0001.pt","67.26","2026/6/3 15:18:18"
"I:\Github\Latent_Style\SchrodingerBridge\exp\aaai2027_path_kinetic_h_base_seed42_b44_k000\epoch_0001.pt","67.259","2026/6/3 15:53:47"
"I:\Github\Latent_Style\SchrodingerBridge\exp\aaai2027_path_kinetic_h_base_seed42_b44_k025\epoch_0001.pt","67.259","2026/6/3 15:42:17"
"I:\Github\Latent_Style\SchrodingerBridge\exp\distinct5_512_ema_baseline_direct_atom_residual_b44_remote\epoch_0001.pt","43.591","2026/6/2 4:38:00"
"I:\Github\Latent_Style\SchrodingerBridge\exp\distinct5_512_ema_baseline_direct_atom_residual_b44_remote\epoch_0008.pt","43.591","2026/6/2 4:45:18"
"I:\Github\Latent_Style\SchrodingerBridge\exp\distinct5_512_ema_variant_b_global_vq_b44_remote\epoch_0008.pt","66.393","2026/6/2 5:57:22"
"I:\Github\Latent_Style\SchrodingerBridge\exp\distinct5_512_ema_variant_c_content_guided_spatial_b44_remote\epoch_0002.pt","50.395","2026/6/2 6:24:32"
"I:\Github\Latent_Style\SchrodingerBridge\exp\distinct5_512_ema_variant_d_vq_content_guided_b44_remote\epoch_0001.pt","67.259","2026/6/2 7:00:57"
"I:\Github\Latent_Style\SchrodingerBridge\exp\distinct5_512_ema_variant_e_latent_prototype_ot_queue_b44_remote\epoch_0001.pt","67.259","2026/6/2 7:31:33"
"I:\Github\Latent_Style\SchrodingerBridge\exp\distinct5_512_ema_variant_e_latent_prototype_ot_queue_b44_remote\epoch_0003.pt","67.259","2026/6/2 7:33:40"
"I:\Github\Latent_Style\SchrodingerBridge\exp\distinct5_512_ema_variant_k_content_adaptive_vq_queue_e3_b44_remote\epoch_0001.pt","67.702","2026/6/2 10:49:45"
"I:\Github\Latent_Style\SchrodingerBridge\exp\distinct5_512_ema_variant_l_content_adaptive_annealed_queue_e3_b44_remote\epoch_0001.pt","67.702","2026/6/2 11:10:20"
"I:\Github\Latent_Style\SchrodingerBridge\exp\distinct5_512_ema_variant_m_style_gated_content_router_e3_b44_remote\epoch_0001.pt","67.704","2026/6/2 11:31:48"
"I:\Github\Latent_Style\SchrodingerBridge\exp\sadd_exact_e3_saddsrc_8ep_20260528_231954\epoch_0007.pt","43.205","2026/5/28 23:25:50"
"I:\Github\Latent_Style\SchrodingerBridge\exp\sadd_exact_e3_saddsrc_8ep_20260528_231954\epoch_0008.pt","43.205","2026/5/28 23:26:32"
"I:\Github\Latent_Style\SchrodingerBridge\exp\sadd_repro_38f_8ep_20260528_225252\epoch_0007.pt","43.207","2026/5/28 22:59:57"
"I:\Github\Latent_Style\SchrodingerBridge\exp\sadd_repro_38f_8ep_20260528_225252\epoch_0008.pt","43.207","2026/5/28 23:00:38"
