"timestamp","scope","check","path","expected","actual","status","detail"
"2026-06-05Tcurrent","remote_tokenizerclean_training_log_only_weight_cleanup","deleted_checkpoint_absent","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\tokenizer_t01_carrier_base_b160\epoch_0001.pt","False","False","pass",""
"2026-06-05Tcurrent","remote_tokenizerclean_training_log_only_weight_cleanup","deleted_checkpoint_absent","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\tokenizer_t01_carrier_base_b160\epoch_0002.pt","False","False","pass",""
"2026-06-05Tcurrent","remote_tokenizerclean_training_log_only_weight_cleanup","deleted_checkpoint_absent","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\wikiart_distinct5_ema_lancet_spectralstat_from_e8_e16_b56\epoch_0001.pt","False","False","pass",""
"2026-06-05Tcurrent","remote_tokenizerclean_training_log_only_weight_cleanup","deleted_checkpoint_absent","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\wikiart512_ema_pair_budget_tokonly_e1_b80\epoch_0001.pt","False","False","pass",""
"2026-06-05Tcurrent","remote_tokenizerclean_training_log_only_weight_cleanup","deleted_checkpoint_absent","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\wikiart512_ema_spectral_stat_full_e2_from_tok_b48\epoch_0001.pt","False","False","pass",""
"2026-06-05Tcurrent","remote_tokenizerclean_training_log_only_weight_cleanup","deleted_checkpoint_absent","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\wikiart512_ema_spectral_stat_full_e2_from_tok_b48\epoch_0002.pt","False","False","pass",""
"2026-06-05Tcurrent","remote_tokenizerclean_training_log_only_weight_cleanup","deleted_checkpoint_absent","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\wikiart512_ema_tokenbudget_tokonly_e1_from_spectral_b48\epoch_0001.pt","False","False","pass",""
"2026-06-05Tcurrent","remote_tokenizerclean_training_log_only_weight_cleanup","parent_config_present","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\tokenizer_t01_carrier_base_b160\config.json","True","True","pass",""
"2026-06-05Tcurrent","remote_tokenizerclean_training_log_only_weight_cleanup","parent_training_csv_present","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\tokenizer_t01_carrier_base_b160\logs",">=1","1","pass","training_*.csv count"
"2026-06-05Tcurrent","remote_tokenizerclean_training_log_only_weight_cleanup","parent_config_present","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\wikiart_distinct5_ema_lancet_spectralstat_from_e8_e16_b56\config.json","True","True","pass",""
"2026-06-05Tcurrent","remote_tokenizerclean_training_log_only_weight_cleanup","parent_training_csv_present","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\wikiart_distinct5_ema_lancet_spectralstat_from_e8_e16_b56\logs",">=1","1","pass","training_*.csv count"
"2026-06-05Tcurrent","remote_tokenizerclean_training_log_only_weight_cleanup","parent_config_present","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\wikiart512_ema_pair_budget_tokonly_e1_b80\config.json","True","True","pass",""
"2026-06-05Tcurrent","remote_tokenizerclean_training_log_only_weight_cleanup","parent_training_csv_present","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\wikiart512_ema_pair_budget_tokonly_e1_b80\logs",">=1","1","pass","training_*.csv count"
"2026-06-05Tcurrent","remote_tokenizerclean_training_log_only_weight_cleanup","parent_config_present","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\wikiart512_ema_spectral_stat_full_e2_from_tok_b48\config.json","True","True","pass",""
"2026-06-05Tcurrent","remote_tokenizerclean_training_log_only_weight_cleanup","parent_training_csv_present","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\wikiart512_ema_spectral_stat_full_e2_from_tok_b48\logs",">=1","1","pass","training_*.csv count"
"2026-06-05Tcurrent","remote_tokenizerclean_training_log_only_weight_cleanup","parent_config_present","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\wikiart512_ema_tokenbudget_tokonly_e1_from_spectral_b48\config.json","True","True","pass",""
"2026-06-05Tcurrent","remote_tokenizerclean_training_log_only_weight_cleanup","parent_training_csv_present","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\wikiart512_ema_tokenbudget_tokonly_e1_from_spectral_b48\logs",">=1","1","pass","training_*.csv count"
"2026-06-05Tcurrent","remote_tokenizerclean_training_log_only_weight_cleanup","external_evidence_checkpoint_retained","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\wikiart_distinct5_ema_lancet_spectralstat_e2_b80\epoch_0001.pt","True","True","pass","downstream resume evidence checkpoint retained"
"2026-06-05Tcurrent","remote_tokenizerclean_training_log_only_weight_cleanup","external_evidence_checkpoint_retained","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\wikiart_distinct5_ema_lancet_spectralstat_e2_b80\epoch_0002.pt","True","True","pass","downstream resume evidence checkpoint retained"
"2026-06-05Tcurrent","remote_tokenizerclean_training_log_only_weight_cleanup","external_evidence_checkpoint_retained","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\wikiart512_ema_trueint_stylepush_tsw40_kin025_e1_b48\epoch_0001.pt","True","True","pass","diagnostic summary referenced checkpoint retained"
