"remote_root","exp_dir","total_files","total_mb","media_count","media_mb","generated_media_count","generated_media_mb","grid_media_count","grid_media_mb","summary_count","csv_count","weight_count","largest_media_examples"
"I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge","aaai2027_endpoint_metric_h_omf_flow_huber_seed42_b44","2281","418.435","2253","215.547","0","0.000","3","7.063","3","5","3","exp\aaai2027_endpoint_metric_h_omf_flow_huber_seed42_b44\full_eval\epoch_0001\summary_grid.png:2.367MB;exp\aaai2027_endpoint_metric_h_omf_flow_huber_seed42_b44\full_eval\epoch_0003\summary_grid.png:2.353MB;exp\aaai2027_endpoint_metric_h_omf_flow_huber_seed42_b44\full_eval\epoch_0002\summary_grid.png:2.343MB;exp\aaai2027_endpoint_metric_h_omf_flow_huber_seed42_b44\full_eval\epoch_0003\images\Ukiyo_e_Ukiyo_e__utagawa-kuniyoshi_tamatori-being-pursued-bya-dragon_to_Rococo.png:0.137MB;exp\aaai2027_endpoint_metric_h_omf_flow_huber_seed42_b44\full_eval\epoch_0003\images\Ukiyo_e_Ukiyo_e__utagawa-kuniyoshi_tamatori-being-pursued-bya-dragon_to_Impressionism.png:0.136MB;exp\aaai2027_endpoint_metric_h_omf_flow_huber_seed42_b44\full_eval\epoch_0003\images\Ukiyo_e_Ukiyo_e__utagawa-kuniyoshi_tamatori-being-pursued-bya-dragon_to_Early_Renaissance.png:0.136MB;exp\aaai2027_endpoint_metric_h_omf_flow_huber_seed42_b44\full_eval\epoch_0001\images\Ukiyo_e_Ukiyo_e__utagawa-kuniyoshi_tamatori-being-pursued-bya-dragon_to_Rococo.png:0.134MB;exp\aaai2027_endpoint_metric_h_omf_flow_huber_seed42_b44\full_eval\epoch_0001\images\Ukiyo_e_Ukiyo_e__utagawa-kuniyoshi_tamatori-being-pursued-bya-dragon_to_Early_Renaissance.png:0.134MB"
"I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge","aaai2027_endpoint_metric_h_omf_flow_l1_seed42_b44","2281","418.719","2253","215.830","0","0.000","3","7.027","3","5","3","exp\aaai2027_endpoint_metric_h_omf_flow_l1_seed42_b44\full_eval\epoch_0003\summary_grid.png:2.353MB;exp\aaai2027_endpoint_metric_h_omf_flow_l1_seed42_b44\full_eval\epoch_0002\summary_grid.png:2.342MB;exp\aaai2027_endpoint_metric_h_omf_flow_l1_seed42_b44\full_eval\epoch_0001\summary_grid.png:2.333MB;exp\aaai2027_endpoint_metric_h_omf_flow_l1_seed42_b44\full_eval\epoch_0003\images\Ukiyo_e_Ukiyo_e__utagawa-kuniyoshi_tamatori-being-pursued-bya-dragon_to_Rococo.png:0.137MB;exp\aaai2027_endpoint_metric_h_omf_flow_l1_seed42_b44\full_eval\epoch_0003\images\Ukiyo_e_Ukiyo_e__utagawa-kuniyoshi_tamatori-being-pursued-bya-dragon_to_Impressionism.png:0.136MB;exp\aaai2027_endpoint_metric_h_omf_flow_l1_seed42_b44\full_eval\epoch_0003\images\Ukiyo_e_Ukiyo_e__utagawa-kuniyoshi_tamatori-being-pursued-bya-dragon_to_Early_Renaissance.png:0.136MB;exp\aaai2027_endpoint_metric_h_omf_flow_l1_seed42_b44\full_eval\epoch_0001\images\Ukiyo_e_Ukiyo_e__utagawa-kuniyoshi_tamatori-being-pursued-bya-dragon_to_Rococo.png:0.135MB;exp\aaai2027_endpoint_metric_h_omf_flow_l1_seed42_b44\full_eval\epoch_0001\images\Ukiyo_e_Ukiyo_e__utagawa-kuniyoshi_tamatori-being-pursued-bya-dragon_to_Impressionism.png:0.134MB"
"I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge","aaai2027_endpoint_metric_h_omf_flow_mse_seed42_b44","2281","415.696","2253","212.809","0","0.000","3","7.507","3","5","3","exp\aaai2027_endpoint_metric_h_omf_flow_mse_seed42_b44\full_eval\epoch_0001\summary_grid.png:2.565MB;exp\aaai2027_endpoint_metric_h_omf_flow_mse_seed42_b44\full_eval\epoch_0003\summary_grid.png:2.524MB;exp\aaai2027_endpoint_metric_h_omf_flow_mse_seed42_b44\full_eval\epoch_0002\summary_grid.png:2.417MB;exp\aaai2027_endpoint_metric_h_omf_flow_mse_seed42_b44\full_eval\epoch_0001\images\Impressionism_Impressionism__childe-hassam_evening-champs-elysees-aka-pres-du-louvre_to_Impressionism.png:0.126MB;exp\aaai2027_endpoint_metric_h_omf_flow_mse_seed42_b44\full_eval\epoch_0001\images\Impressionism_Impressionism__childe-hassam_evening-champs-elysees-aka-pres-du-louvre_to_Early_Renaissance.png:0.126MB;exp\aaai2027_endpoint_metric_h_omf_flow_mse_seed42_b44\full_eval\epoch_0003\images\Impressionism_Impressionism__childe-hassam_evening-champs-elysees-aka-pres-du-louvre_to_Impressionism.png:0.125MB;exp\aaai2027_endpoint_metric_h_omf_flow_mse_seed42_b44\full_eval\epoch_0003\images\Rococo_Rococo__francois-boucher_portrait-of-madame-boucher-1745_to_Impressionism.png:0.124MB;exp\aaai2027_endpoint_metric_h_omf_flow_mse_seed42_b44\full_eval\epoch_0003\images\Impressionism_Impressionism__childe-hassam_evening-champs-elysees-aka-pres-du-louvre_to_Early_Renaissance.png:0.124MB"
"I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge","aaai2027_flow_loss_h_base_huber_seed42_b44","2281","428.515","2253","225.630","0","0.000","3","7.326","3","5","3","exp\aaai2027_flow_loss_h_base_huber_seed42_b44\full_eval\epoch_0003\summary_grid.png:2.457MB;exp\aaai2027_flow_loss_h_base_huber_seed42_b44\full_eval\epoch_0002\summary_grid.png:2.439MB;exp\aaai2027_flow_loss_h_base_huber_seed42_b44\full_eval\epoch_0001\summary_grid.png:2.429MB;exp\aaai2027_flow_loss_h_base_huber_seed42_b44\full_eval\epoch_0002\images\Minimalism_Minimalism__frank-stella_gezira-from-black-series-ii-1967_to_Early_Renaissance.png:0.143MB;exp\aaai2027_flow_loss_h_base_huber_seed42_b44\full_eval\epoch_0001\images\Early_Renaissance_Early_Renaissance__antonello-da-messina_painter-self-portrait_to_Early_Renaissance.png:0.139MB;exp\aaai2027_flow_loss_h_base_huber_seed42_b44\full_eval\epoch_0001\images\Early_Renaissance_Early_Renaissance__antonello-da-messina_painter-self-portrait_to_Rococo.png:0.139MB;exp\aaai2027_flow_loss_h_base_huber_seed42_b44\full_eval\epoch_0002\images\Early_Renaissance_Early_Renaissance__antonello-da-messina_painter-self-portrait_to_Rococo.png:0.138MB;exp\aaai2027_flow_loss_h_base_huber_seed42_b44\full_eval\epoch_0002\images\Minimalism_Minimalism__frank-stella_gezira-from-black-series-ii-1967_to_Ukiyo_e.png:0.136MB"
"I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge","aaai2027_flow_loss_h_base_l1_seed42_b44","2281","430.316","2253","227.428","0","0.000","3","7.368","3","5","3","exp\aaai2027_flow_loss_h_base_l1_seed42_b44\full_eval\epoch_0002\summary_grid.png:2.514MB;exp\aaai2027_flow_loss_h_base_l1_seed42_b44\full_eval\epoch_0001\summary_grid.png:2.438MB;exp\aaai2027_flow_loss_h_base_l1_seed42_b44\full_eval\epoch_0003\summary_grid.png:2.416MB;exp\aaai2027_flow_loss_h_base_l1_seed42_b44\full_eval\epoch_0002\images\Minimalism_Minimalism__frank-stella_gezira-from-black-series-ii-1967_to_Early_Renaissance.png:0.147MB;exp\aaai2027_flow_loss_h_base_l1_seed42_b44\full_eval\epoch_0002\images\Early_Renaissance_Early_Renaissance__antonello-da-messina_painter-self-portrait_to_Rococo.png:0.141MB;exp\aaai2027_flow_loss_h_base_l1_seed42_b44\full_eval\epoch_0002\images\Early_Renaissance_Early_Renaissance__leonardo-da-vinci_study-of-the-effect-of-light-on-a-profile-head-facsimile_to_Rococo.png:0.140MB;exp\aaai2027_flow_loss_h_base_l1_seed42_b44\full_eval\epoch_0002\images\Early_Renaissance_Early_Renaissance__antonello-da-messina_painter-self-portrait_to_Early_Renaissance.png:0.140MB;exp\aaai2027_flow_loss_h_base_l1_seed42_b44\full_eval\epoch_0002\images\Minimalism_Minimalism__frank-stella_gezira-from-black-series-ii-1967_to_Ukiyo_e.png:0.139MB"
"I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge","aaai2027_flow_loss_h_base_mse_seed42_b44","2281","430.287","2253","227.345","0","0.000","3","7.403","3","4","3","exp\aaai2027_flow_loss_h_base_mse_seed42_b44\full_eval\epoch_0002\summary_grid.png:2.509MB;exp\aaai2027_flow_loss_h_base_mse_seed42_b44\full_eval\epoch_0003\summary_grid.png:2.480MB;exp\aaai2027_flow_loss_h_base_mse_seed42_b44\full_eval\epoch_0001\summary_grid.png:2.414MB;exp\aaai2027_flow_loss_h_base_mse_seed42_b44\full_eval\epoch_0002\images\Minimalism_Minimalism__frank-stella_gezira-from-black-series-ii-1967_to_Early_Renaissance.png:0.146MB;exp\aaai2027_flow_loss_h_base_mse_seed42_b44\full_eval\epoch_0002\images\Early_Renaissance_Early_Renaissance__antonello-da-messina_painter-self-portrait_to_Rococo.png:0.141MB;exp\aaai2027_flow_loss_h_base_mse_seed42_b44\full_eval\epoch_0002\images\Early_Renaissance_Early_Renaissance__antonello-da-messina_painter-self-portrait_to_Early_Renaissance.png:0.140MB;exp\aaai2027_flow_loss_h_base_mse_seed42_b44\full_eval\epoch_0001\images\Early_Renaissance_Early_Renaissance__antonello-da-messina_painter-self-portrait_to_Early_Renaissance.png:0.138MB;exp\aaai2027_flow_loss_h_base_mse_seed42_b44\full_eval\epoch_0002\images\Minimalism_Minimalism__frank-stella_gezira-from-black-series-ii-1967_to_Ukiyo_e.png:0.138MB"
"I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge","aaai2027_tokenizer_execution_alignment_l_e1","15","0.110","0","0.000","0","0.000","0","0.000","1","10","0",""
"I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge","aaai2027_tokenizer_localization_l_e1_executoronly_seed42_b44","2285","401.805","2253","230.773","0","0.000","3","7.838","3","4","3","exp\aaai2027_tokenizer_localization_l_e1_executoronly_seed42_b44\full_eval\epoch_0001\summary_grid.png:2.728MB;exp\aaai2027_tokenizer_localization_l_e1_executoronly_seed42_b44\full_eval\epoch_0003\summary_grid.png:2.580MB;exp\aaai2027_tokenizer_localization_l_e1_executoronly_seed42_b44\full_eval\epoch_0002\summary_grid.png:2.530MB;exp\aaai2027_tokenizer_localization_l_e1_executoronly_seed42_b44\full_eval\epoch_0001\images\Early_Renaissance_Early_Renaissance__antonello-da-messina_painter-self-portrait_to_Rococo.png:0.146MB;exp\aaai2027_tokenizer_localization_l_e1_executoronly_seed42_b44\full_eval\epoch_0001\images\Early_Renaissance_Early_Renaissance__antonello-da-messina_painter-self-portrait_to_Early_Renaissance.png:0.146MB;exp\aaai2027_tokenizer_localization_l_e1_executoronly_seed42_b44\full_eval\epoch_0001\images\Ukiyo_e_Ukiyo_e__utagawa-kuniyoshi_tamatori-being-pursued-bya-dragon_to_Rococo.png:0.145MB;exp\aaai2027_tokenizer_localization_l_e1_executoronly_seed42_b44\full_eval\epoch_0001\images\Ukiyo_e_Ukiyo_e__utagawa-kuniyoshi_tamatori-being-pursued-bya-dragon_to_Early_Renaissance.png:0.144MB;exp\aaai2027_tokenizer_localization_l_e1_executoronly_seed42_b44\full_eval\epoch_0003\images\Ukiyo_e_Ukiyo_e__utagawa-kuniyoshi_tamatori-being-pursued-bya-dragon_to_Rococo.png:0.144MB"
"I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge","aaai2027_tokenizer_localization_l_e1_stylebranch_seed42_b44","2284","313.518","2253","241.638","0","0.000","3","7.760","3","4","3","exp\aaai2027_tokenizer_localization_l_e1_stylebranch_seed42_b44\full_eval\epoch_0002\summary_grid.png:2.588MB;exp\aaai2027_tokenizer_localization_l_e1_stylebranch_seed42_b44\full_eval\epoch_0003\summary_grid.png:2.587MB;exp\aaai2027_tokenizer_localization_l_e1_stylebranch_seed42_b44\full_eval\epoch_0001\summary_grid.png:2.584MB;exp\aaai2027_tokenizer_localization_l_e1_stylebranch_seed42_b44\full_eval\epoch_0001\images\Early_Renaissance_Early_Renaissance__antonello-da-messina_painter-self-portrait_to_Rococo.png:0.133MB;exp\aaai2027_tokenizer_localization_l_e1_stylebranch_seed42_b44\full_eval\epoch_0002\images\Early_Renaissance_Early_Renaissance__antonello-da-messina_painter-self-portrait_to_Rococo.png:0.133MB;exp\aaai2027_tokenizer_localization_l_e1_stylebranch_seed42_b44\full_eval\epoch_0003\images\Early_Renaissance_Early_Renaissance__antonello-da-messina_painter-self-portrait_to_Rococo.png:0.133MB;exp\aaai2027_tokenizer_localization_l_e1_stylebranch_seed42_b44\full_eval\epoch_0003\images\Early_Renaissance_Early_Renaissance__antonello-da-messina_painter-self-portrait_to_Early_Renaissance.png:0.132MB;exp\aaai2027_tokenizer_localization_l_e1_stylebranch_seed42_b44\full_eval\epoch_0001\images\Early_Renaissance_Early_Renaissance__antonello-da-messina_painter-self-portrait_to_Early_Renaissance.png:0.132MB"
"I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge","ablation_destructive_7epoch","163","4.538","0","0.000","0","0.000","0","0.000","12","64","0",""
