"root","exists","file_count","dir_count","total_mb","top_items","largest_files"
"I:\Github\Latent_Style\eval_cache","True","67","43","7960.2327","artfid;eval_cache;hf;manual_clip;offline_pairing;ref_feats_1558c2de70_m30.pt;ref_feats_1558c2de70_m5.pt;ref_feats_1558c2de70_m80.pt;ref_feats_193acd82ae_m256.pt;ref_feats_2b95c2b0d1_m30.pt;ref_feats_3225b7e8c3_m128.pt;ref_feats_36450f05fa_m256.pt;ref_feats_4f6a303ab0_m128.pt;ref_feats_4f6a303ab0_m80.pt;ref_feats_6b386362fb_m80.pt;ref_feats_861bf09c79_m80.pt;ref_feats_878b1c1129_m80.pt;ref_feats_894635e58a_m80.pt;ref_feats_902617eb35_m128.pt;ref_feats_902617eb35_m80.pt;ref_feats_f301193448_m256.pt;ref_feats_fa2d56e3a1_m256.pt;ref_feats_fa2d56e3a1_m80.pt","I:\Github\Latent_Style\eval_cache\offline_pairing\dinov2_small_train_cache.pt:3629.293MB | I:\Github\Latent_Style\eval_cache\hf\compvis_kl_f4\model.ckpt:721.022MB | I:\Github\Latent_Style\eval_cache\hf\compvis_kl_f4\kl-f4.zip:663.202MB | I:\Github\Latent_Style\eval_cache\manual_clip\openai-clip-vit-base-patch32\pytorch_model.bin:577.209MB | I:\Github\Latent_Style\eval_cache\manual_clip\openai-clip-vit-base-patch32\ViT-B-32.pt:337.578MB | I:\Github\Latent_Style\eval_cache\hf\modelscope\stabilityai_sdxl-vae\stabilityai\sdxl-vae\diffusion_pytorch_model.bin:319.206MB | I:\Github\Latent_Style\eval_cache\hf\modelscope\stabilityai_sd-vae-ft-ema\stabilityai\sd-vae-ft-ema\diffusion_pytorch_model.bin:319.202MB | I:\Github\Latent_Style\eval_cache\hf\models--stabilityai--sd-vae-ft-mse\snapshots\31f26fdeee1355a5c34592e401dd41e45d25a493\diffusion_pytorch_model.safetensors:319.141MB"
"I:\Github\Latent_Style\SchrodingerBridge\eval_cache","True","2","2","0.652278","artfid;hf;ref_feats_1558c2de70_m80.pt;ref_feats_878b1c1129_m80.pt","I:\Github\Latent_Style\SchrodingerBridge\eval_cache\ref_feats_878b1c1129_m80.pt:0.327MB | I:\Github\Latent_Style\SchrodingerBridge\eval_cache\ref_feats_1558c2de70_m80.pt:0.326MB"
"I:\Github\Latent_Style\Cycle-NCE\eval_cache","True","29","18","903.761033","hf;manual_clip;ref_feats_193acd82ae_m256.pt;ref_feats_36450f05fa_m256.pt;ref_feats_4f6a303ab0_m64.pt;ref_feats_4f6a303ab0_m80.pt;ref_feats_ca229ee244_m80.pt;ref_feats_f301193448_m256.pt;ref_feats_fa2d56e3a1_m256.pt;ref_feats_fa2d56e3a1_m80.pt","I:\Github\Latent_Style\Cycle-NCE\eval_cache\manual_clip\openai-clip-vit-base-patch32\pytorch_model.bin:577.209MB | I:\Github\Latent_Style\Cycle-NCE\eval_cache\hf\models--stabilityai--sd-vae-ft-mse\snapshots\31f26fdeee1355a5c34592e401dd41e45d25a493\diffusion_pytorch_model.safetensors:319.141MB | I:\Github\Latent_Style\Cycle-NCE\eval_cache\manual_clip\openai-clip-vit-base-patch32\tokenizer.json:2.121MB | I:\Github\Latent_Style\Cycle-NCE\eval_cache\manual_clip\openai-clip-vit-base-patch32\vocab.json:0.822MB | I:\Github\Latent_Style\Cycle-NCE\eval_cache\ref_feats_36450f05fa_m256.pt:0.557MB | I:\Github\Latent_Style\Cycle-NCE\eval_cache\ref_feats_fa2d56e3a1_m80.pt:0.534MB | I:\Github\Latent_Style\Cycle-NCE\eval_cache\ref_feats_ca229ee244_m80.pt:0.534MB | I:\Github\Latent_Style\Cycle-NCE\eval_cache\ref_feats_4f6a303ab0_m64.pt:0.534MB"
"I:\Github\Latent_Style_TokenizerClean\eval_cache","True","0","1","0","hf",""
"I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\eval_cache","True","1","1","0.323997","hf;ref_feats_902617eb35_m30.pt","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\eval_cache\ref_feats_902617eb35_m30.pt:0.324MB"
"I:\Github\Latent_Style_TokenizerClean\Cycle-NCE\eval_cache","False","","","","",""
