label,source,step,transfer_clip_style,transfer_lpips,all_pairs_clip_style,all_pairs_lpips,identity_clip_style,identity_lpips,delta_idt_transfer
IDT,distinct5_fixed_test,,0.6399224616587162,0.0,0.6801251527865728,0.0,0.8409359172979991,0.0,0.0
SaMAM-2250,samam_distinct5_old_train,,0.5522515382866064,0.3604523678372304,0.5810966821114222,0.35382040921847024,0.6964772574106852,0.3272925747434298,-0.0876709233721098
WikiArts5 best-CLIP,samam_wikiarts5_segmented,5750,0.617343221505483,0.35035002425312994,0.6331388122240702,0.34136862100164095,0.6963211750984192,0.30544300799568497,-0.022579240153233204
WikiArts5 best-LPIPS,samam_wikiarts5_segmented,19500,0.5998508524894715,0.22085246174285808,0.6225993730227153,0.2124233960757653,0.7135934551556905,0.17870713340739408,-0.04007160916924479
WikiArts5 latest,samam_wikiarts5_segmented,23000,0.5953483907878399,0.2245745631804069,0.6188204537630081,0.21585312220454217,0.712708705663681,0.18096735830108324,-0.04457407087087639
