step,transfer_clip_style,transfer_lpips,all_pairs_clip_style,all_pairs_lpips,identity_clip_style,identity_lpips,delta_idt_transfer,delta_idt_all_pairs
250,0.5811919907232126,0.5927831360697746,0.5832260653575262,0.5928925584952036,0.5913623638947805,0.5933302481969197,-0.058730470935503654,-0.09689908742904663
500,0.5988964767257372,0.5726784852643808,0.6022918892304102,0.5725521328449249,0.6158735392491023,0.5720467231671016,-0.04102598493297904,-0.0778332635561626
750,0.5859597068031629,0.5115863624215126,0.5893323422670365,0.5112878288427989,0.6028228841225306,0.510093694527944,-0.05396275485555335,-0.09079281051953636
1000,0.6019345428049564,0.48927333496510983,0.6060911071697871,0.48917333022753395,0.6227173646291096,0.48877331127723056,-0.03798791885375985,-0.07403404561678573
1250,0.5991855654617151,0.4700966746111711,0.6047190726995468,0.46919832718372345,0.6268531016508738,0.4656049374739329,-0.04073689619700116,-0.07540608008702598
1500,0.592307058920463,0.44037144996225835,0.5986880933046341,0.4396971622308095,0.6242122308413187,0.4370000113050143,-0.047615402738253265,-0.08143705948193869
1750,0.6061277414858341,0.46182434844473996,0.6135084288517634,0.45934052391846975,0.6430311783154805,0.4494052258133888,-0.0337947201728821,-0.06661672393480944
2000,0.6102550632258257,0.4214578103274107,0.6187915192842484,0.42051046586036683,0.6529373435179392,0.4167210879921913,-0.029667398432890568,-0.06133363350232446
2250,0.605333117544651,0.3956500208874543,0.6145723249912262,0.39592744374275207,0.6515291547775268,0.39703713516394296,-0.034589344114065224,-0.06555282779534666
2500,0.6092831874390443,0.40017408430576323,0.6196717329422633,0.3986438096960386,0.6612259149551392,0.39252271125713983,-0.03063927421967194,-0.06045341984430952
2750,0.6153273093203704,0.3870029433568319,0.6263143175045649,0.38549372291564943,0.6702623502413432,0.3794568411509196,-0.02459515233834586,-0.05381083528200792
3000,0.5982963381707669,0.36392432523270446,0.6102898048957189,0.36213175489505134,0.6582636717955271,0.3549614735444387,-0.04162612348794936,-0.06983534789085388
3250,0.6056879297892253,0.33734966384867826,0.6184891027609507,0.3362699436148008,0.6696937946478526,0.33195106267929075,-0.03423453186949099,-0.06163605002562211
3500,0.5994810051222642,0.3558149671802918,0.6125092358986537,0.3531031408111254,0.6646221590042114,0.34225583533445997,-0.040441456536452036,-0.06761591688791913
3750,0.6018100466827552,0.335338010986646,0.6155009974241257,0.3304940880338351,0.6702648003896078,0.3111183962225914,-0.03811241497596107,-0.06462415536244714
4000,0.6055907415350278,0.32670658361166716,0.6197391389211019,0.32338810111085575,0.6763327284653982,0.3101141711076101,-0.03433172012368846,-0.06038601386547093
4250,0.6114248768985271,0.3294797637561957,0.6265008338689804,0.3241036138335864,0.6868046617507935,0.30259901414314905,-0.028497584760189154,-0.05362431891759245
4500,0.607985569636027,0.34690373957157133,0.6237517916361491,0.34075378980239235,0.6868166796366374,0.31615399072567624,-0.031936892022689234,-0.056373361150423684
4750,0.6106855198244254,0.3300885771463315,0.6266723326444625,0.3240887502829234,0.6906195839246114,0.300089442829291,-0.02923694183429082,-0.05345282014211028
5000,0.6110453019539516,0.3137131217122078,0.6273211561044058,0.30803353995084765,0.6924245727062225,0.28531521290540696,-0.028877159704764677,-0.052803996682167065
5250,0.6118467620511849,0.34023235177000366,0.6271598502397537,0.33388804431756336,0.6884122029940287,0.3085108145078023,-0.028075699607531313,-0.05296530254681908
5500,0.616712360282739,0.3348789843916893,0.6328119486172994,0.3267660025159518,0.697210301955541,0.2943140750130018,-0.023210101375977232,-0.047313204169273426
5750,0.617343221505483,0.35035002425312994,0.6331388122240702,0.34136862100164095,0.6963211750984192,0.30544300799568497,-0.022579240153233204,-0.046986340562502615
6000,0.6125608944396178,0.3430216911435127,0.6283471336762111,0.33341074094176293,0.691492090622584,0.2949669401347637,-0.027361567219098437,-0.05177801911036173
6250,0.6126441837350527,0.3254539803043008,0.6281944534778595,0.31786440368493396,0.6903955324490865,0.2875060972074668,-0.027278277923663552,-0.0519306993087133
6500,0.613497870862484,0.32613089963793757,0.6295187214215596,0.3173611369729042,0.6936021236578623,0.28228208631277085,-0.026424590796232272,-0.050606431365013194
6750,0.6128415578107039,0.317978907674551,0.630225022594134,0.30986022885640463,0.6997588817278544,0.2773855135838191,-0.027080903848012317,-0.049900130192438774
7000,0.6144432704150676,0.3438459667315086,0.6308148271640142,0.33610049343109133,0.6963010541598003,0.3051186002294223,-0.025479191243648613,-0.04931032562255866
7250,0.6071658944090207,0.3129758627464374,0.6237849986553192,0.30609578158458073,0.6902614156405131,0.27857545693715413,-0.032756567249695556,-0.056340154131253595
7500,0.6134020314613978,0.3070561103026072,0.630540822426478,0.2994455147981644,0.6990959862867991,0.26900313278039295,-0.026520430197318423,-0.0495843303600948
7750,0.6101649197936058,0.30598107874393465,0.6276378698348999,0.29718498200178145,0.6975296700000763,0.2620005950331688,-0.02975754186511048,-0.05248728295167293
8000,0.61251313423117,0.31605871158341564,0.6291934026479721,0.309306222319603,0.6959144763151804,0.28229626526435214,-0.027409327427546204,-0.05093175013860074
8250,0.6100584460794926,0.30456570009390516,0.6272743409872055,0.2953701023856799,0.6961379206180572,0.2585877115527789,-0.02986401557922369,-0.05285081179936735
8500,0.6156431032220523,0.32177668551603955,0.6323858232498168,0.31493246883153914,0.6993567033608754,0.28755560209353764,-0.024279358436663956,-0.04773932953675597
8750,0.6069743003944555,0.2886661091571053,0.6250533914168676,0.28220182507236796,0.6973697555065155,0.25634468873341876,-0.0329481612642607,-0.05507176136970526
