step,transfer_clip_style,transfer_lpips,all_pairs_clip_style,all_pairs_lpips,identity_clip_style,identity_lpips,delta_idt_transfer,delta_idt_all_pairs
9000,0.6059205428759257,0.28936037289599575,0.623460905234019,0.28144340264797213,0.693622354666392,0.24977552165587744,-0.034001918782790574,-0.05666424755255384
9250,0.6079320603112379,0.2904042004297177,0.6261577374537786,0.28123219806949296,0.699060446023941,0.2445441886285941,-0.031990401347478326,-0.053967415332794255
9500,0.6056534027556578,0.28524301148951053,0.6229195150931677,0.27625910433133444,0.6919839644432068,0.24032347569863002,-0.034269058903058425,-0.05720563769340514
9750,0.6063470135629178,0.27515897697458663,0.6248288650115331,0.26761973429719604,0.6987562708059947,0.23746276358763377,-0.03357544809579849,-0.0552962877750397
10000,0.604972410351038,0.2881291891137759,0.6232052208979925,0.2801312416394552,0.6961364630858103,0.24813945174217225,-0.034950051307678254,-0.056919931888580355
10250,0.609157927185297,0.2761272759238879,0.6274251302480698,0.2691766822040081,0.7004939424991607,0.24137430732448895,-0.030764534473419203,-0.05270002253850303
10500,0.6066311085720857,0.26391294178863367,0.6251787725687027,0.2573826195001602,0.6993694285551707,0.23126133034626642,-0.03329135308663056,-0.05494638021787013
10750,0.6083392121394475,0.2707161936288079,0.6274027003447215,0.26312572269141676,0.7036566531658173,0.23276383894185226,-0.03158324951926872,-0.052722452441851364
11000,0.6060272012154261,0.26631806829323373,0.6252184998194377,0.25826078828175864,0.7019836942354838,0.22603166823585827,-0.033895260443290165,-0.05490665296713515
11250,0.6037573247154554,0.2722310870140791,0.6225624872843425,0.2650378820896149,0.6977831375598907,0.23626506239175796,-0.036165136943260845,-0.057562665502230326
11500,0.6014869142572085,0.2886117228617271,0.6203011036713918,0.281377703756094,0.695557861328125,0.25244162733356157,-0.038435547401507786,-0.05982404911518102
11750,0.5996556859215101,0.26991641691575446,0.6193163582483927,0.2625733821888765,0.6979590475559234,0.23320124328136443,-0.04026677573720616,-0.06080879453818011
12000,0.6039563497404258,0.2752203697835406,0.6230690775314967,0.26585131615400315,0.6995199886957805,0.22837510163585345,-0.035966111918290466,-0.057056075255076166
12250,0.6014742356042068,0.2640567613020539,0.6204381383657456,0.2563673889487982,0.6962937494119008,0.22560989953577518,-0.03844822605450948,-0.059687014420827245
12500,0.6132293948531151,0.3174599744876226,0.6305823900699615,0.3061829563081265,0.6999943709373474,0.2610748835901419,-0.02669306680560113,-0.04954276271661129
12750,0.6069529314835866,0.27824317187070846,0.6255277210871378,0.268759634355704,0.6998268795013428,0.23082548429568608,-0.0329695301751296,-0.054597431699434984
13000,0.6085798227290312,0.28157598928858835,0.6280808097918829,0.27254055920243264,0.7060847580432892,0.2363988388578097,-0.03134263892968503,-0.05204434299468996
13250,0.5988146757582823,0.25420793471237024,0.620123617609342,0.2462782130241394,0.7053593850135803,0.21455932627121607,-0.04110778590043396,-0.060001535177230836
13500,0.6036313967903455,0.25018650403867165,0.6240815392335256,0.24186907280484835,0.7058821090062459,0.20859934786955517,-0.03629106486837075,-0.05604361355304721
13750,0.60017770682772,0.24829418521374463,0.6211276739835739,0.23989184306065242,0.7049275426069895,0.20628247444828351,-0.039744754830996265,-0.05899747880299888
14000,0.5988215008874734,0.26136110196510953,0.620175140897433,0.2533836971819401,0.7055897009372711,0.22147407804926236,-0.04110096077124281,-0.05995001188913984
14250,0.6016788813471794,0.245554422698915,0.6226713306903839,0.23655511243144672,0.7066411280632019,0.20055787136157355,-0.03824358031153685,-0.05745382209618888
14500,0.6008489385743936,0.25058878501256304,0.6227169835964839,0.24276291215419768,0.710189163684845,0.21145942072073617,-0.03907352308432266,-0.057408169190088953
14750,0.5975912312666575,0.24528429560363293,0.6200253796577454,0.23724619903167088,0.7097619732220968,0.20509381274382274,-0.04233123039205877,-0.060099773128827416
15000,0.599901258846124,0.2378534789259235,0.6223193964958191,0.23017125319937864,0.7119919470945995,0.19944235029319923,-0.04002120281259225,-0.057805756290753685
15250,0.59590536976854,0.24954538690547148,0.6186657068332037,0.24112237697839736,0.7097070550918579,0.2074303372701009,-0.04401709189017622,-0.06145944595336916
15500,0.6014331197241942,0.23651810847222804,0.6231259432236353,0.22771935756504535,0.7098972372214,0.1925243539363146,-0.038489341934522026,-0.05699920956293747
15750,0.597372007171313,0.25283316787332294,0.6186077671845754,0.24371476204196613,0.7035508072376251,0.20724113871653874,-0.042550454487403244,-0.061517385601997376
16000,0.5955816084146499,0.2458556278049946,0.6186888233025869,0.23716638977328935,0.7111176828543345,0.2024094376464685,-0.044340853244066336,-0.06143632948398592
16250,0.5979709063967069,0.23707080143193404,0.6203893016974131,0.22872945265968642,0.710062882900238,0.1953640575706959,-0.04195155526200933,-0.059735851089159686
16500,0.599703510850668,0.27078425434728465,0.6204991688330969,0.2611586971084277,0.7036818007628123,0.2226564681529999,-0.04021895080804827,-0.05962598395347596
16750,0.6073934466640154,0.29087916468580566,0.627039165576299,0.27785709643363954,0.7056220412254334,0.2257688234249751,-0.032529014994700844,-0.0530859872102738
17000,0.5947570236523946,0.23743421340982118,0.6171689948240916,0.2299001182615757,0.7068168795108796,0.19976373766859373,-0.04516543800632167,-0.06295615796248122
17250,0.5984140753746032,0.25294324327260254,0.6195005638599396,0.24592075183987616,0.7038465178012848,0.21783078610897064,-0.04150838628411302,-0.06062458892663325
17500,0.5990750207006932,0.2348971602196495,0.622075060804685,0.22626572473843892,0.7140752212206523,0.19173998281359672,-0.04084744095802306,-0.05805009198188782
17750,0.5987350132564704,0.22350769286354383,0.6210153595209121,0.21570436070859433,0.7101367445786794,0.1844910320887963,-0.04118744840224586,-0.05910979326566068
18000,0.5985689658423264,0.24148657891899347,0.6214791794220607,0.23259316504001618,0.7131200337409973,0.197019509524107,-0.04135349581638981,-0.05864597336451216
18250,0.600771620720625,0.23303685770680507,0.6226010249853134,0.22385682400067647,0.7099186420440674,0.18713668917616208,-0.03915084093809129,-0.05752412780125937
18500,0.5990547469258308,0.22752921332915624,0.6216032638549804,0.2190745208064715,0.711797331571579,0.18525575071573258,-0.04086771473288542,-0.05852188893159238
18750,0.5982917975882689,0.22874724581837655,0.6210157973368963,0.22093797866503398,0.7119117963314057,0.18970091005166373,-0.041630664070447354,-0.05910935544967655
19000,0.6019828267892202,0.25499140871067844,0.6242230139573415,0.24427612539132437,0.7131837626298269,0.20141499211390812,-0.03793963486949603,-0.05590213882923134
19250,0.601899598389864,0.24532729852944613,0.6250506459474564,0.2368464391976595,0.7176548361778259,0.20292300187051296,-0.03802286326885229,-0.05507450683911641
19500,0.5998508524894715,0.22085246174285808,0.6225993730227153,0.2124233960757653,0.7135934551556905,0.17870713340739408,-0.04007160916924479,-0.05752577976385753
19750,0.5977134833733241,0.2395979418605566,0.6204048753579458,0.2302165098687013,0.7111704432964325,0.19269078190128008,-0.04220897828539216,-0.05972027742862707
20000,0.5936881498992443,0.2392250884945194,0.6167413571278254,0.22962942265470823,0.7089541860421499,0.19124675929546356,-0.0462343117594719,-0.06338379565874741
20250,0.5980167162915071,0.23379255695889392,0.6211084049145381,0.22429191533724466,0.713475159406662,0.1862893488506476,-0.041905745367209146,-0.0590167478720347
20500,0.5988596612711747,0.22748771912107865,0.6223734654982884,0.21953742360075315,0.7164286824067434,0.18773624151945115,-0.04106280038754151,-0.05775168728828439
20750,0.5968419428169728,0.23949947026868662,0.6194817568858465,0.22925166434049607,0.7100410131613414,0.18826044062773387,-0.043080518841743465,-0.060643395900726316
21000,0.5949564511080583,0.24605387584616742,0.6180021770397822,0.23491844017306965,0.7101850807666779,0.19037669748067856,-0.044966010550657964,-0.0621229757467906
21250,0.5947062143186728,0.22976562834034364,0.6177676980098089,0.22141532062987487,0.710013632774353,0.1880140897879998,-0.04521624734004348,-0.06235745477676391
21500,0.5995628642042478,0.24501860889295737,0.6225911076068879,0.23474554620186489,0.7147040812174479,0.1936532954374949,-0.04035959745446849,-0.05753404517968497
21750,0.6064499560991923,0.3138653473680218,0.6266308235327402,0.301265813956658,0.7073542932669322,0.250867680311203,-0.03347250555952397,-0.05349432925383257
22000,0.6014263926446438,0.2471125076338649,0.6243683285315832,0.23847987287739913,0.7161360720793406,0.2039493338515361,-0.03849606901407243,-0.05575682425498962
22250,0.5995354601244132,0.2364428908129533,0.6221827901601792,0.22586544219652813,0.7127721103032431,0.18355564773082733,-0.04038700153430308,-0.05794236262639363
22500,0.5929272295037905,0.22420445196330546,0.6163264462153117,0.2161858183046182,0.7099233130613963,0.1841112836698691,-0.04699523215492574,-0.06379870657126108
22750,0.5986664751668771,0.22789953280240297,0.6219193003575008,0.21989287550250688,0.7149306011199951,0.18786624630292256,-0.04125598649183915,-0.05820585242907206
23000,0.5953483907878399,0.2245745631804069,0.6188204537630081,0.21585312220454217,0.712708705663681,0.18096735830108324,-0.04457407087087639,-0.061304699023564724
