batch_size,checkpoint_dir,elapsed_sec,images,images_dir,log_path,max_iter,returncode,stage,status
1,G:\GitHub\Latent_Style\run_511\outputs\stytr2_smoke6\checkpoints\stytr2,59.25,,,G:\GitHub\Latent_Style\run_511\outputs\stytr2_smoke6\logs\stytr2_train.log,1,0,train,ok
,,35.81,5,G:\GitHub\Latent_Style\run_511\outputs\stytr2_smoke6\infer_750\images,,,,infer,ok
