epoch,loss,swd,color,oob,identity,identity_ratio,lr,data_time_sec,transfer_time_sec,fwd_loss_time_sec,backward_time_sec,optimizer_time_sec,step_overhead_time_sec,compute_time_sec,epoch_time_sec,samples_seen,samples_per_sec,compute_samples_per_sec
1,25.674198150634766,17.436243057250977,0.07189209759235382,1.4815131343937082e-08,1.0724543333053589,0.20205079019069672,1e-05,0.5823848999571055,0.0059785000048577785,49.44464970007539,7.7747435993514955,0.17315779929049313,0.04169570130761713,57.398529598722234,59.208921909332275,10240,172.94690850275407,178.40178261688354
2,23.395055770874023,17.195049285888672,0.03948301449418068,7.123995601432398e-06,0.9241234660148621,0.20400391519069672,2e-05,0.5743078998057172,0.005481599946506321,41.18716589990072,2.8826885998714715,0.14304139954037964,0.04191900079604238,44.21837749925908,46.007057189941406,10240,222.5745488941811,231.57792255429501
3,22.071199417114258,17.12354278564453,0.02442166954278946,0.0001329295482719317,0.7938921451568604,0.20283202826976776,3e-05,0.5619154998566955,0.006159900454804301,41.31484119943343,2.676506799994968,0.14376110001467168,0.03960119979456067,44.141268999897875,45.92247986793518,10240,222.98447360526706,231.9824561460544
4,21.55696678161621,17.21696662902832,0.018092768266797066,0.0010482704965397716,0.7211615443229675,0.20126953721046448,4e-05,0.5640183996874839,0.005556200398132205,41.36941340006888,2.667758000199683,0.1360672004520893,0.04016969911754131,44.178794801118784,45.965740442276,10240,222.77461216706476,231.7854084996606
5,21.344160079956055,17.36299705505371,0.013097167015075684,0.002468348713591695,0.6865178942680359,0.20097656548023224,5e-05,0.6055332998512313,0.006187799968756735,41.234613400069065,2.770056299632415,0.14132880000397563,0.04306810034904629,44.15218629967421,45.96767520904541,10240,222.76523564509083,231.9250949544838
6,21.332151412963867,17.37039566040039,0.009414258413016796,0.0019319619750604033,0.7131733298301697,0.19882813096046448,6e-05,0.5842556996503845,0.006131000118330121,41.25685239979066,2.6550794002832845,0.1425457000732422,0.04459149995818734,44.060608500265516,45.87704133987427,10240,223.20532669354705,232.4071398137475
7,21.68427085876465,17.569581985473633,0.0110891442745924,0.0018201268976554275,0.7305841445922852,0.19921875,7e-05,0.5390944998944178,0.005154799786396325,41.339696300099604,2.679806899628602,0.12855790031608194,0.04020430019591004,44.153215899830684,45.90766906738281,10240,223.05641318817192,231.91968673881505
8,21.602750778198242,17.331212997436523,0.011226060800254345,0.0025084195658564568,0.7594823241233826,0.19453124701976776,8e-05,0.545419399975799,0.00541499990504235,41.28644800023176,2.687441200017929,0.1358909000409767,0.03931589995045215,44.115195100195706,45.87983560562134,10240,223.19173259516572,232.11956734505233
9,21.669919967651367,17.368541717529297,0.010646476410329342,0.004100991878658533,0.7669017314910889,0.20742188394069672,9e-05,0.5739575998159125,0.005762499873526394,41.31726609985344,2.6824115000199527,0.13863830012269318,0.040487700258381665,44.14407839986961,45.9324586391449,10240,222.93603049746594,231.96769241036517
10,21.714879989624023,17.555797576904297,0.010564646683633327,0.004184316378086805,0.7389309406280518,0.20058594644069672,0.0001,0.566553199547343,0.005743199959397316,41.18248830048833,2.8210588997462764,0.14408880018163472,0.04259209998417646,44.15337920037564,45.94051265716553,10240,222.89694667573167,231.9188289876776
11,21.88282585144043,17.434228897094727,0.011707185767591,0.00438784621655941,0.7872876524925232,0.20185546576976776,9.933543077861571e-05,0.5792476999340579,0.005767200142145157,41.35354740009643,2.636335900053382,0.13371960003860295,0.039191299700178206,44.12937010033056,45.917497396469116,10240,223.00866947481805,232.04500713966218
12,21.516773223876953,17.455923080444336,0.009810594841837883,0.005843087565153837,0.7219986319541931,0.201171875,9.860471227032953e-05,0.5800581994699314,0.005781299551017582,41.26314279995859,2.746277799946256,0.13533459964673966,0.038564300746656954,44.1505364991026,45.90792226791382,10240,223.05518294294467,231.93376144383063
13,21.28455924987793,17.249074935913086,0.009642324410378933,0.003297606948763132,0.7233635783195496,0.205078125,9.780897119011768e-05,0.6549193997634575,0.005710199940949678,41.17192330036778,2.6850343995029107,0.14430309971794486,0.039063400705344975,44.006970999529585,45.88109040260315,10240,223.18562854859732,232.69040716547977
14,21.326387405395508,17.18914222717285,0.009790695272386074,0.006561215966939926,0.7360011339187622,0.19853515923023224,9.694943451304938e-05,0.5771795002510771,0.00618010014295578,41.262828700011596,2.6548506994731724,0.144523800117895,0.0439565007109195,44.06838329974562,45.8758590221405,10240,223.21107916601616,232.36613719975313
15,21.354516983032227,17.211711883544922,0.010035268031060696,0.006844747811555862,0.7345888018608093,0.20283202826976776,9.602742758238022e-05,0.5623118996154517,0.005564899765886366,41.28160669992212,2.7656200998462737,0.14622999972198159,0.03837480046786368,44.199021699256264,45.94306015968323,10240,222.88458723491794,231.67933601960942
16,21.009653091430664,17.00283432006836,0.009243336506187916,0.006433282047510147,0.7145509123802185,0.20332030951976776,9.504437206596892e-05,0.5655239999759942,0.005530899856239557,41.30152639991138,2.6519727999111637,0.14008769975043833,0.040912000578828156,44.09911779942922,45.883079290390015,10240,223.1759541505907,232.20419162517888
17,20.970550537109375,17.080968856811523,0.009393571875989437,0.005813476629555225,0.6911405920982361,0.20556640625,9.400178376416844e-05,0.5628544001374394,0.0053114991169422865,41.32925660035107,2.7030814002500847,0.1342761997366324,0.037873300490900874,44.17192569945473,45.95895791053772,10240,222.80748880191902,231.82145305760136
18,20.984149932861328,17.0328311920166,0.010028916411101818,0.00843651220202446,0.6931599974632263,0.19912110269069672,9.29012702725719e-05,0.550410499679856,0.005269599612802267,41.4254523999989,2.599016000283882,0.13548229972366244,0.03702490031719208,44.16522029961925,45.92845034599304,10240,222.9554866941722,231.85664942982928
19,20.961353302001953,17.004270553588867,0.009608052670955658,0.008996418677270412,0.696558952331543,0.20673827826976776,9.174452850321653e-05,0.5549907006788999,0.0055116001749411225,41.35291820007842,2.753364299889654,0.13700939959380776,0.039974100538529456,44.24880349973682,46.03259539604187,10240,222.45106781184208,231.41868683660348
20,20.98099136352539,17.030141830444336,0.010020851157605648,0.007992110215127468,0.6940192580223083,0.19521485269069672,9.053334206806832e-05,0.5433672001818195,0.005519400001503527,41.44733750005253,2.705579499946907,0.13738109986297786,0.03933150041848421,44.295817499863915,46.05715847015381,10240,222.33243083452004,231.1730672998971
21,20.977020263671875,16.9825382232666,0.009712493978440762,0.009278078563511372,0.7026399374008179,0.19970703125,8.926957852882176e-05,0.5395651992876083,0.0052926004864275455,41.485013500088826,2.63770669978112,0.13095180038362741,0.03891219908837229,44.25896460074,46.023322105407715,10240,222.4958897262396,231.3655570656705
22,21.006223678588867,16.90706443786621,0.009371047839522362,0.010934523306787014,0.7229945659637451,0.20400391519069672,8.795518651725495e-05,0.5820709995459765,0.0056463005021214485,41.46688949933741,2.7129542001057416,0.13678289961535484,0.039212900563143194,44.32227289956063,46.13474130630493,10240,221.9585438230379,231.0350830428985
