mode,steps,latent_content_mse,latent_content_sem,latent_target_mse,ll_content_mse,hf_content_mse,hf_content_sem
every-step,1,0.09831053763628006,0.01638128235936165,1.4145276546478271,0.3527117371559143,0.01351013034582138,0.0019214210333302617
every-step,2,0.11263871192932129,0.021340249106287956,1.4857040643692017,0.355782687664032,0.031590722501277924,0.005186836700886488
every-step,3,0.09929988533258438,0.01574968732893467,1.5756680965423584,0.2575293481349945,0.0465567484498024,0.00798217672854662
every-step,4,0.11135633289813995,0.016217965632677078,1.5871425867080688,0.27080902457237244,0.058205436915159225,0.010058680549263954
every-step,5,0.11588748544454575,0.016243329271674156,1.6092380285263062,0.26346999406814575,0.06669330596923828,0.011577406898140907
every-step,6,0.12002313137054443,0.016265112906694412,1.6208178997039795,0.2618767321109772,0.07273860275745392,0.012646125629544258
every-step,7,0.1227574348449707,0.016364749521017075,1.6298696994781494,0.2600659728050232,0.07698793709278107,0.013397518545389175
every-step,8,0.12463869899511337,0.016382727771997452,1.6363201141357422,0.2586849331855774,0.07995660603046417,0.013921327888965607
endpoint-only,1,0.09831053763628006,0.01638128235936165,1.4145276546478271,0.3527117371559143,0.01351013034582138,0.0019214210333302617
endpoint-only,2,0.10248561948537827,0.022370023652911186,1.4368091821670532,0.3670465350151062,0.014298640191555023,0.0019835943821817636
endpoint-only,3,0.07313341647386551,0.016820449382066727,1.5100157260894775,0.2517411708831787,0.013597491197288036,0.0019321712898090482
endpoint-only,4,0.07808299362659454,0.01688382960855961,1.4903984069824219,0.27123087644577026,0.013700363226234913,0.0019370876252651215
endpoint-only,5,0.07612352073192596,0.01688019558787346,1.4984090328216553,0.2635546922683716,0.01364645641297102,0.0019372084643691778
endpoint-only,6,0.07592441141605377,0.016895879060029984,1.4992371797561646,0.2627342641353607,0.013654455542564392,0.0019331269431859255
endpoint-only,7,0.07601706683635712,0.01685457117855549,1.4984312057495117,0.26313263177871704,0.013645201921463013,0.0019345670007169247
endpoint-only,8,0.0756571814417839,0.01681828498840332,1.499917984008789,0.26168331503868103,0.013648465275764465,0.001934000407345593
