step,image_dir,metric_wall_seconds,count,content_lpips,clip_style,clip_content
-1,/mnt/i/Github/Latent_Style/Related_Works/baseline_pipeline/results/samam_distinct5_512_scratch_7k_250eval_remote/curve_eval_hf_750_batched/step_005750/images,23.204928398132324,750.0,0.34886421702305476,0.5916352550983429,0.871736031293869
-1,/mnt/i/Github/Latent_Style/Related_Works/baseline_pipeline/results/samam_distinct5_512_scratch_7k_250eval_remote/curve_eval_hf_750_batched/step_006000/images,23.7232506275177,750.0,0.3398060147513946,0.591700133840243,0.867826324224472
-1,/mnt/i/Github/Latent_Style/Related_Works/baseline_pipeline/results/samam_distinct5_512_scratch_7k_250eval_remote/curve_eval_hf_750_batched/step_006250/images,23.162352323532104,750.0,0.3465055528829495,0.5922598816951116,0.8664939475854238
-1,/mnt/i/Github/Latent_Style/Related_Works/baseline_pipeline/results/samam_distinct5_512_scratch_7k_250eval_remote/curve_eval_hf_750_batched/step_006500/images,23.19453501701355,750.0,0.35180715151627856,0.5925401193300883,0.8737245022455852
-1,/mnt/i/Github/Latent_Style/Related_Works/baseline_pipeline/results/samam_distinct5_512_scratch_7k_250eval_remote/curve_eval_hf_750_batched/step_006750/images,23.06067967414856,750.0,0.3277455757558346,0.5890177741845449,0.8749679631392161
-1,/mnt/i/Github/Latent_Style/Related_Works/baseline_pipeline/results/samam_distinct5_512_scratch_7k_250eval_remote/curve_eval_hf_750_batched/step_007000/images,23.174957036972046,750.0,0.32091208057602244,0.5904715350866317,0.8757487408320109
-1,/mnt/i/Github/Latent_Style/Related_Works/baseline_pipeline/results/samam_distinct5_512_scratch_7k_250eval_remote/curve_eval_hf_750_batched/step_007250/images,23.02425718307495,750.0,0.30777390823264916,0.5908225988944371,0.8788734440803527
-1,/mnt/i/Github/Latent_Style/Related_Works/baseline_pipeline/results/samam_distinct5_512_scratch_7k_250eval_remote/curve_eval_hf_750_batched/step_007500/images,22.803940296173096,750.0,0.31982811095317204,0.585666629711787,0.8739246640205384
-1,/mnt/i/Github/Latent_Style/Related_Works/baseline_pipeline/results/samam_distinct5_512_scratch_7k_250eval_remote/curve_eval_hf_750_batched/step_007750/images,22.774391651153564,750.0,0.31162483745316666,0.5867748843431473,0.8750722264448801
-1,/mnt/i/Github/Latent_Style/Related_Works/baseline_pipeline/results/samam_distinct5_512_scratch_7k_250eval_remote/curve_eval_hf_750_batched/step_008000/images,22.584917783737183,750.0,0.3176810904145241,0.5901444813807806,0.8747756920655568
-1,/mnt/i/Github/Latent_Style/Related_Works/baseline_pipeline/results/samam_distinct5_512_scratch_7k_250eval_remote/curve_eval_hf_750_batched/step_008250/images,22.769243478775024,750.0,0.31377910993496577,0.5892530060211817,0.8802353491783143
-1,/mnt/i/Github/Latent_Style/Related_Works/baseline_pipeline/results/samam_distinct5_512_scratch_7k_250eval_remote/curve_eval_hf_750_batched/step_008500/images,22.809487342834473,750.0,0.29755493191878,0.5873879820505779,0.8881300613085429
-1,/mnt/i/Github/Latent_Style/Related_Works/baseline_pipeline/results/samam_distinct5_512_scratch_7k_250eval_remote/curve_eval_hf_750_batched/step_008750/images,22.67755889892578,750.0,0.29781999757885935,0.585662769595782,0.8813567725817363
-1,/mnt/i/Github/Latent_Style/Related_Works/baseline_pipeline/results/samam_distinct5_512_scratch_7k_250eval_remote/curve_eval_hf_750_batched/step_009000/images,22.785795211791992,750.0,0.2918247400522232,0.5879768402179082,0.8849078468481699
-1,/mnt/i/Github/Latent_Style/Related_Works/baseline_pipeline/results/samam_distinct5_512_scratch_7k_250eval_remote/curve_eval_hf_750_batched/step_009250/images,22.82308840751648,750.0,0.2916712150623401,0.5878741894960403,0.8843389374415079
-1,/mnt/i/Github/Latent_Style/Related_Works/baseline_pipeline/results/samam_distinct5_512_scratch_7k_250eval_remote/curve_eval_hf_750_batched/step_009500/images,22.91081929206848,750.0,0.29505319783091544,0.5892586077451706,0.8866087715625763
