epoch,loss,gram,moment,code,push,cycle,nce,idt,w_cycle_eff,w_idt_eff,lr,epoch_time_sec
1,1.3533173644542693,0.004303874790202826,0.19415340021252633,0.0,0.0,0.0,0.0,0.019120186297222973,0.0,2.0,0.0002,15.681491374969482
2,0.6097502887248993,0.0022237128450069577,0.08418641366064548,0.0,0.0,0.0,0.0,0.00546059480169788,0.0,2.0,0.0001953503690480396,12.65188193321228
3,0.2922965560853481,0.0012627379177138208,0.0368236549757421,0.0,0.0,0.0,0.0,0.0035796239390037954,0.0,2.0,0.00018185661446562,9.815202236175537
4,0.16186042100191117,0.0007457308715675026,0.019318925151601433,0.0,0.0,0.0,0.0,0.0028036623867228627,0.0,2.0,0.00016083959896778495,9.681581020355225
5,0.11340850710868836,0.0005399893649155274,0.012794933281838894,0.0,0.0,0.0,0.0,0.0031173455133102833,0.0,2.0,0.00013435661446562,9.837988376617432
6,0.18648617684841157,0.0005368907822412438,0.011282021598890423,0.0,0.0,0.08326801970601082,0.0,0.0019283934962004423,1.0,2.0,0.000105,17.118743658065796
7,0.1923400865495205,0.0005130755485151894,0.010198978860862552,0.0,0.0,0.048982744328677656,0.0,0.001166830335278064,2.0,2.0,7.564338553438001e-05,14.093747615814209
8,0.20592645883560182,0.000513538003724534,0.00979872048366815,0.0,0.0,0.03798776812851429,0.0,0.0009432552556972951,3.0,2.0,4.916040103221507e-05,14.409378051757812
9,0.21468348577618598,0.0004886152970721014,0.009266558340750635,0.0,0.0,0.031896119099110366,0.0,0.0008384969062171877,4.0,2.0,2.8143385534380006e-05,18.109585285186768
10,0.2312133564054966,0.0005037174612516537,0.009332793559879064,0.0,0.0,0.02853026470169425,0.0,0.0008003338740672916,5.0,2.0,1.4649630951960416e-05,14.039903163909912
