epoch,loss,gram,moment,code,push,cycle,nce,idt,w_cycle_eff,w_idt_eff,lr,epoch_time_sec
1,1.4456104385852813,2.9155396714486414e-05,0.2550279094278812,0.004617173463338986,0.0,0.0,0.0,0.06098336201161146,0.0,2.0,0.0002,6.000481843948364
2,0.7530187910795212,7.692973958910443e-06,0.11931378245353699,0.00048761638870928434,0.0,0.0,0.0,0.07547913879156112,0.0,2.0,0.0001999531232347445,1.2391760349273682
3,0.4461064684391022,3.0095159149823304e-06,0.07162321098148823,0.0003845252702012658,0.0,0.0,0.0,0.04195220055058599,0.0,2.0,0.00019981253920068581,1.2711713314056396
4,0.24544211983680725,1.6870706554072967e-06,0.04605200309306383,0.00039516319520771503,0.0,0.0,0.0,0.0055477547366172076,0.0,2.0,0.0001995783866372926,1.261329174041748
5,0.14931393280625344,9.70037774550292e-07,0.02839571438729763,0.00042218334216158836,0.0,0.0,0.0,0.0015179623384028672,0.0,2.0,0.0001992508966248754,1.3143987655639648
6,0.11498074434697628,6.843464745998062e-07,0.020862782504409552,0.0004132679244503379,0.0,0.003217281869146973,0.0,0.0016310612240340561,1.0,2.0,0.0001988303923565381,1.5602238178253174
7,0.0875215520709753,5.185721465750248e-07,0.015607532113790512,0.0003976874065119773,0.0,0.001804805436404422,0.0,0.0009279603644972667,2.0,2.0,0.00019831728881922545,1.47727370262146
8,0.07383392468094825,4.387799924643332e-07,0.012998007591813803,0.00039783099200576546,0.0,0.001196040865033865,0.0,0.0006211757415439934,3.0,2.0,0.00019771209238418101,1.5419466495513916
9,0.0683810218423605,4.0935785818874135e-07,0.012001251690089703,0.0003737929929047823,0.0,0.000911122530233115,0.0,0.00047979721566662195,4.0,2.0,0.00019701540030721995,1.5210731029510498
10,0.06449819460511208,3.76702121229755e-07,0.01116675895638764,0.0003676958836149424,0.0,0.0008187359833391383,0.0,0.00043181279266718775,5.0,2.0,0.0001962279001393096,1.5095276832580566
11,0.06376528836786748,3.6416664329408376e-07,0.010673427116125822,0.0003616005653748289,0.0,0.0009592791029717773,0.0,0.0004986695729894563,6.0,2.0,0.00019535036904803958,1.4888160228729248
12,0.058673658668994905,3.3687330983411814e-07,0.00977639215067029,0.0003571108292089775,0.0,0.0007683283445658162,0.0,0.0004076709080254659,7.0,2.0,0.0001943836730506514,1.4734687805175781
13,0.05846064865589142,3.27050488238001e-07,0.00959188848733902,0.00036427294253371656,0.0,0.0007540563604561612,0.0,0.000399930794374086,8.0,2.0,0.00019332876615938386,1.4838697910308838
14,0.054421538785099983,3.1358472085685207e-07,0.009170701336115599,0.0003653498919447884,0.0,0.00048363209090894086,0.0,0.00026837831712327897,9.0,2.0,0.00019218668943997818,1.5174999237060547
15,0.05446667239069938,3.018237086394038e-07,0.008765893038362265,0.0003584134008269757,0.0,0.0006348137994064018,0.0,0.0003403943477314897,10.0,2.0,0.00019095856998427185,1.4614901542663574
16,0.05265818938612938,2.970463972928883e-07,0.008512272769585251,0.0003457428206456825,0.0,0.0005970247427467257,0.0,0.0003226930243545212,10.0,2.0,0.00018964561979789495,4.142021894454956
17,0.048023823164403436,2.7966446140226255e-07,0.00798386860638857,0.00034950999543070793,0.0,0.00041211433825083077,0.0,0.00023293152800761164,10.0,2.0,0.00018824913460416704,1.5895545482635498
18,0.04535941362380982,2.6994651847189743e-07,0.007551280800253152,0.00034748786885757,0.0,0.00036836923100054265,0.0,0.00021142104320460932,10.0,2.0,0.00018677049256537467,1.600525140762329
19,0.044001771435141564,2.590597105722736e-07,0.007311377553269267,0.0003546076861675829,0.0,0.00034777783759636804,0.0,0.0002001516130985692,10.0,2.0,0.00018521115292269145,1.615605115890503
20,0.0443103839084506,2.5870971711583477e-07,0.007347310148179531,0.00034650698653422297,0.0,0.0003669142033322714,0.0,0.00020946250122506172,10.0,2.0,0.0001835726545560834,1.4729819297790527
21,0.041138733960688116,2.471206110499224e-07,0.006900604218244553,0.00035111039411276577,0.0,0.00027736538759199903,0.0,0.00016559261683141813,10.0,2.0,0.00018185661446562003,1.4768948554992676
22,0.0408522741869092,2.3799589598638704e-07,0.0066818182077258825,0.00033886956342030314,0.0,0.00036265762930270284,0.0,0.00020443590110517107,10.0,2.0,0.0001800647261756906,1.4820995330810547
23,0.03923071470111608,2.3520277636635e-07,0.006584269115701318,0.0003338856919435784,0.0,0.000264029603858944,0.0,0.00015569978422718122,10.0,2.0,0.0001781987580637,1.4770021438598633
24,0.03720748730003834,2.1936505078201663e-07,0.006237565991468728,0.00033228348824195566,0.0,0.000239215680048801,0.0,0.00014355816005263478,10.0,2.0,0.00017626055161489368,1.492173671722412
25,0.03598661277443171,2.1513542748152758e-07,0.0060489627625793215,0.0003232447145273909,0.0,0.0002223514943034388,0.0,0.0001343131084286142,10.0,2.0,0.0001742520196050341,1.469524621963501
26,0.035041812919080255,2.0640828154228075e-07,0.005909102847799659,0.0003153851465322077,0.0,0.00020743804532685317,0.0,0.00012577691246406174,10.0,2.0,0.000172175144212722,1.880751371383667
27,0.033896862491965295,2.0124151888012422e-07,0.005704643055796623,0.0003159776673419401,0.0,0.00019599412175011821,0.0,0.00011891503279912286,10.0,2.0,0.00017003197506322543,1.7274785041809082
28,0.031888855658471583,1.906085665837054e-07,0.005439174468629062,0.0003126530401641503,0.0,0.00013698469672817736,0.0,9.06783678510692e-05,10.0,2.0,0.00016782462720574693,1.4829459190368652
29,0.031503467597067354,1.9000324499529598e-07,0.0053558301413431765,0.00029656491882633417,0.0,0.0001548955032194499,0.0,9.72562117385678e-05,10.0,2.0,0.00016555527902612554,1.4529194831848145
30,0.029630941152572633,1.7591455460319593e-07,0.0050431130360811946,0.00028955013200175015,0.0,0.0001334018076886423,0.0,8.589164484874345e-05,10.0,2.0,0.0001632261700970328,1.475273609161377
31,0.029960601776838302,1.7498316907449406e-07,0.005112902252003551,0.00028360842843540014,0.0,0.0001373441684700083,0.0,8.628300711279734e-05,10.0,2.0,0.00016083959896778498,1.4510300159454346
32,0.027546506002545358,1.6704791818256127e-07,0.004663981595076621,0.0002752708722255193,0.0,0.00012989576236577705,0.0,8.078384402324446e-05,10.0,2.0,0.00015839792089595244,1.434809684753418
33,0.028434517867863177,1.6399620378138025e-07,0.0048077380936592815,0.00027171792229637506,0.0,0.00014874829270411283,0.0,8.90225640614517e-05,10.0,2.0,0.0001559035455230047,1.4335377216339111
