epoch,loss,semigroup,swd,moment,identity,identity_ratio,delta_tv,delta_l2,output_tv,train_num_steps,train_step_size,train_style_strength,lr,data_time_sec,transfer_time_sec,fwd_loss_time_sec,backward_time_sec,optimizer_time_sec,step_overhead_time_sec,compute_time_sec,epoch_time_sec,samples_seen,samples_per_sec,compute_samples_per_sec,oom_skipped_batches
1,0.6681345105171204,0.00020426491391845047,0.014237673953175545,0.430481493473053,0.000888799550011754,0.20183633267879486,0.000267308292677626,1.3418936759990174e-05,1.2399080991744995,0.9999999403953552,0.9999999403953552,0.795983612537384,0.0002,1.5286149999301415,0.023184899968327954,85.45359729992924,6.206513500161236,0.6440453999093734,74.0277206999599,92.32734109996818,167.89006090164185,31040,184.88289201458292,336.19510353267066,0.0
2,0.298847496509552,9.94372931018006e-06,0.0023324734065681696,0.42959171533584595,5.0809900130843744e-05,0.1951674371957779,2.2007847292115912e-05,8.95364316022551e-09,1.2394988536834717,0.9999999403953552,0.9999999403953552,0.8054531812667847,0.00019999479108972367,1.5235952000657562,0.023319599946262315,84.77545559976716,5.3602051999478135,0.4444714998244308,74.82343820045935,90.60345189948566,166.9541883468628,31040,185.9192650831348,342.5918036151138,0.0
3,0.2758806049823761,3.6699959764519008e-06,0.0015682484954595566,0.4302143156528473,1.960574445547536e-05,0.20180413126945496,1.1537911632331088e-05,1.850005593162507e-09,1.2396057844161987,0.9999999403953552,0.9999999403953552,0.7999856472015381,0.00019997916493011034,1.5236291002656799,0.02354699984425679,85.00305760011543,5.414948199613718,0.4479192998842336,74.99541070053237,90.88947209945763,167.41190814971924,31040,185.4109444367626,341.5137010151611,0.0
4,0.2670956254005432,2.3545555905002402e-06,0.0013003447093069553,0.4288504421710968,1.2552603038784582e-05,0.1965527981519699,8.038412488531321e-06,7.470798979447579e-10,1.2413243055343628,0.9999999403953552,0.9999999403953552,0.7993718385696411,0.0001999531232347445,1.5205205998790916,0.0232209998939652,85.26143319980474,5.375612299976638,0.43860509991645813,75.31954010023037,91.0988715995918,167.9428768157959,31040,184.8247486795494,340.7286989945448,0.0
5,0.2623388469219208,1.9971846541011473e-06,0.0011293432908132672,0.42995649576187134,8.310439625347499e-06,0.1992267668247223,5.905404577788431e-06,3.3927549658585576e-10,1.240001916885376,0.9999999403953552,0.9999999403953552,0.8122844099998474,0.00019991666885939155,1.5123591996671166,0.02405110007384792,85.06506260012975,5.349502000230132,0.4393691000586841,75.22800529943197,90.87798480049241,167.62208890914917,31040,185.17845829271116,341.5568695558466,0.0
6,0.2569514811038971,2.0990039502066793e-06,0.000950498622842133,0.4296127259731293,6.38969731880934e-06,0.2007087767124176,4.456857368495548e-06,1.595545084942529e-10,1.2405064105987549,0.9999999403953552,0.9999999403953552,0.7950940728187561,0.00019986980580168453,1.518588800332509,0.023600400192663074,85.18633959989529,5.329226200032281,0.4447384003724437,75.18319599961978,90.98390460049268,167.68967390060425,31040,185.10382468987646,341.15924279459773,0.0
7,0.26051387190818787,2.6632214940036647e-06,0.0008238098816946149,0.42872363328933716,4.6660857151437085e-06,0.20190079510211945,3.523225586832268e-06,7.427834736173367e-11,1.2391819953918457,0.9999999403953552,0.9999999403953552,0.798680305480957,0.00019981253920068581,1.5100040999241173,0.023527300218120217,85.27415609997115,5.336883000243688,0.44291530022746883,75.39572299923748,91.07748170066043,167.98710465431213,31040,184.77608780670903,340.8087204476902,0.0
8,0.2558111846446991,3.4235440580232535e-06,0.0007305354229174554,0.42733633518218994,4.766896836372325e-06,0.19548967480659485,3.312642547825817e-06,6.70753036446925e-11,1.2402468919754028,0.9999999403953552,0.9999999403953552,0.8024240732192993,0.00019974487533632352,1.5003167997056153,0.02321860013762489,81.49568580009509,5.27635139998165,0.4386789000709541,71.74372099974426,87.23393470028532,160.4837305545807,31040,193.41524460289926,355.82483017240855,0.0
9,0.25266242027282715,3.584281557778013e-06,0.0006542734336107969,0.4299872815608978,4.170494321442675e-06,0.20045106112957,2.949482905023615e-06,5.0858473682469096e-11,1.2399985790252686,0.9999999403953552,0.9999999403953552,0.8030115962028503,0.00019966682162870294,1.503306300350232,0.02334580002934672,79.71579959988594,5.2744664999772795,0.4334707002271898,70.07336130031035,85.44708260011976,157.02641224861145,31040,197.67375153968393,363.2657670158594,0.0
10,0.24685953557491302,3.103772542090155e-06,0.0005566385225392878,0.42902013659477234,3.5127145565638784e-06,0.19932344555854797,2.522087243050919e-06,3.108762205994431e-11,1.2406158447265625,0.9999999403953552,0.9999999403953552,0.7997919917106628,0.0001995783866372926,1.5003063999756705,0.02322900012950413,79.70108700019773,5.276383899821667,0.43346409997320734,70.06955590008874,85.43416400012211,157.0077941417694,31040,197.69719184751165,363.32069685794124,0.0
11,0.24603445827960968,3.643855052359868e-06,0.0005187090719118714,0.42753851413726807,3.7497077300940873e-06,0.19819582998752594,2.678347073015175e-06,3.4576858737311866e-11,1.2400665283203125,0.9999999403953552,0.9999999403953552,0.8043227791786194,0.00019947958005998598,1.5235139000869822,0.023517099965829402,79.73422419984126,5.298741000035079,0.4370574999193195,70.04948390022037,85.49353979976149,157.06964802742004,31040,197.6193388717677,363.06836835508585,0.0
12,0.24806992709636688,3.5209604902775027e-06,0.0005896816146560013,0.4294571876525879,3.4729666822386207e-06,0.20231957733631134,2.5824940621532733e-06,3.0130398176453355e-11,1.2395473718643188,0.9999999403953552,0.9999999403953552,0.8006569743156433,0.00019937041273203768,1.5015565000940114,0.023140900273574516,79.70671599986963,5.275171899847919,0.43850349987042136,70.0702067000384,85.44353229986154,157.0189814567566,31040,197.68310628450033,363.28086122500224,0.0
