experiment_id,epoch,epoch_num,k_value,recipe_id,description,content_weights,target_weights,balance_target_styles_per_batch,src,target,is_identity,is_transfer,is_photo_to_art,count,clip_style,clip_content,content_lpips,clip_dir,score_ec,score_65_35
K1_r00_balanced_default,epoch_0001,1,1.0,R00_balanced_default,Original balanced target sampler from base config.,,,True,photo,photo,True,False,False,30,0.7866330941518148,0.8131081696666665,0.4125805996666666,0.4509297266602516,0.4620835404490137,0.7169083013153463
K1_r00_balanced_default,epoch_0001,1,1.0,R00_balanced_default,Original balanced target sampler from base config.,,,True,photo,Hayao,False,True,True,30,0.6600430051485697,0.7521163793333333,0.524100448,0.5876776883999507,0.31411417045093804,0.5955927965465704
K1_r00_balanced_default,epoch_0001,1,1.0,R00_balanced_default,Original balanced target sampler from base config.,,,True,photo,monet,False,True,True,30,0.646831426024437,0.7990092186666665,0.422488309,0.45106434722741445,0.37355271063531403,0.6225695187658841
K1_r00_balanced_default,epoch_0001,1,1.0,R00_balanced_default,Original balanced target sampler from base config.,,,True,photo,vangogh,False,True,True,30,0.6824149509270986,0.8049925546666666,0.4830603613333333,0.5206404040257137,0.35276733815298544,0.6244985916359475
K1_r00_balanced_default,epoch_0001,1,1.0,R00_balanced_default,Original balanced target sampler from base config.,,,True,photo,cezanne,False,True,True,30,0.6396175771951675,0.7942179823333333,0.4680505663333333,0.48704296350479126,0.3402442079522148,0.6019337269601923
K1_r00_balanced_default,epoch_0001,1,1.0,R00_balanced_default,Original balanced target sampler from base config.,,,True,Hayao,photo,False,True,False,30,0.5496924628814062,0.8850737603333332,0.371699984,0.305857852101326,0.34537178322346695,0.577205106472914
K1_r00_balanced_default,epoch_0001,1,1.0,R00_balanced_default,Original balanced target sampler from base config.,,,True,Hayao,Hayao,True,False,False,30,0.8365622440973918,0.8833854343333332,0.32721857000000004,0.38405965467294056,0.5628235428678522,0.7792389591633047
K1_r00_balanced_default,epoch_0001,1,1.0,R00_balanced_default,Original balanced target sampler from base config.,,,True,Hayao,monet,False,True,False,30,0.5137847165266672,0.8625943396666668,0.3702180013333333,0.3349527227381865,0.32357236565855124,0.554383765275667
K1_r00_balanced_default,epoch_0001,1,1.0,R00_balanced_default,Original balanced target sampler from base config.,,,True,Hayao,vangogh,False,True,False,30,0.6084562083085377,0.863150885,0.35650119200000013,0.41211350659529367,0.39154084476674367,0.6207211182005495
K1_r00_balanced_default,epoch_0001,1,1.0,R00_balanced_default,Original balanced target sampler from base config.,,,True,Hayao,cezanne,False,True,False,30,0.549520026644071,0.8796468699999999,0.3229591663333332,0.33245715921123825,0.3720474969556307,0.5941523091019795
K1_r00_balanced_default,epoch_0001,1,1.0,R00_balanced_default,Original balanced target sampler from base config.,,,True,monet,photo,False,True,False,30,0.7218040446440379,0.8350314436666666,0.4468437573333333,0.5046803573767344,0.399270413276899,0.662777313951958
K1_r00_balanced_default,epoch_0001,1,1.0,R00_balanced_default,Original balanced target sampler from base config.,,,True,monet,Hayao,False,True,False,30,0.6190246999263763,0.8212159079999999,0.5174392933333333,0.5189688861370086,0.2987169966405935,0.5712623022854779
K1_r00_balanced_default,epoch_0001,1,1.0,R00_balanced_default,Original balanced target sampler from base config.,,,True,monet,monet,True,False,False,30,0.8306940654913585,0.8488535996666666,0.43051204233333334,0.40250332454840343,0.47307026680249403,0.7392719277527164
K1_r00_balanced_default,epoch_0001,1,1.0,R00_balanced_default,Original balanced target sampler from base config.,,,True,monet,vangogh,False,True,False,30,0.8151117245356242,0.858331941,0.4561745006666666,0.43328890999158226,0.4432785406080403,0.7201615457148225
K1_r00_balanced_default,epoch_0001,1,1.0,R00_balanced_default,Original balanced target sampler from base config.,,,True,monet,cezanne,False,True,False,30,0.7971572021643321,0.8446636356666666,0.4586879946666667,0.42189228187004724,0.431510763669484,0.7076113832734825
