label,run,n_pairs,dino_structure,introstyle_target_style_score,introstyle_delta_idt,introstyle_style_margin,images_dir,source_root,metrics_csv,introstyle_summary
Hold4TwoStageBestFew 02,epoch_0002,745,0.04205002235686219,,,,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\hold4twostage_bestfew_localreview_20260609\epoch_0002\images,G:\GitHub\Latent_Style\Dataset\distinct5_512\test,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\hold4twostage_bestfew_localreview_20260609\epoch_0002\metrics.csv,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\hold4twostage_bestfew_localreview_20260609\epoch_0002\summary.json
Hold4TwoStageBestFew 12,epoch_0012,745,0.03459086419276943,,,,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\hold4twostage_bestfew_localreview_20260609\epoch_0012\images,G:\GitHub\Latent_Style\Dataset\distinct5_512\test,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\hold4twostage_bestfew_localreview_20260609\epoch_0012\metrics.csv,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\hold4twostage_bestfew_localreview_20260609\epoch_0012\summary.json
