label,run,n_pairs,dino_structure,introstyle_delta_idt,introstyle_target_score,images_dir,metrics_csv
IDT,IDT,20,0.0,0.0,0.06943239457905293,G:\GitHub\Latent_Style\SchrodingerBridge\docs\experiments\idt_eval_20260602\distinct5_512\idt_5x5\images,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\introstyle_page1\smoke_metrics\IDT_smoke20_metrics.csv
SaMAM-2250,SaMAM_2250,2,0.014040299225598574,0.002523918868973851,0.07195631344802678,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\introstyle_page1\staging\SaMAM_2250\images,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\introstyle_page1\smoke_metrics\SaMAM_2250_smoke20_metrics.csv
SaMST e15,SaMST_e15,2,0.029212815687060356,0.007918739225715399,0.07735113380476832,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\introstyle_page1\staging\SaMST_e15\images,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\introstyle_page1\smoke_metrics\SaMST_e15_smoke20_metrics.csv
Lat SaMAM,Lat_SaMAM_step1500,2,0.006488029379397631,-7.190019823610783e-05,0.06936049438081682,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\introstyle_page1\staging\Lat_SaMAM_step1500\images,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\introstyle_page1\smoke_metrics\Lat_SaMAM_step1500_smoke20_metrics.csv
Lat SaMST,Lat_SaMST_batch1050,2,0.10082581639289856,-0.027236373105552047,0.04219602147350088,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\introstyle_page1\staging\Lat_SaMST_batch1050\images,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\introstyle_page1\smoke_metrics\Lat_SaMST_batch1050_smoke20_metrics.csv
LBM-K,LBM-K_e1,20,0.02518753902986646,0.00801079859957099,0.07744319317862391,G:\GitHub\Latent_Style\SchrodingerBridge\exp\distinct5_512_ema_variant_k_content_adaptive_vq_queue_e3_b44_remote\full_eval\epoch_0001\images,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\introstyle_page1\smoke_metrics\LBM-K_e1_smoke20_metrics.csv
LBM-Knee,LBM-Knee_e13,0,,0.014225158840417862,0.08365755341947079,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\introstyle_page1\staging\LBM-Knee_e13\images,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\introstyle_page1\smoke_metrics\LBM-Knee_e13_smoke20_metrics.csv
LBM-PS-v2,LBM-PS-v2_e13,0,,0.0038354957941919565,0.07326789037324488,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\introstyle_page1\staging\LBM-PS-v2_e13\images,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\introstyle_page1\smoke_metrics\LBM-PS-v2_e13_smoke20_metrics.csv
Seedream-4.5,Seedream_repaired750,2,0.012170548317953944,0.024211463751271367,0.09364385833032429,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\introstyle_page1\staging\Seedream_repaired750\images,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\introstyle_page1\smoke_metrics\Seedream_repaired750_smoke20_metrics.csv
