label,run,n_pairs,dino_structure,introstyle_target_style_score,introstyle_delta_idt,introstyle_style_margin,images_dir,source_root,metrics_csv,introstyle_summary
EdgeGatedFreshBestFew 01,epoch_0001,745,0.028117319257717405,,,,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\edgegated_bestfew_fresh_localreview_20260609\epoch_0001\images,G:\GitHub\Latent_Style\Dataset\distinct5_512\test,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\edgegated_bestfew_fresh_localreview_20260609\epoch_0001\metrics.csv,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\edgegated_bestfew_fresh_localreview_20260609\epoch_0001\summary.json
EdgeGatedFreshBestFew 03,epoch_0003,745,0.02826285785026598,,,,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\edgegated_bestfew_fresh_localreview_20260609\epoch_0003\images,G:\GitHub\Latent_Style\Dataset\distinct5_512\test,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\edgegated_bestfew_fresh_localreview_20260609\epoch_0003\metrics.csv,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\edgegated_bestfew_fresh_localreview_20260609\epoch_0003\summary.json
