epoch,transfer_clip_style,transfer_lpips,allpairs_clip_style,allpairs_lpips,wall_total
epoch_0001,0.6929433507720629,0.4014592992166667,0.7182810681660969,0.3978154676933333,146.6799694599904
epoch_0002,0.6922154988845188,0.4193242953833334,0.7163781299591063,0.41556458541333335,93.44695865700487
epoch_0003,0.6919626312951247,0.4280516399666666,0.7155277563333512,0.42417055304,92.68580650199146
epoch_0004,0.6924243326485157,0.4326854539166667,0.7157094201644262,0.42872001494666667,147.1556205579982
epoch_0005,0.6916322542726994,0.4331605820666667,0.7150977009534836,0.4290398712266667,148.07436311799393
epoch_0006,0.6919184596339861,0.43618170855000005,0.7152882301012674,0.43198884713333335,91.61773866300064
epoch_0007,0.6924475693702697,0.43764764966666664,0.7155316600004831,0.4333888193066667,91.9945158620103
epoch_0008,0.6922243334849676,0.43667280959999993,0.7153726624647777,0.4323252351733333,92.79199624000466
epoch_0009,0.692331678668658,0.43768307831666664,0.7154488623142243,0.43332748268,135.99347859098634
epoch_0010,0.6925009016195933,0.4389460812833333,0.7154787974357606,0.43459660862666666,92.678971988993
epoch_0011,0.6925753372907638,0.43933970989999993,0.7155427869955698,0.4349768692266666,92.87005979000241
epoch_0012,0.6922851596275966,0.4396004867666667,0.7153282067775727,0.43522712804,138.90120708099857
