label,run,status,eval_scope,transfer_clip_style,transfer_content_lpips,introstyle_target_score,introstyle_delta_idt,introstyle_margin,identity_target_score,notes,evidence_path
IDT,IDT,complete_smoke20,page1_smoke20,0.6801,0.0000,0.06943239457905293,0.0,-0.22159238904714584,0.2932744771242142,page1 smoke20 baseline,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\introstyle_page1\introstyle_page1_summary.csv
SaMAM-2250,SaMAM_2250,complete_smoke20,page1_smoke20,0.5523,0.3605,0.07195631344802678,0.002523918868973851,-0.10724987904541194,0.17554733529686928,page1 smoke20,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\introstyle_page1\introstyle_page1_summary.csv
SaMST e15,SaMST_e15,complete_smoke20,page1_smoke20,0.6957,0.6319,0.07735113380476832,0.007918739225715399,-0.13790441397577524,0.25204040855169296,page1 smoke20,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\introstyle_page1\introstyle_page1_summary.csv
Lat SaMAM,Lat_SaMAM_step1500,complete_smoke20,page1_smoke20,0.6547,0.1635,0.06936049438081682,-0.00007190019823610783,-0.1309758930001408,0.2121918722987175,page1 smoke20,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\introstyle_page1\introstyle_page1_summary.csv
Lat SaMST,Lat_SaMST_batch1050,complete_smoke20,page1_smoke20,0.6820,0.8318,0.04219602147350088,-0.027236373105552047,-0.01941030629677698,0.02742591267451644,page1 smoke20,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\introstyle_page1\introstyle_page1_summary.csv
LBM-K,LBM-K_e1,complete_smoke20,page1_smoke20,0.6712,0.3723,0.07744319317862391,0.00801079859957099,-0.024317990988492966,0.09751229919493198,page1 smoke20,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\introstyle_page1\introstyle_page1_summary.csv
LBM-Knee,LBM-Knee_e13,complete_smoke20,page1_smoke20,0.7102,0.4603,0.08365755341947079,0.014225158840417862,-0.009194862097501755,0.08673775754868984,page1 smoke20 strongest internal introstyle row so far,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\introstyle_page1\introstyle_page1_summary.csv
LBM-PS-v2,LBM-PS-v2_e13,complete_smoke20,page1_smoke20,0.7307,0.6183,0.07326789037324488,0.0038354957941919565,-0.0007040330674499273,0.0791856599971652,"page1 smoke20 raw-style frontier under CLIP, weaker under IntroStyle",G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\introstyle_page1\introstyle_page1_summary.csv
Seedream-4.5,Seedream_repaired750,complete_smoke20,page1_smoke20,0.7198,0.4767,0.09364385833032429,0.024211463751271367,-0.029204577673226595,0.15280598029494286,page1 smoke20 strongest IntroStyle target/delta-IDT,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\introstyle_page1\introstyle_page1_summary.csv
Hold4Mid bodydecoder e8,aaai2027_inmortal_hold4mid_e8_spatial_carriergate_bodydecoder_seed42_b8a2/epoch_0008,complete_clean_introstyle_v3,distinct5_full_eval,0.6882084128260613,0.51772058705,0.1033372816257179,-0.03153576018288731,-0.04532943998153011,0.1348730418086052,clean single-lane rerun; stronger absolute target score than smoke20 rows but negative delta-IDT,/mnt/i/Github/Latent_Style/SchrodingerBridge/exp/inmortal-exp/aaai2027_inmortal_hold4mid_e8_spatial_carriergate_bodydecoder_seed42_b8a2/full_eval_introstyle_clean_v3/epoch_0008/introstyle_summary.json
Hold4Mid bodydecoder e12,aaai2027_inmortal_hold4mid_e8_spatial_carriergate_bodydecoder_seed42_b8a2/epoch_0012,pending,distinct5_full_eval,,,,,,,full_eval_introstyle_clean_v3 still running / not yet materialized,/mnt/i/Github/Latent_Style/SchrodingerBridge/exp/inmortal-exp/aaai2027_inmortal_hold4mid_e8_spatial_carriergate_bodydecoder_seed42_b8a2/full_eval_introstyle_clean_v3/epoch_0012
