run,images,checkpoints,has_summary,has_eval,train_status,train_sec,infer_status,infer_sec,lpips,clip_style,clip_content
adain_4g_bg,0,1,True,False,ok,6.045,,,,,
adain_4g_real,750,1,True,True,,,ok,5.736,0.9866,0.5487,0.5297
adain_7g_full,10,1,True,False,,,ok,0.269,,,
adain_7g_v32k,750,1,True,True,ok,9220.393,ok,9.281,0.6873,0.6314,0.699
adain_7g_vgg19,750,1,True,True,ok,262.78,ok,9.098,0.73,0.6094,0.5991
adain_smoke,0,1,True,False,ok,1.082,,,,,
adain_smoke2,0,1,True,False,ok,1.56,,,,,
adain_vgg19_smoke,15,1,True,False,ok,7.06,ok,0.23,,,
cast_smoke,0,0,True,False,failed,8.554,,,,,
cast_smoke2,0,0,True,False,ok,26.654,failed,3.759,,,
cast_smoke3,0,14,True,False,ok,29.366,failed,4.032,,,
samst_750,750,0,False,True,,,,,0.4892,0.6621,0.8377
styleid_750,1000,0,False,True,,,,,0.7406,0.6733,0.5412
stytr2_750,0,0,False,False,,,,,,,
stytr2_smoke,0,0,True,False,failed,2.558,,,,,
stytr2_smoke2,0,0,True,False,failed,4.412,,,,,
stytr2_smoke3,0,0,True,False,failed,5.23,,,,,
stytr2_smoke4,0,0,True,False,failed,5.469,,,,,
stytr2_smoke5,0,3,True,False,ok,372.048,failed,7.055,,,
stytr2_smoke6,5,3,True,False,ok,59.25,ok,35.81,,,
