variant,category,status,completed_target_epoch,target_epoch,latest_eval_epoch,latest_transfer_clip_style,latest_transfer_classifier_acc,latest_transfer_content_lpips,latest_photo_to_art_clip_style,latest_photo_to_art_classifier_acc,best_transfer_clip_style,best_transfer_epoch,best_photo_to_art_clip_style,best_photo_to_art_epoch,last_train_epoch,last_train_loss,last_train_lr,config_path,run_dir,latest_summary_path,note,error,return_code
loss_no_stroke_gram,loss_single,skipped_existing,True,50,,,,,,,,,,,50,1.2439638376235962,1.0187460799314202e-05,/mnt/i/Github/Latent_Style/Cycle-NCE/style_ablation-50/configs/loss_no_stroke_gram.json,/mnt/i/Github/Latent_Style/Cycle-NCE/style_ablation-50/loss_no_stroke_gram,,Disable stroke gram style statistics.,; eval failed see /mnt/i/Github/Latent_Style/Cycle-NCE/style_ablation-50/runner_logs/full_eval_auto_loss_no_stroke_gram.log,
loss_no_color_moment,loss_single,skipped_existing,True,50,,,,,,,,,,,50,1.9785237312316895,1.0187460799314202e-05,/mnt/i/Github/Latent_Style/Cycle-NCE/style_ablation-50/configs/loss_no_color_moment.json,/mnt/i/Github/Latent_Style/Cycle-NCE/style_ablation-50/loss_no_color_moment,,Disable color moment style statistics.,; eval failed see /mnt/i/Github/Latent_Style/Cycle-NCE/style_ablation-50/runner_logs/full_eval_auto_loss_no_color_moment.log,
loss_no_style_spatial_tv,loss_single,skipped_existing,True,50,,,,,,,,,,,50,3.1846976280212402,1.0187460799314202e-05,/mnt/i/Github/Latent_Style/Cycle-NCE/style_ablation-50/configs/loss_no_style_spatial_tv.json,/mnt/i/Github/Latent_Style/Cycle-NCE/style_ablation-50/loss_no_style_spatial_tv,,Disable style spatial TV regularization.,; eval failed see /mnt/i/Github/Latent_Style/Cycle-NCE/style_ablation-50/runner_logs/full_eval_auto_loss_no_style_spatial_tv.log,
loss_no_struct_edge,loss_single,skipped_existing,True,50,,,,,,,,,,,50,2.6478803157806396,1.0187460799314202e-05,/mnt/i/Github/Latent_Style/Cycle-NCE/style_ablation-50/configs/loss_no_struct_edge.json,/mnt/i/Github/Latent_Style/Cycle-NCE/style_ablation-50/loss_no_struct_edge,,Disable struct and edge guards.,; eval failed see /mnt/i/Github/Latent_Style/Cycle-NCE/style_ablation-50/runner_logs/full_eval_auto_loss_no_struct_edge.log,
loss_no_cycle,loss_single,skipped_existing,True,50,,,,,,,,,,,50,3.1848814487457275,1.0187460799314202e-05,/mnt/i/Github/Latent_Style/Cycle-NCE/style_ablation-50/configs/loss_no_cycle.json,/mnt/i/Github/Latent_Style/Cycle-NCE/style_ablation-50/loss_no_cycle,,Disable cycle consistency.,; eval failed see /mnt/i/Github/Latent_Style/Cycle-NCE/style_ablation-50/runner_logs/full_eval_auto_loss_no_cycle.log,
loss_no_nce,loss_single,skipped_existing,True,50,,,,,,,,,,,50,3.184929847717285,1.0187460799314202e-05,/mnt/i/Github/Latent_Style/Cycle-NCE/style_ablation-50/configs/loss_no_nce.json,/mnt/i/Github/Latent_Style/Cycle-NCE/style_ablation-50/loss_no_nce,,Disable NCE content term.,; eval failed see /mnt/i/Github/Latent_Style/Cycle-NCE/style_ablation-50/runner_logs/full_eval_auto_loss_no_nce.log,
loss_no_semigroup,loss_single,skipped_existing,True,50,,,,,,,,,,,50,3.1848795413970947,1.0187460799314202e-05,/mnt/i/Github/Latent_Style/Cycle-NCE/style_ablation-50/configs/loss_no_semigroup.json,/mnt/i/Github/Latent_Style/Cycle-NCE/style_ablation-50/loss_no_semigroup,,Disable semigroup consistency.,; eval failed see /mnt/i/Github/Latent_Style/Cycle-NCE/style_ablation-50/runner_logs/full_eval_auto_loss_no_semigroup.log,
loss_no_push,loss_single,skipped_existing,True,50,,,,,,,,,,,50,3.184899091720581,1.0187460799314202e-05,/mnt/i/Github/Latent_Style/Cycle-NCE/style_ablation-50/configs/loss_no_push.json,/mnt/i/Github/Latent_Style/Cycle-NCE/style_ablation-50/loss_no_push,,Disable style push-away term.,; eval failed see /mnt/i/Github/Latent_Style/Cycle-NCE/style_ablation-50/runner_logs/full_eval_auto_loss_no_push.log,
dyn_style_strength_jitter,dynamics,skipped_existing,True,50,,,,,,,,,,,50,3.2006032466888428,1.0187460799314202e-05,/mnt/i/Github/Latent_Style/Cycle-NCE/style_ablation-50/configs/dyn_style_strength_jitter.json,/mnt/i/Github/Latent_Style/Cycle-NCE/style_ablation-50/dyn_style_strength_jitter,,Widen train-time style strength range.,; eval failed see /mnt/i/Github/Latent_Style/Cycle-NCE/style_ablation-50/runner_logs/full_eval_auto_dyn_style_strength_jitter.log,
<<<<<<< Updated upstream
dyn_num_steps_1_to_3,dynamics,failed,False,50,,,,,,,,,,,,,,/mnt/i/Github/Latent_Style/Cycle-NCE/style_ablation-50/configs/dyn_num_steps_1_to_3.json,/mnt/i/Github/Latent_Style/Cycle-NCE/style_ablation-50/dyn_num_steps_1_to_3,,"Use variable training steps in [1,3].","run failed, see /mnt/i/Github/Latent_Style/Cycle-NCE/style_ablation-50/runner_logs/dyn_num_steps_1_to_3.log",1
=======
>>>>>>> Stashed changes
dyn_single_step_only,dynamics,skipped_existing,True,50,,,,,,,,,,,50,3.2238173484802246,1.0187460799314202e-05,/mnt/i/Github/Latent_Style/Cycle-NCE/style_ablation-50/configs/dyn_single_step_only.json,/mnt/i/Github/Latent_Style/Cycle-NCE/style_ablation-50/dyn_single_step_only,,Force single-step training and inference.,; eval failed see /mnt/i/Github/Latent_Style/Cycle-NCE/style_ablation-50/runner_logs/full_eval_auto_dyn_single_step_only.log,
