batch_size,checkpoint_dir,elapsed_sec,images,images_dir,log_path,max_iter,returncode,stage,status
1,G:\GitHub\Latent_Style\Related_Works\run_511\outputs\aespa_smoke_debug4\checkpoints\aespa,10.434,,,G:\GitHub\Latent_Style\Related_Works\run_511\outputs\aespa_smoke_debug4\logs\aespa_train.log,1,0,train,ok
,,35.356,5,G:\GitHub\Latent_Style\Related_Works\run_511\outputs\aespa_smoke_debug4\infer_750\images,,,,infer,ok
