batch_size,checkpoint_dir,elapsed_sec,images,images_dir,log_path,n_epochs,returncode,stage,status
1,G:\GitHub\Latent_Style\Related_Works\run_511\outputs\review_baseline_suite_smoke4\cast\checkpoints\run511_cast,23.541,,,G:\GitHub\Latent_Style\Related_Works\run_511\outputs\review_baseline_suite_smoke4\cast\logs\cast_train.log,1,0,train,ok
,,46.532,5,G:\GitHub\Latent_Style\Related_Works\run_511\outputs\review_baseline_suite_smoke4\cast\infer_750\images,,,,infer,ok
