method,run,images,Hayao_content_edge_energy_share_up,Hayao_content_edge_purity_up,Hayao_flat_chroma_energy_share_down,Hayao_flat_chroma_residual_down,Hayao_flat_edge_energy_share_down,Hayao_lowpass_grad_corr_up,Hayao_orientation_consistency_up,Hayao_strong_edge_extra_rate_down,Hayao_strong_edge_flat_rate_down,cezanne_content_edge_energy_share_up,cezanne_content_edge_purity_up,cezanne_flat_chroma_energy_share_down,cezanne_flat_chroma_residual_down,cezanne_flat_edge_energy_share_down,cezanne_lowpass_grad_corr_up,cezanne_orientation_consistency_up,cezanne_strong_edge_extra_rate_down,cezanne_strong_edge_flat_rate_down,content_edge_energy_share_up,content_edge_purity_up,flat_chroma_energy_share_down,flat_chroma_residual_down,flat_edge_energy_share_down,lowpass_grad_corr_up,monet_content_edge_energy_share_up,monet_content_edge_purity_up,monet_flat_chroma_energy_share_down,monet_flat_chroma_residual_down,monet_flat_edge_energy_share_down,monet_lowpass_grad_corr_up,monet_orientation_consistency_up,monet_strong_edge_extra_rate_down,monet_strong_edge_flat_rate_down,orientation_consistency_up,photo_content_edge_energy_share_up,photo_content_edge_purity_up,photo_flat_chroma_energy_share_down,photo_flat_chroma_residual_down,photo_flat_edge_energy_share_down,photo_lowpass_grad_corr_up,photo_orientation_consistency_up,photo_strong_edge_extra_rate_down,photo_strong_edge_flat_rate_down,strong_edge_extra_rate_down,strong_edge_flat_rate_down,vangogh_content_edge_energy_share_up,vangogh_content_edge_purity_up,vangogh_flat_chroma_energy_share_down,vangogh_flat_chroma_residual_down,vangogh_flat_edge_energy_share_down,vangogh_lowpass_grad_corr_up,vangogh_orientation_consistency_up,vangogh_strong_edge_extra_rate_down,vangogh_strong_edge_flat_rate_down
Ours,epoch_0007,750,0.628101477821668,0.4139118558889621,0.3867298062642415,0.0032958346822609505,0.2582953039308389,0.6754812879102912,0.7447647293408711,0.1615868172108636,0.11004577357339031,0.6200144656499227,0.41755693601221583,0.382221444050471,0.0034474495053291323,0.25899066895246503,0.6969808442487817,0.7328683523337046,0.1559807411928254,0.10156850778150747,0.6231290200948715,0.4200819800659121,0.384136811653773,0.003357762251359721,0.2565749190847079,0.7005900901155363,0.6219217650095622,0.43063532093901785,0.38443601846694947,0.002806680908737083,0.25328684409459434,0.7255671661681294,0.7270101241270701,0.14487022992616444,0.08940689612686019,0.730785352786382,0.6283193182945251,0.4076199567627974,0.3889003880818685,0.003518681458663195,0.2558893736700217,0.6732001151786043,0.7250526547431946,0.15892245617604178,0.11110568609500558,0.1535467920605728,0.10028954387461084,0.6172880736986796,0.4306858307265672,0.3783964014053345,0.003720164701808244,0.2564124047756195,0.7317210370718747,0.7242309033870697,0.14637371579696878,0.08932085579629065
Ours,epoch_0008,750,0.6199617950121562,0.38955109148156697,0.3878711356719335,0.003325127228939285,0.26581731537977854,0.6386782792025085,0.740599220196406,0.17689756891465772,0.12188451496965383,0.6130561435222626,0.3928233946738019,0.38308677315711975,0.0034280286263674497,0.26663281907637915,0.6560635123007362,0.7292337620258331,0.17016364159392736,0.11420806014098256,0.616594111084938,0.3992166729604121,0.384995134751002,0.0034261584263294937,0.2630323887666067,0.6668493338520675,0.6176809128125509,0.4182246407020145,0.38566376944382985,0.0029158651324299473,0.2572923532128334,0.7042487590954577,0.7263448377450307,0.15064446489033254,0.09389883677491069,0.7276252986590067,0.6179922173420588,0.37635376897935674,0.38919607480367024,0.0036004132141048708,0.2656964478890101,0.6251259424937027,0.7183523686726888,0.1775166988776998,0.12495168345031026,0.16539120119716733,0.10979674302878947,0.6142794867356618,0.4191304689653203,0.3791579206784566,0.0038613579298059147,0.25972300827503203,0.7101301761679318,0.7235963046550751,0.15173363170921914,0.09404061980809006
Ours,residual_1p25,750,0.6065930449962615,0.34928094392360415,0.38626694162686664,0.0037688187059635916,0.2795211281875769,0.5836465532373781,0.7284324995676676,0.20504119621605127,0.14714406808395214,0.595977076292038,0.353393015898022,0.38024090270201366,0.0040928288153372705,0.28122282803058624,0.6085567423765206,0.7160890567302703,0.19898009697216287,0.13557454311192488,0.5993681385914484,0.3572495524806483,0.3833045514027278,0.003981570242593686,0.27802547785639764,0.613565245583951,0.5997822960217793,0.3744778395736342,0.38500598112742107,0.0032707512999574345,0.2720483102401098,0.6474088712568974,0.7123593258857727,0.17906268307601614,0.1131033452325588,0.7147359898885091,0.6021461049715678,0.336160790041495,0.38888702511787415,0.004143163994885981,0.2798749752839406,0.5762520376117665,0.7070963211854299,0.20825009324246432,0.14876886040755435,0.19459068736283824,0.13168125969514025,0.5923421706755956,0.37293517296648604,0.3761219064394633,0.004632288396824152,0.2774601475397746,0.6519620234371921,0.709702746073405,0.1816193673074967,0.11381548163971111
SaMST,samst_strict,750,0.7073375395933788,0.6353210137938726,0.4091956841945648,0.0028652512033780415,0.16480739474296568,0.9085418754680027,0.9346804054578145,0.07059370020004747,0.03331773641202997,0.5975030557314555,0.5828752793306609,0.3662214541435242,0.005836536300679048,0.21878673334916432,0.8919886256929738,0.9274224444230398,0.08328010036279795,0.0033438443020377714,0.6399479655424753,0.6065547047631525,0.37873940815528234,0.004428368706333762,0.1988649060726166,0.8979156112986915,0.599870633482933,0.5881229856637857,0.36541756689548494,0.005826377224487563,0.21675560772418975,0.8963365703377904,0.9295496567090352,0.07921472891872648,0.0028989929813854134,0.9284278740882873,0.6940566658973694,0.6400547104947925,0.3868614720304807,0.001715764431670929,0.17733529726664224,0.898978326973889,0.9234928627808888,0.032166954870647274,0.004500728986539179,0.06902302241209779,0.009477638761740074,0.6009719330072403,0.5863995345326507,0.36600086351235706,0.005897914371453226,0.21663949728012086,0.8937326580208014,0.9269940010706583,0.07985962770826976,0.0033268911267080323
