group,run,method,path,images,lpips,clip_style,clip_content,ssim_y,edge_f1,edge_iou,blur_style_drop,down_style_drop,extra_edge_rate,chroma_speckle_z,flat_chroma_hf_z,musiq,maniqa,dists_content,fft_radial_kl_style,fft_slope_error,chroma_grain_index,hf_patch_kid,plain_kid,train_sec,eval_sec,ablation_label,ablation_purpose,has_base,has_guard,has_artifact,has_hf_kid,has_plain_kid
ablation,D0_full_correct_7ep,Ours D0 full,G:\GitHub\Latent_Style\SchrodingerBridge\ablation_destructive_7epoch\D0_full_correct_7ep\full_eval\epoch_0007,750,0.4593,0.7014,0.8022,0.4542,0.309,0.1849,0.0039,-0.0012,0.0976,-0.5035,-0.4974,,,,,,,4.184545,0.054214,290.650,60.034,Full control from corrected config,7-epoch control using S-add__K-1_C-0_W-20_Col-0/config.json without model/loss changes.,True,True,False,True,True
baseline,samst_strict,SaMST strict,G:\GitHub\Latent_Style\Related_Works\run_511\complete_750\samst_strict,750,0.4664,0.7194,0.8193,0.652,0.5162,0.3548,0.0025,-0.0012,0.1077,0.2636,-0.3002,36.095,0.3139,0.2943,0.2419,1.0536,-0.0063,6.759762,0.048909,,,,,True,True,True,True,True
baseline,styleid_strict,StyleID strict,G:\GitHub\Latent_Style\Related_Works\run_511\complete_750\styleid_strict,750,0.7497,0.7597,0.5519,0.1466,0.1954,0.1094,-0.0005,-0.012,0.2886,0.7909,1.9891,,,,,,,,,,,,,True,True,False,False,False
baseline,s2wat_strict,S2WAT strict,G:\GitHub\Latent_Style\Related_Works\run_511\outputs\s2wat_750_strict\infer_750,750,0.5263,0.7139,0.7465,0.507,0.2574,0.1485,-0.013,-0.0092,0.0776,-0.4523,-0.5766,36.5256,0.1754,0.2942,0.1224,0.7017,0.2606,12.66227,0.056735,,,,,True,True,True,True,True
baseline,adain_v32k,AdaIN v32k,G:\GitHub\Latent_Style\Related_Works\run_511\complete_750\adain_v32k,750,0.6298,0.713,0.699,0.3246,0.0167,0.0086,0.0391,0.0185,0.0071,1.1066,-1.271,,,,,,,,,,,,,True,True,False,False,False
baseline,adain_vgg19,AdaIN vgg19,G:\GitHub\Latent_Style\Related_Works\run_511\complete_750\adain_vgg19,750,0.687,0.693,0.5991,0.2897,0.0182,0.0094,0.0662,0.0361,0.0197,0.3528,-1.4401,,,,,,,,,,,,,True,True,False,False,False
baseline,adain_bad,AdaIN bad,G:\GitHub\Latent_Style\Related_Works\run_511\complete_750\adain_bad,750,0.849,0.6308,0.5297,0.2868,0.0,0.0,0.007,0.0,0.0,410.2368,-1.829,,,,,,,,,,,,,True,True,False,False,False
ablation,D1_no_terminal_swd,w/o terminal SWD,G:\GitHub\Latent_Style\SchrodingerBridge\ablation_destructive_7epoch\D1_no_terminal_swd\full_eval\epoch_0007,750,0.349,0.6708,0.8989,0.4729,0.1824,0.1082,0.0007,-0.004,0.0,-0.4394,-1.1616,,,,,,,5.843525,0.04196,295.935,63.630,w/o terminal SWD,Destructive removal of endpoint style-distribution matching.,True,True,False,True,True
ablation,D2_no_kinetic,w/o kinetic,G:\GitHub\Latent_Style\SchrodingerBridge\ablation_destructive_7epoch\D2_no_kinetic\full_eval\epoch_0007,750,0.6375,0.7159,0.6624,0.2687,0.2492,0.143,0.0032,-0.0005,0.1527,-0.0002,-0.2098,,,,,,,4.776494,0.12627,303.312,64.423,w/o kinetic,Destructive removal of flow regularization/content-stability pressure.,True,True,False,True,True
ablation,D3_no_swd_no_kinetic,w/o SWD and kinetic,G:\GitHub\Latent_Style\SchrodingerBridge\ablation_destructive_7epoch\D3_no_swd_no_kinetic\full_eval\epoch_0007,750,0.3938,0.6884,0.8527,0.4368,0.1694,0.0958,-0.0006,-0.0043,0.0021,-0.318,-0.9807,,,,,,,6.745173,0.049534,306.550,60.567,w/o SWD and kinetic,Strong negative control: remove both style distribution endpoint and trajectory regularization.,True,True,False,True,True
ablation,D4_conv_body_no_global_attn,"conv body, no global attention",G:\GitHub\Latent_Style\SchrodingerBridge\ablation_destructive_7epoch\D4_conv_body_no_global_attn\full_eval\epoch_0007,750,0.4594,0.7022,0.802,0.4543,0.3091,0.1849,0.0045,-0.0005,0.0978,-0.5031,-0.4995,,,,,,,4.179079,0.05453,295.498,78.771,"conv body, no global attention",Destructive architecture ablation replacing the global-attention body with convolutional blocks.,True,True,False,True,True
ablation,D5_disable_skip_routing,disable routed skip path,G:\GitHub\Latent_Style\SchrodingerBridge\ablation_destructive_7epoch\D5_disable_skip_routing\full_eval\epoch_0007,750,0.4727,0.6951,0.8057,0.4613,0.2975,0.178,0.0017,-0.0058,0.067,-0.3204,-0.701,,,,,,,4.985016,0.062353,294.609,61.995,disable routed skip path,Destructive removal of the routed skip pathway that carries clean structure.,True,True,False,True,True
ablation,D6_disable_spatial_prior,disable spatial style prior,G:\GitHub\Latent_Style\SchrodingerBridge\ablation_destructive_7epoch\D6_disable_spatial_prior\full_eval\epoch_0007,750,0.4589,0.7022,0.8033,0.4548,0.3095,0.1853,0.0044,-0.0002,0.0971,-0.5018,-0.5002,,,,,,,4.194194,0.054133,305.783,61.803,disable spatial style prior,Destructive removal of the spatial prior used by the style-conditioned model.,True,True,False,True,True
ablation,D7_no_residual_path,no residual path,G:\GitHub\Latent_Style\SchrodingerBridge\ablation_destructive_7epoch\D7_no_residual_path\full_eval\epoch_0007,750,0.4592,0.7013,0.8025,0.4547,0.3093,0.1851,0.0037,-0.0013,0.0972,-0.5061,-0.5022,,,,,,,4.176114,0.054496,304.251,61.887,no residual path,Destructive model ablation disabling the learned residual update path.,True,True,False,True,True
ablation,D8_strong_color_loss,strong color loss,G:\GitHub\Latent_Style\SchrodingerBridge\ablation_destructive_7epoch\D8_strong_color_loss\full_eval\epoch_0007,750,0.5675,0.6923,0.6629,0.3401,0.2769,0.1616,0.0081,0.0124,0.1966,-0.7679,-0.15,,,,,,,5.679315,0.148481,308.588,60.987,strong color loss,Strong negative control for naive color matching that previously harmed content.,True,True,False,True,True
ablation,D9_l2_ot_cost,L2 matching cost,G:\GitHub\Latent_Style\SchrodingerBridge\ablation_destructive_7epoch\D9_l2_ot_cost\full_eval\epoch_0007,750,0.4589,0.7016,0.8021,0.455,0.309,0.1849,0.0036,-0.0012,0.0969,-0.4986,-0.4989,,,,,,,4.1912,0.054227,311.098,59.323,L2 matching cost,Replace SWD-based matching cost with global latent L2 cost.,True,True,False,True,True
