method,run,images,clip_style_up,clip_content_up,lpips_down,ec_effectiveness,ec_coherence,ec_product_up,gram_micro_down,gram_macro_down,fid_down,kid_down,clip_fid_down,clip_cmmd_down,artfid_down,artfid_fid_down,artfid_content_lpips_down,artfid_error,images_dir
Ours,epoch_0007,750,0.7161144725879032,0.8085747790133333,0.45141794859999995,0.7161144725879032,0.5485820514,0.39284754640950104,0.0798365805450982,2.812727638863027,235.8124101238951,0.05243287086486816,0.5165420524741833,0.04661095812916756,,,,,G:\GitHub\Latent_Style\SchrodingerBridge\S-add__K-1_C-0_W-20_Col-0\full_eval\epoch_0007\images
Ours,epoch_0008,750,0.7167235833803812,0.7977139172000001,0.4615265375866667,0.7167235833803812,0.5384734624133334,0.38593662953612534,0.07863024292315822,2.8318554337148867,238.8681223189109,0.05542588233947754,0.5220582904065653,0.047413669526576996,,,,,G:\GitHub\Latent_Style\SchrodingerBridge\S-add__K-1_C-0_W-20_Col-0\full_eval\epoch_0008\images
Ours,residual_1p25,750,0.7218544493118922,0.7634903846533334,0.5110315488133333,0.7218544493118922,0.48896845118666665,0.35296405206224013,0.07152770333756538,2.9047915461386244,245.1690831784743,0.061770963668823245,0.5352268596986468,0.049468644708395,,,,,G:\GitHub\Latent_Style\SchrodingerBridge\S-add__K-1_C-0_W-20_Col-0\residual_scale_sweep_epoch7\residual_1p25\images
SaMST,samst_strict,750,0.7194,0.8193,0.4664,0.7194,0.5336000000000001,0.3838718400000001,0.09465247008064762,2.563786729281147,221.27585418943687,0.048911333084106445,0.48513999469284064,0.044196347892284396,,,,,G:\GitHub\Latent_Style\Related_Works\run_511\complete_750\samst_strict\images
