index,candidate_id,block,short_name,exp_name,risk_level,config_path,run_dir,eval_dir,skip_routing_mode,w_kinetic,w_cycle,terminal_swd_weight,w_color,w_low_freq,w_nce,swd_use_high_freq,swd_hf_weight_ratio,swd_patch_sizes,base_dim,num_res_blocks,learning_rate,num_epochs
0,E001,A_dense_frontier,norm_K2_C0.5_W10_Col0_LF0_NCE0_HF0,E001,low,next_round_80/E001.json,./exp/next_round_80/E001,./exp/next_round_80/E001/full_eval,normalized,2.0,0.5,10.0,0.0,0.0,0.0,False,1.0,3|5|7|15,64,4,0.0002,8
1,E002,A_dense_frontier,norm_K2_C0.5_W12.5_Col0_LF0_NCE0_HF0,E002,low,next_round_80/E002.json,./exp/next_round_80/E002,./exp/next_round_80/E002/full_eval,normalized,2.0,0.5,12.5,0.0,0.0,0.0,False,1.0,3|5|7|15,64,4,0.0002,8
2,E003,A_dense_frontier,norm_K2_C0.5_W15_Col0_LF0_NCE0_HF0,E003,medium,next_round_80/E003.json,./exp/next_round_80/E003,./exp/next_round_80/E003/full_eval,normalized,2.0,0.5,15.0,0.0,0.0,0.0,False,1.0,3|5|7|15,64,4,0.0002,8
3,E004,A_dense_frontier,norm_K2_C1_W10_Col0_LF0_NCE0_HF0,E004,low,next_round_80/E004.json,./exp/next_round_80/E004,./exp/next_round_80/E004/full_eval,normalized,2.0,1.0,10.0,0.0,0.0,0.0,False,1.0,3|5|7|15,64,4,0.0002,8
4,E005,A_dense_frontier,norm_K2_C1_W12.5_Col0_LF0_NCE0_HF0,E005,low,next_round_80/E005.json,./exp/next_round_80/E005,./exp/next_round_80/E005/full_eval,normalized,2.0,1.0,12.5,0.0,0.0,0.0,False,1.0,3|5|7|15,64,4,0.0002,8
5,E006,A_dense_frontier,norm_K2_C1_W15_Col0_LF0_NCE0_HF0,E006,medium,next_round_80/E006.json,./exp/next_round_80/E006,./exp/next_round_80/E006/full_eval,normalized,2.0,1.0,15.0,0.0,0.0,0.0,False,1.0,3|5|7|15,64,4,0.0002,8
6,E007,A_dense_frontier,norm_K2_C1.5_W10_Col0_LF0_NCE0_HF0,E007,low,next_round_80/E007.json,./exp/next_round_80/E007,./exp/next_round_80/E007/full_eval,normalized,2.0,1.5,10.0,0.0,0.0,0.0,False,1.0,3|5|7|15,64,4,0.0002,8
7,E008,A_dense_frontier,norm_K2_C1.5_W12.5_Col0_LF0_NCE0_HF0,E008,low,next_round_80/E008.json,./exp/next_round_80/E008,./exp/next_round_80/E008/full_eval,normalized,2.0,1.5,12.5,0.0,0.0,0.0,False,1.0,3|5|7|15,64,4,0.0002,8
8,E009,A_dense_frontier,norm_K2_C1.5_W15_Col0_LF0_NCE0_HF0,E009,medium,next_round_80/E009.json,./exp/next_round_80/E009,./exp/next_round_80/E009/full_eval,normalized,2.0,1.5,15.0,0.0,0.0,0.0,False,1.0,3|5|7|15,64,4,0.0002,8
9,E010,A_dense_frontier,norm_K3_C0.5_W10_Col0_LF0_NCE0_HF0,E010,low,next_round_80/E010.json,./exp/next_round_80/E010,./exp/next_round_80/E010/full_eval,normalized,3.0,0.5,10.0,0.0,0.0,0.0,False,1.0,3|5|7|15,64,4,0.0002,8
