gpu_util,mem_util,memory_used_mib,memory_total_mib,power_w
7, 5, 1305, 8188, 12.96
6, 5, 1305, 8188, 12.77
5, 4, 1304, 8188, 14.05
5, 4, 1303, 8188, 13.88
5, 4, 1302, 8188, 13.60
16, 5, 1412, 8188, 15.70
7, 4, 1412, 8188, 14.56
13, 6, 1706, 8188, 19.30
8, 6, 5634, 8188, 15.08
89, 75, 6059, 8188, 36.77
100, 68, 6059, 8188, 58.21
50, 47, 6059, 8188, 70.00
42, 40, 6059, 8188, 62.85
97, 54, 6059, 8188, 62.81
93, 62, 6059, 8188, 71.75
88, 81, 6059, 8188, 71.38
79, 68, 6058, 8188, 69.74
98, 63, 6058, 8188, 69.91
59, 57, 6057, 8188, 62.42
92, 62, 6057, 8188, 67.41
79, 76, 6058, 8188, 71.25
95, 79, 6058, 8188, 72.20
99, 70, 6057, 8188, 72.14
93, 60, 6041, 8188, 68.50
74, 73, 6041, 8188, 68.80
93, 59, 6041, 8188, 74.15
73, 71, 6041, 8188, 73.06
95, 68, 6040, 8188, 73.03
100, 89, 6025, 8188, 72.47
78, 74, 6025, 8188, 74.45
94, 64, 6024, 8188, 73.91
73, 73, 6024, 8188, 73.54
94, 63, 6024, 8188, 75.30
4, 4, 1270, 8188, 58.95
